field_id,year,crop_id,standard_name,target_yield_t_ha,oof_pred_t_ha
195,2019,43.0,wheat_spring,2.9511,
195,2022,44.0,wheat_winter,2.1216260162601626,2.8295271150495913
195,2023,44.0,wheat_winter,0.8904065040650406,3.2187789085734044
195,2025,43.0,wheat_spring,2.7195121951219514,2.9082381840392633
197,2019,43.0,wheat_spring,3.3518,
197,2022,44.0,wheat_winter,1.5206997084548106,2.9903714581503356
197,2023,44.0,wheat_winter,1.0820991253644316,3.3147303400228205
197,2025,43.0,wheat_spring,3.779416909620991,3.013164527030741
207,2019,43.0,wheat_spring,3.5799999999999996,
207,2022,44.0,wheat_winter,1.8862140474258409,2.8605462130692714
207,2023,44.0,wheat_winter,1.068974844468488,3.238053139738727
207,2025,43.0,wheat_spring,1.3522676043638986,3.0512407602248035
208,2020,43.0,wheat_spring,5.05,
208,2022,43.0,wheat_spring,2.356923076923077,2.9658988578787775
208,2023,43.0,wheat_spring,2.018076923076923,2.8430380863484648
208,2025,43.0,wheat_spring,3.8430769230769233,3.1186744784691602
209,2017,44.0,wheat_winter,2.22,
209,2022,43.0,wheat_spring,2.657417536880491,2.892821347233451
209,2023,44.0,wheat_winter,1.4882148184982598,3.420667778713113
209,2024,44.0,wheat_winter,4.5289739764627885,3.062571474936088
210,2017,44.0,wheat_winter,2.002,
210,2020,44.0,wheat_winter,2.11,
210,2022,43.0,wheat_spring,3.0655870445344133,2.8502684518058095
210,2024,44.0,wheat_winter,5.519493927125506,3.7042986877854824
211,2017,44.0,wheat_winter,2.4379999999999997,
211,2020,44.0,wheat_winter,3.19,
211,2022,43.0,wheat_spring,3.4704,2.786297169355763
212,2020,43.0,wheat_spring,1.3132,
212,2022,43.0,wheat_spring,3.1773529411764705,2.825043791595093
212,2023,43.0,wheat_spring,2.9445588235294116,2.70573745448415
212,2025,43.0,wheat_spring,1.7024264705882353,3.0065151355527107
213,2020,43.0,wheat_spring,5.78,
213,2021,43.0,wheat_spring,1.3155714285714286,
213,2023,43.0,wheat_spring,1.6768999999999998,2.5501231559583863
214,2020,43.0,wheat_spring,3.19,
214,2021,43.0,wheat_spring,1.5857777777777775,
214,2023,43.0,wheat_spring,1.6103999999999998,2.379985964822965
215,2020,43.0,wheat_spring,1.409,
215,2022,43.0,wheat_spring,2.858987341772152,2.711015350811639
215,2024,44.0,wheat_winter,4.476708860759494,3.7915192115822816
216,2020,43.0,wheat_spring,1.246,
216,2022,43.0,wheat_spring,3.1270270270270273,2.836523294030501
216,2024,44.0,wheat_winter,5.342162162162162,3.5572534601210983
217,2020,43.0,wheat_spring,3.37,
217,2022,43.0,wheat_spring,3.063725490196078,2.97698827364064
217,2025,43.0,wheat_spring,2.5629901960784314,2.8502637114343
218,2020,43.0,wheat_spring,1.7929,
218,2022,43.0,wheat_spring,2.1723076923076925,2.7966529486836618
218,2024,43.0,wheat_spring,4.027153846153846,3.465310850132938
218,2025,43.0,wheat_spring,4.112820512820513,2.9825580534184306
219,2017,44.0,wheat_winter,1.873,
219,2020,43.0,wheat_spring,4.25,
