crop_group,N_obs,N_used_model,R2_model,RMSE_model,MAPE_model,N_used_cropwise,R2_cropwise,RMSE_cropwise,MAPE_cropwise
grain,133,133,0.4471633354088256,7.445565911144928,19.903681823497443,127,1.0,0.0,0.0
oilseeds,306,306,0.4027635200073525,3.9794604794571433,16.523281620480248,93,1.0,0.0,0.0
other,2,2,,12.728282485014269,27.138834203945073,1,,0.0,0.0
