field_id,year,crop_id,target_yield_t_ha,model_pred_t_ha,pred_kind,cropwise_pred_t_ha
210,2023,24.0,16.518,19.60028388273233,oof_reg,16.518
210,2024,44.0,57.541,33.696774316017525,oof_reg,57.541
210,2025,40.0,26.162,27.46252749496156,oof_reg,26.162
211,2017,44.0,18.834,20.246655355598342,oof_reg,
211,2019,40.0,23.18,28.8139648706258,oof_reg,23.18
211,2020,44.0,24.044,21.854785791345787,oof_reg,24.044
211,2021,40.0,29.907,27.9695658647807,oof_reg,29.907
211,2022,43.0,34.704,26.252254326629537,oof_reg,34.704
212,2010,40.0,25.729,18.24528002254558,oof_reg,
212,2011,40.0,21.887,22.17522679650777,oof_reg,
212,2012,40.0,24.481,27.051981150600405,oof_reg,
212,2013,40.0,21.99,22.879572053960157,oof_reg,
212,2014,40.0,24.5,23.18375084071479,oof_reg,
212,2015,40.0,16.854,21.03827361899361,oof_reg,
212,2016,40.0,27.669,22.23768025838124,oof_reg,
212,2017,40.0,16.862,18.51791516611652,oof_reg,
212,2018,40.0,13.272,19.0313378401204,oof_reg,13.272
212,2019,40.0,24.78,26.668661773119517,oof_reg,24.78
212,2020,43.0,13.132,18.947407094479438,oof_reg,13.132
212,2021,40.0,32.197,26.163213938608667,oof_reg,32.197
212,2022,43.0,30.777,29.95636488012754,oof_reg,30.777
212,2023,43.0,16.78,21.919655455251863,oof_reg,16.78
212,2024,40.0,31.718,30.11984689305856,oof_reg,31.718
212,2025,43.0,28.967,27.56520658478162,oof_reg,28.967
213,2010,40.0,21.619,20.369071684436225,oof_reg,
213,2011,40.0,19.84,24.722106065172017,oof_reg,
213,2012,40.0,16.418,19.59088046091942,oof_reg,
213,2013,40.0,20.484,23.999745716517545,oof_reg,
213,2014,40.0,24.244,23.52583271361764,oof_reg,
213,2015,40.0,21.305,23.8941261895728,oof_reg,
213,2016,40.0,24.174,19.24522765937361,oof_reg,
213,2017,40.0,24.459,18.617136087262303,oof_reg,
213,2018,40.0,26.765,23.99839116861102,oof_reg,26.765
213,2019,20.0,19.759,19.76409783356956,oof_reg,19.759
213,2020,43.0,15.964,19.083335970104716,oof_reg,15.964
213,2021,43.0,33.956,33.93804325242961,oof_reg,33.956
213,2022,40.0,23.059,27.011916507995537,oof_reg,23.059
213,2023,43.0,16.769,21.330804788398652,oof_reg,16.769
213,2025,3.0,30.796,30.386068633601923,oof_reg,30.796
214,2010,40.0,19.55,20.256721353438284,oof_reg,
214,2011,40.0,20.53,24.59868568165653,oof_reg,
214,2012,40.0,16.657,19.82781952206609,oof_reg,
214,2013,40.0,20.64,24.726692326783688,oof_reg,
214,2014,40.0,26.513,23.434195028203984,oof_reg,
214,2015,40.0,22.145,24.802293761488396,oof_reg,
214,2016,40.0,23.114,18.349627736505436,oof_reg,
214,2017,40.0,24.927,18.72534624095003,oof_reg,
214,2018,40.0,26.65,23.475527437732097,oof_reg,26.65
214,2019,40.0,21.573,27.14441468266533,oof_reg,21.573
214,2020,43.0,15.097,19.9105498486872,oof_reg,15.097
214,2021,43.0,28.408,33.78596646390449,oof_reg,28.408
214,2022,40.0,23.271,26.774486622581318,oof_reg,23.271
214,2023,43.0,16.104,19.86388538505517,oof_reg,16.104
214,2025,3.0,30.119,29.90764766822817,oof_reg,30.119
215,2010,40.0,25.285,20.72862791904652,oof_reg,
215,2011,40.0,22.013,22.44420129632949,oof_reg,
215,2012,40.0,19.233,18.18499564792445,oof_reg,
215,2013,40.0,11.653,16.19911500172732,oof_reg,
215,2014,40.0,26.138,25.76165787966592,oof_reg,
215,2015,40.0,14.253,16.805959916534324,oof_reg,
215,2016,40.0,19.726,22.54618722927016,oof_reg,
215,2017,20.0,15.818,17.494039825171367,oof_reg,
215,2018,40.0,23.53,25.79084531873015,oof_reg,23.53
215,2019,40.0,21.773,28.265969115838416,oof_reg,21.773
215,2020,43.0,15.953,24.629684382765976,oof_reg,15.953
215,2021,40.0,26.547,22.143049010794947,oof_reg,26.547
215,2022,43.0,27.345,24.94392082365177,oof_reg,27.345
215,2023,3.0,24.396,24.84281437529389,oof_reg,24.396
215,2024,44.0,42.056,34.835777860019235,oof_reg,42.056
215,2025,40.0,25.924,25.554741736960285,oof_reg,25.924
216,2010,40.0,28.838,24.87013797360264,oof_reg,
216,2011,40.0,24.407,24.59136840870414,oof_reg,
216,2012,40.0,24.394,23.25790769543009,oof_reg,
216,2013,40.0,24.091,28.79102736394212,oof_reg,
216,2014,40.0,29.909,28.26352389210183,oof_reg,
216,2015,40.0,27.174,25.69557509632813,oof_reg,
216,2016,40.0,26.756,28.27543585530252,oof_reg,
216,2017,20.0,16.878,24.118311845020127,oof_reg,
216,2018,40.0,21.175,27.516341547138246,oof_reg,21.175
216,2019,40.0,21.598,26.990551128681467,oof_reg,21.598
216,2020,43.0,21.373,24.65534694851264,oof_reg,21.373
216,2021,40.0,26.041,25.597512910503948,oof_reg,26.041
216,2022,43.0,39.809,32.53700608507912,oof_reg,39.809
216,2023,3.0,25.551,30.97582781200777,oof_reg,25.551
216,2024,44.0,53.586,37.75477068575736,oof_reg,53.586
216,2025,40.0,28.421,28.53115207173261,oof_reg,28.421
217,2010,40.0,20.382,20.744187338067697,oof_reg,
