field_id,year,crop_id,std_name,target_yield_t_ha,target_source,unit_fix_applied,kept
208,2019,40.0,sunflower,2.133,productivity_normalized,True,True
208,2020,43.0,wheat_spring,5.05,productivity_normalized,False,True
208,2021,40.0,sunflower,2.1216153846153847,physical_harvested_weight,False,True
208,2022,43.0,wheat_spring,2.356923076923077,physical_harvested_weight,False,True
208,2023,43.0,wheat_spring,2.018076923076923,physical_harvested_weight,False,True
208,2024,40.0,sunflower,2.3606153846153846,physical_harvested_weight,False,True
208,2025,43.0,wheat_spring,3.8430769230769233,physical_harvested_weight,False,True
208,2026,24.0,pea,,no_data,False,False
208,2027,43.0,wheat_spring,,no_data,False,False
208,2028,,,,no_data,False,False
208,2029,,,,no_data,False,False
208,2030,,,,no_data,False,False
209,2000,40.0,sunflower,,no_data,False,False
209,2001,40.0,sunflower,,no_data,False,False
209,2002,40.0,sunflower,,no_data,False,False
209,2003,40.0,sunflower,,no_data,False,False
209,2004,40.0,sunflower,,no_data,False,False
209,2005,40.0,sunflower,,no_data,False,False
209,2006,40.0,sunflower,,no_data,False,False
209,2007,40.0,sunflower,,no_data,False,False
209,2008,40.0,sunflower,,no_data,False,False
209,2009,40.0,sunflower,,no_data,False,False
209,2010,40.0,sunflower,2.0058,estimate_normalized,True,True
209,2011,40.0,sunflower,2.1288,estimate_normalized,True,True
209,2012,40.0,sunflower,2.1412,estimate_normalized,True,True
209,2013,40.0,sunflower,1.7872,estimate_normalized,True,True
209,2014,40.0,sunflower,2.7874,estimate_normalized,True,True
209,2015,40.0,sunflower,1.9986000000000002,estimate_normalized,True,True
209,2016,40.0,sunflower,2.5161000000000002,estimate_normalized,True,True
209,2017,44.0,wheat_winter,2.2199999999999998,productivity_normalized,True,True
209,2018,40.0,sunflower,1.7399999999999998,productivity_normalized,True,True
209,2019,20.0,oil_seed_raps_spring,1.4083,estimate_normalized,True,True
209,2020,16.0,maize,5.78,productivity_normalized,False,True
209,2021,40.0,sunflower,2.268059008785016,physical_harvested_weight,False,True
209,2022,43.0,wheat_spring,2.657417536880491,physical_harvested_weight,False,True
209,2023,44.0,wheat_winter,1.4882148184982598,physical_harvested_weight,False,True
209,2024,44.0,wheat_winter,4.5289739764627885,physical_harvested_weight,False,True
209,2025,40.0,sunflower,2.332040444223438,physical_harvested_weight,False,True
209,2026,43.0,wheat_spring,,no_data,False,False
209,2027,40.0,sunflower,,no_data,False,False
209,2028,,,,no_data,False,False
209,2029,,,,no_data,False,False
209,2030,,,,no_data,False,False
210,2000,40.0,sunflower,,no_data,False,False
210,2001,40.0,sunflower,,no_data,False,False
210,2002,40.0,sunflower,,no_data,False,False
210,2003,40.0,sunflower,,no_data,False,False
210,2004,40.0,sunflower,,no_data,False,False
210,2005,40.0,sunflower,,no_data,False,False
210,2006,40.0,sunflower,,no_data,False,False
210,2007,40.0,sunflower,,no_data,False,False
210,2008,40.0,sunflower,,no_data,False,False
210,2009,40.0,sunflower,,no_data,False,False
210,2010,40.0,sunflower,2.4812000000000003,estimate_normalized,True,True
210,2011,40.0,sunflower,2.3706,estimate_normalized,True,True
210,2012,40.0,sunflower,1.8137,estimate_normalized,True,True
210,2013,40.0,sunflower,1.9414000000000002,estimate_normalized,True,True
210,2014,40.0,sunflower,2.9256,estimate_normalized,True,True
210,2015,40.0,sunflower,2.4408000000000003,estimate_normalized,True,True
210,2016,40.0,sunflower,2.8707000000000003,estimate_normalized,True,True
210,2017,44.0,wheat_winter,2.002,productivity_normalized,True,True
210,2018,21.0,oil_seed_raps_winter,0.978,productivity_normalized,True,True
210,2019,40.0,sunflower,1.9649999999999999,productivity_normalized,True,True
210,2020,44.0,wheat_winter,2.11,productivity_normalized,False,True
210,2021,40.0,sunflower,1.4783400809716598,physical_harvested_weight,False,True
210,2022,43.0,wheat_spring,3.0655870445344133,physical_harvested_weight,False,True
210,2023,24.0,pea,1.7267206477732793,physical_harvested_weight,False,True
210,2024,44.0,wheat_winter,5.519493927125506,physical_harvested_weight,False,True
210,2025,40.0,sunflower,3.192550607287449,physical_harvested_weight,False,True
210,2026,43.0,wheat_spring,,no_data,False,False
210,2027,40.0,sunflower,,no_data,False,False
210,2028,,,,no_data,False,False
210,2029,,,,no_data,False,False
210,2030,,,,no_data,False,False
211,2000,,,,no_data,False,False
