field_id,year,crop_id,prev_crop_id,target_yield_t_ha,target_source,unit_fix_applied,field_tillable_area,field_calculated_area,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_Mg,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_p10_max_asof,ndvi_slope_asof,ndvi_last_value_asof,ndvi_integral_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_above_05_days_asof,years_since_sunflower,years_since_wheat,rotation_pair,wx_temp_mean_to_asof,wx_temp_max_to_asof,wx_precip_sum_to_asof,wx_srad_sum_to_asof,wx_srad_mean_to_asof,wx_vpd_max_to_asof,wx_vpd_mean_to_asof,wx_vpd_days_high_to_asof,wx_et0_sum_to_asof,wx_water_balance_to_asof,wx_gdd_sunflower_to_asof,wx_gdd_wheat_to_asof,wx_hot_d30_to_asof,wx_hot_d35_to_asof,wx_dry_days_to_asof,wx_drought_run_to_asof,wx_heat_run_to_asof,wx_precip_sum_last30d,wx_srad_sum_last30d,wx_et0_sum_last30d,wx_vpd_max_last30d,wx_temp_max_last30d,wx_apr_precip,wx_apr_temp_mean,wx_apr_temp_max,wx_apr_srad,wx_apr_et0,wx_apr_vpd_max,wx_apr_hot_d30,wx_may_precip,wx_may_temp_mean,wx_may_temp_max,wx_may_srad,wx_may_et0,wx_may_vpd_max,wx_may_hot_d30,wx_jun_precip,wx_jun_temp_mean,wx_jun_temp_max,wx_jun_srad,wx_jun_et0,wx_jun_vpd_max,wx_jun_hot_d30,ndvi_anom_mean_asof,ndvi_anom_max_asof,ndvi_anom_min_asof,ndvi_anom_last_value_asof,ndvi_anom_last30d_mean_asof,ndvi_baseline_n_years
223,2010,40.0,40.0,2.8213,estimate_normalized,True,70.0,70.93112,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,430.0,29.0,0.4210689655172414,0.663,0.176,0.1869993418823903,0.221,0.609,0.661,0.0107990995895803,0.663,12.211,176.0,0.487,13.0,1,99,40__40,8.593406593406593,31.2,179.89999999999998,2023.97,22.24142857142857,3.3,1.103076923076923,12,306.4899999999999,-126.58999999999992,450.49999999999994,575.4,1,0,67,12,1,52.900000000000006,741.2799999999999,136.56,3.3,31.2,29.0,-0.1033333333333333,22.4,631.9,68.02,2.21,0,98.0,9.148387096774194,23.0,650.79,101.91,1.76,0,52.9,16.716666666666665,31.2,741.28,136.56,3.3,1,0.06719968527640942,0.16954999999999998,-0.00687500000000002,0.06325555555555551,0.10907348272642389,3
224,2010,40.0,40.0,2.7485,estimate_normalized,True,104.0,106.08424,6.5,3.808,191.728,598.903534,18.618,516.0,32.0,0.40328125,0.671,0.152,0.175429514758599,0.2065,0.5597500000000001,0.6676666666666667,0.0101139291022183,0.662,12.905,176.0,0.519,11.0,1,99,40__40,10.247252747252746,32.5,209.1,2017.96,22.175384615384615,3.29,1.1625274725274726,14,314.15999999999997,-105.05999999999996,541.4,678.9,3,0,66,12,2,47.8,744.2899999999998,138.17000000000002,3.29,32.5,34.0,1.8733333333333335,24.3,629.11,73.06,2.52,0,127.3,10.66451612903226,24.8,644.56,102.93,1.93,0,47.8,18.19,32.5,744.29,138.17000000000002,3.29,3,0.009767340067340067,0.15837500000000004,-0.12842499999999998,0.10934722222222226,0.047272568084472846,3
226,2010,40.0,40.0,2.0662,estimate_normalized,True,40.0,41.00801,7.2,3.79,218.81,806.48818,8.56,420.0,29.0,0.3758620689655173,0.585,0.165,0.1234726618179467,0.257,0.452,0.577,0.0077688232397833,0.585,10.900000000000002,178.0,0.4199999999999999,3.0,1,99,40__40,9.01098901098901,31.5,209.1,2017.96,22.175384615384615,3.22,1.1076923076923078,12,306.39,-97.29,466.7,594.8000000000001,2,0,66,12,1,47.8,744.2899999999998,135.87,3.22,31.5,34.0,0.5733333333333335,23.2,629.11,69.81,2.33,0,127.3,9.435483870967742,23.6,644.56,100.71,1.8,0,47.8,17.01,31.5,744.29,135.87,3.22,2,-0.07336508392629086,0.0014777777777778,-0.13385000000000002,0.0014777777777778,-0.07219270502645506,3
227,2010,40.0,40.0,2.7361,estimate_normalized,True,346.0,348.50924,6.953846153846154,3.8015384615384615,195.0484615384616,763.0697146153847,10.056153846153848,475.38461538461536,35.0,0.3024285714285714,0.627,0.124,0.1415460118455753,0.1875,0.423,0.5766666666666667,0.0073494370779422,0.627,10.585,176.0,0.503,4.0,1,99,40__40,9.01098901098901,31.5,209.1,2017.96,22.175384615384615,3.22,1.1076923076923078,12,306.39,-97.29,466.7,594.8000000000001,2,0,66,12,1,47.8,744.2899999999998,135.87,3.22,31.5,34.0,0.5733333333333335,23.2,629.11,69.81,2.33,0,127.3,9.435483870967742,23.6,644.56,100.71,1.8,0,47.8,17.01,31.5,744.29,135.87,3.22,2,-0.03959799319727892,0.06587407407407408,-0.17004761904761906,0.06587407407407408,-0.054349655388471196,3
228,2010,40.0,40.0,2.3478000000000003,estimate_normalized,True,59.0,55.06353,6.699999999999999,3.515,179.82,438.82045,7.755,420.0,27.0,0.495037037037037,0.632,0.191,0.1499969089759251,0.3535,0.6114999999999999,0.629,0.0093615478331496,0.632,13.366,176.0,0.441,17.0,1,99,40__40,10.247252747252746,32.5,209.1,2017.96,22.175384615384615,3.29,1.1625274725274726,14,314.15999999999997,-105.05999999999996,541.4,678.9,3,0,66,12,2,47.8,744.2899999999998,138.17000000000002,3.29,32.5,34.0,1.8733333333333335,24.3,629.11,73.06,2.52,0,127.3,10.66451612903226,24.8,644.56,102.93,1.93,0,47.8,18.19,32.5,744.29,138.17000000000002,3.29,3,0.12646447677836567,0.21229999999999993,0.004500000000000004,0.13405555555555554,0.15734785247432306,3
229,2010,40.0,40.0,1.4924,estimate_normalized,True,12.0,9.82891,6.4,2.36,225.3,220.85171,12.11,480.0,29.0,0.379448275862069,0.561,0.124,0.1654397663505688,0.236,0.532,0.5575000000000001,0.0094954577248532,0.561,11.004,178.0,0.437,13.0,1,99,40__40,10.247252747252746,32.5,209.1,2017.96,22.175384615384615,3.29,1.1625274725274726,14,314.15999999999997,-105.05999999999996,541.4,678.9,3,0,66,12,2,47.8,744.2899999999998,138.17000000000002,3.29,32.5,34.0,1.8733333333333335,24.3,629.11,73.06,2.52,0,127.3,10.66451612903226,24.8,644.56,102.93,1.93,0,47.8,18.19,32.5,744.29,138.17000000000002,3.29,3,0.06228747947454844,0.14640000000000003,-0.0413,0.09940740740740744,0.10771481481481483,3
230,2010,40.0,40.0,2.5814,estimate_normalized,True,223.0,222.45567,7.1000000000000005,3.73,184.71,792.107215,3.6633333333333336,445.0,33.0,0.2883030303030303,0.558,0.187,0.0929155644229177,0.2,0.311,0.4953333333333333,0.0050344582761395,0.558,9.514,176.0,0.371,1.0,1,99,40__40,9.810989010989012,32.4,209.1,2017.96,22.175384615384615,3.43,1.1710989010989012,13,313.37999999999994,-104.27999999999994,521.6,655.8000000000001,3,0,66,12,2,47.8,744.2899999999998,138.78,3.43,32.4,34.0,1.21,23.8,629.11,70.9,2.4,0,127.3,10.332258064516129,24.3,644.56,103.7,1.87,0,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,-0.055030431297097976,0.05321666666666669,-0.12777777777777777,0.05321666666666669,-0.07390011835143417,3
231,2010,40.0,40.0,2.7244,estimate_normalized,True,235.0,231.50464,7.2625,3.685,204.0575,646.09227125,9.26,453.75,32.0,0.350375,0.537,0.192,0.1118913395889065,0.236,0.45425,0.5346666666666667,0.0063492243413161,0.537,11.212,181.0,0.345,3.0,1,99,40__40,9.01098901098901,31.5,209.1,2017.96,22.175384615384615,3.22,1.1076923076923078,12,306.39,-97.29,466.7,594.8000000000001,2,0,66,12,1,47.8,744.2899999999998,135.87,3.22,31.5,34.0,0.5733333333333335,23.2,629.11,69.81,2.33,0,127.3,9.435483870967742,23.6,644.56,100.71,1.8,0,47.8,17.01,31.5,744.29,135.87,3.22,2,-0.03746243066829004,0.026100000000000012,-0.09454761904761905,-0.08490277777777777,-0.045718609307359305,3
232,2010,40.0,40.0,2.0457,estimate_normalized,True,296.0,296.88138,6.609090909090909,3.7290909090909095,211.9754545454545,649.4797309090909,7.533636363636364,452.7272727272728,34.0,0.2671764705882353,0.586,0.163,0.1014832558162806,0.18925,0.34475,0.5043333333333333,0.0051692767079049,0.586,9.084,181.0,0.4229999999999999,1.0,1,99,40__40,9.01098901098901,31.5,209.1,2017.96,22.175384615384615,3.22,1.1076923076923078,12,306.39,-97.29,466.7,594.8000000000001,2,0,66,12,1,47.8,744.2899999999998,135.87,3.22,31.5,34.0,0.5733333333333335,23.2,629.11,69.81,2.33,0,127.3,9.435483870967742,23.6,644.56,100.71,1.8,0,47.8,17.01,31.5,744.29,135.87,3.22,2,-0.05807916666666667,0.010638888888888864,-0.12412037037037038,0.010638888888888864,-0.08478220238095238,3
233,2010,40.0,40.0,2.9024,estimate_normalized,True,39.0,38.82,6.7,3.57,211.75,698.55237,6.06,510.0,28.0,0.4849999999999999,0.726,0.181,0.1784598794447328,0.30525,0.633,0.724,0.0112131252716322,0.726,13.579999999999998,178.0,0.5449999999999999,15.0,1,99,40__40,9.01098901098901,31.5,209.1,2017.96,22.175384615384615,3.22,1.1076923076923078,12,306.39,-97.29,466.7,594.8000000000001,2,0,66,12,1,47.8,744.2899999999998,135.87,3.22,31.5,34.0,0.5733333333333335,23.2,629.11,69.81,2.33,0,127.3,9.435483870967742,23.6,644.56,100.71,1.8,0,47.8,17.01,31.5,744.29,135.87,3.22,2,0.07692162226001512,0.2377129629629629,-0.06374999999999997,0.2237851851851852,0.1294036688944584,3
