field_id,year,field_tillable_area,field_calculated_area,field_lat,field_long,ops_count_total,ops_count_soil,ops_count_application,ops_count_harvesting,ops_count_seeding,ops_count_tillage,ops_count_spraying,ops_npk_n_total,ops_npk_p_total,ops_npk_k_total,ops_npk_total,ops_season_start,ops_season_end,ops_season_duration_days,ops_days_seeding_to_harvest,ops_yield_t_ha,crop_id,crop_name,crop_season_type,ndvi_observations,ndvi_mean_season,ndvi_max_season,ndvi_early,ndvi_mid,ndvi_late,target_yield_t_ha
195,2025,123.0,122.42127,50.42198096600295,82.4644614849937,17,7,8,1,0,0,0,57.79559984469431,0.0,0.0,57.79559984469431,2024-07-22,2025-09-18,423.0,136.0,2.7195121951219514,43.0,Пшеница яровая,spring,96,0.41765625,0.758,0.38909375,0.6379999999999999,0.225875,28.708
195,2010,123.0,122.42127,50.42198096600295,82.4644614849937,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,105,0.38760952380952385,0.667,0.3613714285714286,0.5615714285714286,0.2398857142857143,17.763
195,2011,123.0,122.42127,50.42198096600295,82.4644614849937,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,105,0.3561142857142857,0.676,0.32314285714285723,0.5190285714285713,0.22617142857142855,16.394
195,2012,123.0,122.42127,50.42198096600295,82.4644614849937,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,98,0.44981632653061215,0.76,0.25515151515151513,0.6638484848484848,0.42984375,20.692
195,2013,123.0,122.42127,50.42198096600295,82.4644614849937,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,68,0.36405882352941177,0.631,0.4342173913043478,0.4228260869565218,0.2292727272727273,19.425
195,2014,123.0,122.42127,50.42198096600295,82.4644614849937,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,83,0.462843373493976,0.737,0.2820357142857143,0.691392857142857,0.4133333333333333,27.474
195,2015,123.0,122.42127,50.42198096600295,82.4644614849937,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,83,0.33575903614457825,0.511,0.3220714285714285,0.3503928571428571,0.33477777777777784,8.484
195,2016,123.0,122.42127,50.42198096600295,82.4644614849937,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,84,0.38655952380952374,0.652,0.5062857142857142,0.4255357142857143,0.22785714285714284,23.569
195,2017,123.0,122.42127,50.42198096600295,82.4644614849937,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,89,0.35023595505617977,0.677,0.43679999999999997,0.3801,0.2297931034482759,16.511
195,2018,123.0,122.42127,50.42198096600295,82.4644614849937,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,83,0.4572409638554218,0.769,0.3554285714285714,0.7121428571428572,0.2984814814814815,29.441
195,2019,123.0,122.42127,50.42198096600295,82.4644614849937,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,93,0.40604301075268817,0.75,0.4315483870967743,0.5716451612903225,0.21493548387096773,29.511
195,2020,123.0,122.42127,50.42198096600295,82.4644614849937,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,83,0.4010843373493977,0.617,0.25657142857142856,0.5516071428571429,0.3948518518518518,14.514
195,2021,123.0,122.42127,50.42198096600295,82.4644614849937,7,2,4,1,0,0,0,18.675862068965518,0.0,0.0,18.675862068965518,2021-04-19,2021-08-22,124.0,113.0,2.022276422764228,3.0,Ячмень яровой,spring,94,0.4027978723404255,0.753,0.36684375,0.6269677419354839,0.215741935483871,35.18
195,2022,123.0,122.42127,50.42198096600295,82.4644614849937,12,4,6,1,0,0,0,35.9179945799458,23.0,0.0,58.9179945799458,2021-08-02,2022-08-10,373.0,350.0,2.1216260162601626,44.0,Пшеница озимая,winter,107,0.3462990654205607,0.686,0.4512222222222222,0.3968888888888889,0.18634285714285712,24.872
195,2023,123.0,122.42127,50.42198096600295,82.4644614849937,13,4,6,1,0,0,0,18.946048780487807,50.0390243902439,0.0,68.98507317073171,2022-07-27,2023-08-10,379.0,355.0,0.8904065040650406,44.0,Пшеница озимая,winter,93,0.36778494623655905,0.617,0.3234193548387096,0.4559999999999999,0.32393548387096766,18.031
195,2024,123.0,122.42127,50.42198096600295,82.4644614849937,14,7,5,1,0,0,0,10.5,48.300000000000004,0.0,58.800000000000004,2023-06-01,2024-09-29,486.0,156.0,2.7365853658536587,40.0,Подсолнечник,spring,85,0.4973647058823528,0.801,0.3612758620689656,0.7383928571428573,0.3972857142857144,33.274
197,2025,343.0,343.71311,50.43149523573457,82.4485335081973,15,7,6,1,0,0,0,57.79559984469971,0.0,0.0,57.79559984469971,2024-07-22,2025-08-17,391.0,108.0,3.779416909620991,43.0,Пшеница яровая,spring,100,0.42799,0.762,0.401235294117647,0.6118787878787879,0.27166666666666667,31.238
197,2010,343.0,343.71311,50.43149523573457,82.4485335081973,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,151.0,,,,,110,0.36699090909090903,0.701,0.37513513513513513,0.528027027027027,0.19311111111111112,22.141
