peer_row_id,year,standard_name,crop,variety,previous_crop_name,previous_crop_productivity_estimate_crop_name,previous_crop_standard_name,area,target_yield_t_ha,target_source,asof_tag,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_last_value_asof,ndvi_last_doy_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_slope_asof,ndvi_integral_asof,ndvi_last30d_mean_asof,ndvi_above_05_n_asof,sowing_known_asof,sowing_doy,days_after_sowing_asof
8774,2015,sunflower,sunflower,missing,Winter Wheat,wheat_winter,wheat_winter,92.00746,0.9,productivity_estimate_peers_productivity_c_ha,07_01,42,0.2927142857142857,0.396,0.187,0.07238596473872862,0.21025,0.36475,0.396,176.0,176.0,0.20900000000000002,0.0015761565613969322,42.788000000000004,0.385,0,0,,
8775,2025,sunflower,sunflower,П64ЛЕ145,Sunflower,sunflower,sunflower,77.45,0.71,productivity_estimate_peers_productivity_c_ha,07_01,64,0.342703125,0.507,0.213,0.08688726166840784,0.28574999999999995,0.4105,0.507,182.0,182.0,0.29400000000000004,0.00109032066926386,59.946000000000005,0.43733333333333335,3,1,125.0,57.0
8776,2023,sunflower,sunflower,НСХ 2649 Гранстар,Winter Barley,barley_winter,barley_winter,20.49289,0.9105597,productivity_estimate_peers_productivity_c_ha,07_01,55,0.3138727272727273,0.463,0.221,0.07201364884405394,0.2505,0.381,0.431,182.0,148.0,0.24200000000000002,0.0010810683697030212,53.950500000000005,0.4041875,0,1,128.0,54.0
8777,2017,sunflower,sunflower,missing,Spring Wheat,wheat_spring,wheat_spring,229.87,2.1,productivity_estimate_peers_productivity_c_ha,07_01,36,0.3192777777777777,0.623,0.148,0.14352324842862973,0.2125,0.404,0.623,180.0,180.0,0.475,0.005970935796612993,19.749000000000002,0.40728571428571425,7,0,,
8778,2018,sunflower,sunflower,missing,missing,missing,missing,72.02,2.024,productivity_estimate_peers_productivity_c_ha,07_01,27,0.32007407407407407,0.625,0.16,0.12509312854560736,0.209,0.398,0.625,180.0,180.0,0.46499999999999997,0.006021235256272799,19.698999999999998,0.38172222222222224,2,0,,
8779,2024,sunflower,sunflower,missing,Winter Wheat,wheat_winter,wheat_winter,211.98172,2.02,productivity_estimate_peers_productivity_c_ha,07_01,35,0.34131428571428574,0.681,0.178,0.1401270385713461,0.265,0.381,0.68,183.0,181.0,0.5030000000000001,0.005371436767184194,27.0495,0.46185714285714285,6,1,133.0,50.0
8780,2021,sunflower,sunflower,НК неома,Winter Barley,barley_winter,barley_winter,82.33,2.159,productivity_estimate_peers_productivity_c_ha,07_01,33,0.38927272727272727,0.772,0.15,0.24999748759068138,0.186,0.727,0.767,182.0,181.0,0.622,0.005081802096093646,42.6555,0.7347272727272728,11,1,123.0,59.0
8781,2022,sunflower,sunflower,missing,Corn,maize,maize,176.79471,2.31,productivity_estimate_peers_productivity_c_ha,07_01,34,0.43138235294117644,0.757,0.189,0.20387683922146296,0.23525,0.63825,0.757,182.0,182.0,0.5680000000000001,0.0082899261299005,33.8165,0.6405333333333333,12,0,,
8782,2021,sunflower,sunflower,Морозко,Winter Wheat,wheat_winter,wheat_winter,96.95,2.337,productivity_estimate_peers_productivity_c_ha,07_01,37,0.3122432432432432,0.697,0.207,0.1649288799068229,0.21,0.262,0.696,177.0,175.0,0.49,0.002283024764639642,51.4345,0.68,6,0,,
8783,2022,sunflower,sunflower,ЛГ 59580,Corn,maize,maize,93.57,1.9825,productivity_estimate_peers_productivity_c_ha,07_01,50,0.2792,0.692,0.171,0.13072964468704104,0.19925,0.31575,0.687,182.0,181.0,0.5209999999999999,0.004347415980332222,25.899499999999996,0.44628571428571434,6,1,126.0,56.0
8784,2021,sunflower,sunflower,Бакарди,Winter Wheat,wheat_winter,wheat_winter,47.08,1.98,productivity_estimate_peers_productivity_c_ha,07_01,29,0.30275862068965514,0.693,0.162,0.14263279479075505,0.198,0.388,0.693,182.0,182.0,0.5309999999999999,0.0035720581158100303,34.132,0.5121249999999999,4,1,135.0,47.0
8785,2022,sunflower,sunflower,ЛГ 59580,Spring Wheat,wheat_spring,wheat_spring,98.46,1.9994,productivity_estimate_peers_productivity_c_ha,07_01,50,0.2981,0.692,0.188,0.14302548723916308,0.2075,0.32075,0.692,182.0,181.0,0.504,0.004514582447525414,26.958,0.48464285714285715,7,1,126.0,56.0
8786,2022,sunflower,sunflower,LG 54.63CL,Spring Wheat,wheat_spring,wheat_spring,112.88072,2.0861261,productivity_estimate_peers_productivity_c_ha,07_01,42,0.3037142857142857,0.655,0.167,0.1521265584831208,0.178,0.39325,0.655,182.0,182.0,0.488,0.007032759741856512,22.168499999999998,0.4700588235294118,6,1,128.0,54.0
