field_id,year,target_yield_t_ha,crop_id,prev_crop_id,field_tillable_area,field_calculated_area,field_lat,field_long,ndvi_observations,ndvi_mean_season,ndvi_max_season,ndvi_early,ndvi_mid,ndvi_late,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_N_NO3,field_soil_Mg,field_soil_CEC,field_soil_Ca_saturation,weather_temp_avg_season,weather_gdd_season,weather_precip_sum_season,weather_precip_sum_early,weather_hot_days
222,2025,29.642,40.0,43.0,62.0,62.12991,50.43115826493252,82.3109971881627,95,0.46663157894736845,0.754,0.34981249999999997,0.6879375000000001,0.3587741935483871,6.9,3.725,206.315,278.80506,4.845,,420.0,,,15.06396739130435,1205.04,598.56,310.95,24.0
223,2010,28.213,40.0,40.0,70.0,70.93112,50.43672170185941,82.32653521086154,96,0.43877083333333333,0.697,0.460625,0.57734375,0.27834375,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,,,,,
223,2011,29.624,40.0,40.0,70.0,70.93112,50.43672170185941,82.32653521086154,101,0.4550792079207921,0.748,0.41858823529411765,0.6336764705882353,0.30866666666666664,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,,,,,
223,2012,13.923,40.0,40.0,70.0,70.93112,50.43672170185941,82.32653521086154,89,0.41864044943820233,0.71,0.2912666666666667,0.5994666666666667,0.3633448275862068,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,,,,,
223,2013,14.59,40.0,40.0,70.0,70.93112,50.43672170185941,82.32653521086154,71,0.41138028169014085,0.606,0.45937500000000003,0.4437083333333333,0.32756521739130434,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,15.11,943.92,244.0,145.8,6.0
223,2014,24.033,40.0,40.0,70.0,70.93112,50.43672170185941,82.32653521086154,79,0.47943037974683544,0.733,0.636,0.5021538461538462,0.2941153846153846,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,14.840054347826085,1072.9499999999998,293.6,162.1,43.0
223,2015,14.01,40.0,40.0,70.0,70.93112,50.43672170185941,82.32653521086154,82,0.3985,0.626,0.3848214285714286,0.5240740740740741,0.28711111111111115,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,16.413749999999997,307.86,62.5,62.5,4.0
223,2016,21.369,40.0,40.0,70.0,70.93112,50.43672170185941,82.32653521086154,83,0.4126144578313253,0.742,0.39824999999999994,0.5325357142857142,0.3031481481481481,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,11.147977528089887,403.52000000000004,183.10000000000002,0.0,2.0
223,2017,15.957,20.0,40.0,70.0,70.93112,50.43672170185941,82.32653521086154,88,0.4728636363636363,0.734,0.3262,0.6210689655172414,0.4763793103448276,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,15.284999999999998,1229.91,106.6,7.0,38.0
223,2018,15.562,40.0,20.0,70.0,70.93112,50.43672170185941,82.32653521086154,88,0.3918522727272728,0.553,0.3268000000000001,0.5148275862068966,0.33617241379310353,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,14.329782608695652,1011.93,300.4,132.0,37.0
223,2019,24.601,40.0,40.0,70.0,70.93112,50.43672170185941,82.32653521086154,92,0.48028260869565215,0.745,0.37748387096774194,0.677451612903226,0.38276666666666664,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,14.965054347826085,1104.3799999999999,287.0,127.70000000000002,36.0
223,2020,11.26,43.0,40.0,70.0,70.93112,50.43672170185941,82.32653521086154,68,0.399014705882353,0.496,0.35534782608695653,0.4556521739130434,0.3854545454545454,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,17.62261437908497,1933.5900000000001,193.2,92.20000000000002,41.0
223,2021,26.7,40.0,43.0,70.0,70.93112,50.43672170185941,82.32653521086154,84,0.4638452380952381,0.789,0.32921428571428574,0.69375,0.3685714285714286,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,14.716576086956524,1128.4399999999998,256.4,142.1,35.0
223,2022,28.408,43.0,40.0,70.0,70.93112,50.43672170185941,82.32653521086154,85,0.4111411764705883,0.734,0.34141379310344827,0.6195714285714287,0.2749285714285714,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,17.957712418300652,1994.12,148.2,110.9,42.0
223,2023,19.374,3.0,43.0,70.0,70.93112,50.43672170185941,82.32653521086154,87,0.3853793103448275,0.607,0.2756896551724138,0.5462413793103448,0.33420689655172414,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,,430.0,,,15.950489130434782,1221.05,324.20000000000005,89.8,42.0
