field_id,year,field_tillable_area,field_calculated_area,field_lat,field_long,ops_count_total,ops_count_soil,ops_count_application,ops_count_harvesting,ops_count_seeding,ops_count_tillage,ops_count_spraying,ops_npk_n_total,ops_npk_p_total,ops_npk_k_total,ops_npk_total,ops_season_start,ops_season_end,ops_season_duration_days,ops_days_seeding_to_harvest,ops_yield_t_ha,crop_id,crop_name,crop_season_type,ndvi_observations,ndvi_mean_season,ndvi_max_season,ndvi_early,ndvi_mid,ndvi_late,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_N_NO3,field_soil_Mg,field_soil_CEC,field_soil_Ca_saturation,weather_temp_avg_season,weather_gdd_season,weather_precip_sum_season,weather_precip_sum_early,weather_hot_days,target_yield_t_ha,prev_crop_id
195,2021,123.0,122.42127,50.42198096600295,82.4644614849937,7,2,4,1,0,0,0,18.675862068965518,0.0,0.0,18.675862068965518,2021-04-19,2021-08-22,124.0,113.0,2.022276422764228,3.0,Ячмень яровой,spring,94,0.4027978723404255,0.753,0.36684375,0.6269677419354839,0.215741935483871,6.9,3.6425,225.2,499.4803025,7.5175,,427.5,,,14.716576086956524,1128.4399999999998,256.4,142.1,35.0,35.18,20.0
195,2022,123.0,122.42127,50.42198096600295,82.4644614849937,12,4,6,1,0,0,0,35.9179945799458,23.0,0.0,58.9179945799458,2021-08-02,2022-08-10,373.0,350.0,2.1216260162601626,44.0,Пшеница озимая,winter,107,0.3462990654205607,0.686,0.4512222222222222,0.3968888888888889,0.18634285714285712,6.9,3.6425,225.2,499.4803025,7.5175,,427.5,,,15.912065217391305,1263.7199999999998,169.0,110.9,42.0,24.872,3.0
195,2023,123.0,122.42127,50.42198096600295,82.4644614849937,13,4,6,1,0,0,0,18.946048780487807,50.0390243902439,0.0,68.98507317073171,2022-07-27,2023-08-10,379.0,355.0,0.8904065040650406,44.0,Пшеница озимая,winter,93,0.36778494623655905,0.617,0.3234193548387096,0.4559999999999999,0.32393548387096766,6.9,3.6425,225.2,499.4803025,7.5175,,427.5,,,15.950489130434782,1221.05,324.20000000000005,89.8,42.0,18.031,44.0
195,2024,123.0,122.42127,50.42198096600295,82.4644614849937,14,7,5,1,0,0,0,10.5,48.300000000000004,0.0,58.800000000000004,2023-06-01,2024-09-29,486.0,156.0,2.7365853658536587,40.0,Подсолнечник,spring,85,0.4973647058823528,0.801,0.3612758620689656,0.7383928571428573,0.3972857142857144,6.9,3.6425,225.2,499.4803025,7.5175,,427.5,,,15.703804347826088,1234.36,266.7,189.4,32.0,33.274,44.0
195,2025,123.0,122.42127,50.42198096600295,82.4644614849937,17,7,8,1,0,0,0,57.79559984469431,0.0,0.0,57.79559984469431,2024-07-22,2025-09-18,423.0,136.0,2.7195121951219514,43.0,Пшеница яровая,spring,85,0.4470823529411766,0.758,0.3596551724137931,0.6931785714285715,0.2915357142857143,6.9,3.6425,225.2,499.4803025,7.5175,,427.5,,,17.773464052287583,1958.2,549.16,310.95,24.0,28.708,40.0
197,2021,343.0,343.71311,50.43149523573457,82.4485335081973,10,3,5,1,0,0,0,19.87878787878788,0.0,0.0,19.87878787878788,2021-04-20,2021-08-23,125.0,114.0,2.5284548104956266,3.0,Ячмень яровой,spring,92,0.4306847826086957,0.758,0.3778709677419355,0.6721612903225805,0.2357333333333333,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,,454.61538461538464,,,14.716576086956524,1128.4399999999998,256.4,142.1,35.0,37.068,20.0
197,2022,343.0,343.71311,50.43149523573457,82.4485335081973,13,4,7,1,0,0,0,43.49387755102041,23.0,0.0,66.4938775510204,2021-08-02,2022-09-21,415.0,349.0,1.5206997084548106,44.0,Пшеница озимая,winter,110,0.3538454545454546,0.727,0.4344324324324324,0.4349729729729729,0.1876388888888889,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,,454.61538461538464,,,15.912065217391305,1263.7199999999998,169.0,110.9,42.0,32.342,3.0
197,2023,343.0,343.71311,50.43149523573457,82.4485335081973,13,4,6,1,0,0,0,82.52179739365626,48.52128279883382,0.0,131.0430801924901,2022-07-27,2023-08-20,389.0,365.0,1.0820991253644316,44.0,Пшеница озимая,winter,95,0.37631578947368416,0.644,0.29371875000000003,0.4575625,0.37770967741935485,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,,454.61538461538464,,,15.950489130434782,1221.05,324.20000000000005,89.8,42.0,21.737,44.0
197,2024,343.0,343.71311,50.43149523573457,82.4485335081973,14,7,5,1,0,0,0,10.4,47.84,0.0,58.24,2023-06-01,2024-10-02,489.0,159.0,3.2877551020408164,40.0,Подсолнечник,spring,91,0.5088241758241758,0.798,0.3762258064516129,0.7486666666666666,0.40599999999999997,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,,454.61538461538464,,,15.703804347826088,1234.36,266.7,189.4,32.0,32.481,44.0
197,2025,343.0,343.71311,50.43149523573457,82.4485335081973,15,7,6,1,0,0,0,57.79559984469971,0.0,0.0,57.79559984469971,2024-07-22,2025-08-17,391.0,108.0,3.779416909620991,43.0,Пшеница яровая,spring,88,0.4477727272727272,0.762,0.35926666666666673,0.6958620689655173,0.29124137931034483,6.976923076923077,3.579230769230769,216.96,502.5284007692308,4.591538461538462,,454.61538461538464,,,17.773464052287583,1958.2,549.16,310.95,24.0,31.238,40.0
