peer_row_id,year,standard_name,crop,variety,previous_crop_name,previous_crop_productivity_estimate_crop_name,previous_crop_standard_name,area,target_yield_t_ha,target_source,asof_tag,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_last_value_asof,ndvi_last_doy_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_slope_asof,ndvi_integral_asof,ndvi_last30d_mean_asof,ndvi_above_05_n_asof,sowing_known_asof,sowing_doy,days_after_sowing_asof
0,2025,wheat_spring,wheat_spring,missing,Spring Wheat,wheat_spring,wheat_spring,105.7,2.9424786999999997,productivity_estimate_peers_productivity_c_ha,09_01,51,0.4729803921568627,0.768,0.183,0.19427133745539757,0.2885,0.6185,0.398,240.0,194.0,0.585,0.0032907502003653158,65.708,0.46444444444444444,22,1,133.0,111.0
1,2022,wheat_spring,wheat_spring,Икар,Spring Wheat,wheat_spring,wheat_spring,58.24,2.92,productivity_estimate_peers_productivity_c_ha,09_01,50,0.43764,0.755,0.196,0.20454229489276782,0.2715,0.667,0.333,244.0,189.0,0.5589999999999999,0.0020366452389210645,64.52749999999999,0.42794117647058827,18,1,142.0,102.0
2,2021,wheat_spring,wheat_spring,Ликамеро,Fallow,fallow,fallow,128.0,2.9,productivity_estimate_peers_productivity_c_ha,09_01,61,0.4431639344262294,0.753,0.154,0.20147319557534188,0.293,0.668,0.36,244.0,194.0,0.599,0.00299425390738927,64.3325,0.37866666666666665,22,1,140.0,104.0
3,2022,wheat_spring,wheat_spring,Икар,Pea,pea,pea,194.81,3.0420000000000003,productivity_estimate_peers_productivity_c_ha,09_01,58,0.4206206896551724,0.738,0.186,0.19792682621983157,0.27175000000000005,0.6707500000000001,0.271,244.0,174.0,0.552,0.0013133104297556322,61.958000000000006,0.33705555555555555,17,1,136.0,108.0
4,2024,wheat_spring,wheat_spring,missing,Pea,pea,pea,83.4,3.0910713999999997,productivity_estimate_peers_productivity_c_ha,09_01,49,0.41326530612244905,0.738,0.055,0.2125134113904924,0.243,0.617,0.44,245.0,192.0,0.6829999999999999,0.002679745489960021,75.14099999999999,0.42050000000000004,17,1,120.0,125.0
5,2022,wheat_spring,wheat_spring,Архат,Spring Oat,avena_spring,avena_spring,123.31,3.133728,productivity_estimate_peers_productivity_c_ha,09_01,66,0.4522272727272727,0.747,0.155,0.20768542612782273,0.2665,0.665,0.256,244.0,183.0,0.592,0.0010443099811010244,60.239999999999995,0.34043478260869564,26,1,132.0,112.0
6,2025,wheat_spring,wheat_spring,Ульяновская 105,Свекла сахарная,missing,missing,245.47001,2.7684034,productivity_estimate_peers_productivity_c_ha,09_01,70,0.3887999999999999,0.744,0.145,0.21157900246885153,0.19025,0.5832499999999999,0.272,244.0,176.0,0.599,0.0029960761199416576,68.73499999999999,0.3622222222222222,23,1,139.0,105.0
7,2024,wheat_spring,wheat_spring,Гренада,Spring Barley,barley_spring,barley_spring,95.72,2.6640201,productivity_estimate_peers_productivity_c_ha,09_01,55,0.45269090909090914,0.737,0.155,0.19739060240385142,0.2975,0.677,0.338,245.0,183.0,0.582,0.003032517202552233,66.18299999999999,0.36200000000000004,23,1,124.0,121.0
8,2022,wheat_spring,wheat_spring,Архат,Однолетние травы,missing,missing,95.72,2.6257052,productivity_estimate_peers_productivity_c_ha,09_01,62,0.441016129032258,0.709,0.157,0.18793714563011815,0.276,0.607,0.269,244.0,191.0,0.5519999999999999,0.0012250179162996634,60.9285,0.37520833333333337,26,1,135.0,109.0
9,2022,wheat_spring,wheat_spring,Архат,Sunflower,sunflower,sunflower,103.28,2.6210302,productivity_estimate_peers_productivity_c_ha,09_01,50,0.46863999999999995,0.74,0.14,0.20303219055115374,0.3015,0.724,0.287,242.0,189.0,0.6,0.0014519566435504576,62.7215,0.3873125,22,1,135.0,109.0
