field_id,year,target_yield_t_ha,crop_id,prev_crop_id,field_id,field_tillable_area,field_calculated_area,field_lat,field_long,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_N_NO3,field_soil_Mg,field_soil_CEC,field_soil_Ca_saturation,ndvi_observations,ndvi_mean_season,ndvi_max_season,ndvi_min_season,ndvi_std_season,ndvi_early,ndvi_mid,ndvi_late,ndvi_trend,ndvi_green_period_days,ndvi_peak_date,ndvi_peak_doy,ndvi_integral,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_N_NO3,field_soil_Mg,field_soil_CEC,field_soil_Ca_saturation,weather_temp_min_mean,weather_temp_min_min,weather_temp_min_max,weather_temp_avg_mean,weather_temp_avg_min,weather_temp_avg_max,weather_temp_max_mean,weather_temp_max_min,weather_temp_max_max,weather_precip_sum,weather_precip_mean,weather_snow_mean,weather_snow_max
213,2022,23.059,40.0,43.0,213,14.0,16.53751,50.39439495003087,82.4009559934276,7.2,3.39,148.5,272.23874,13.42,,420.0,,,113,0.3991592920353982,0.75,0.105,0.19504443478948957,0.36453846153846153,0.6068,0.24743589743589745,-0.001356327766318448,46,2022-07-11,192.0,80.027,7.2,3.39,148.5,272.23874,13.42,,420.0,,,-1.3495616438356164,-36.4,20.3,4.331150684931506,-32.91,27.13,11.111698630136988,-28.0,39.5,386.7,1.0594520547945203,31.98639455782313,49.0
213,2023,16.769,43.0,40.0,213,14.0,16.53751,50.39439495003087,82.4009559934276,7.2,3.39,148.5,272.23874,13.42,,420.0,,,95,0.4450947368421053,0.612,0.166,0.12092102871200872,0.36671739130434783,0.5088064516129032,0.5356666666666666,0.003333272676371779,72,2023-07-05,186.0,96.0635,7.2,3.39,148.5,272.23874,13.42,,420.0,,,0.3868219178082192,-34.3,22.7,5.611232876712329,-29.65,29.31,12.118575342465752,-27.0,40.2,553.4,1.5161643835616438,35.55263157894737,68.0
213,2025,30.796,3.0,9.0,213,14.0,16.53751,50.39439495003087,82.4009559934276,7.2,3.39,148.5,272.23874,13.42,,420.0,,,99,0.46745454545454546,0.747,0.195,0.185145793226679,0.373,0.6932333333333335,0.36385714285714277,0.0010855287569573292,53,2025-07-10,191.0,94.17399999999999,7.2,3.39,148.5,272.23874,13.42,,420.0,,,-0.0516483516483516,-31.1,19.6,5.393653846153846,-25.49,27.26,11.020054945054945,-21.4,37.0,996.74,2.738296703296703,1.5039010989010988,7.13
214,2010,19.55,40.0,40.0,214,9.0,10.99122,50.39509947120296,82.40013226517021,7.1,3.67,236.12,399.02591,8.82,,420.0,,,108,0.39288888888888895,0.713,0.18,0.1733908303870343,0.3276060606060606,0.5675714285714286,0.2358484848484848,-0.0013722122190783766,49,2010-07-24,205.0,77.473,7.1,3.67,236.12,399.02591,8.82,,420.0,,,-30.3,-30.3,-30.3,-30.3,-30.3,-30.3,-19.1,-19.1,-19.1,0.7,0.7,,
214,2011,20.53,40.0,40.0,214,9.0,10.99122,50.39509947120296,82.40013226517021,7.1,3.67,236.12,399.02591,8.82,,420.0,,,108,0.399574074074074,0.789,0.157,0.19538604029491283,0.3517894736842106,0.5528947368421053,0.27425,-0.0007425857650499689,37,2011-06-28,179.0,75.7765,7.1,3.67,236.12,399.02591,8.82,,420.0,,,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-6.0,-6.0,-6.0,0.3,0.3,,
214,2012,16.657,40.0,40.0,214,9.0,10.99122,50.39509947120296,82.40013226517021,7.1,3.67,236.12,399.02591,8.82,,420.0,,,102,0.39848039215686276,0.689,0.176,0.15089861066568766,0.3355348837209302,0.5765,0.28774074074074074,0.00032713979564718177,48,2012-07-17,199.0,83.2265,7.1,3.67,236.12,399.02591,8.82,,420.0,,,-19.2,-19.2,-19.2,-19.2,-19.2,-19.2,-11.0,-11.0,-11.0,0.0,0.0,,
214,2013,20.64,40.0,40.0,214,9.0,10.99122,50.39509947120296,82.40013226517021,7.1,3.67,236.12,399.02591,8.82,,420.0,,,72,0.45965277777777774,0.7,0.138,0.16796270207385305,0.38395,0.6351111111111111,0.33072,-0.0018687536175959866,43,2013-07-18,199.0,92.498,7.1,3.67,236.12,399.02591,8.82,,420.0,,,6.76880701754386,-27.01,24.18,6.76880701754386,-27.01,24.18,12.811333333333334,-22.3,32.6,389.6,1.3670175438596492,70.24731182795699,173.0
214,2014,26.513,40.0,40.0,214,9.0,10.99122,50.39509947120296,82.40013226517021,7.1,3.67,236.12,399.02591,8.82,,420.0,,,91,0.44356043956043956,0.736,0.162,0.19479814103557494,0.2592258064516129,0.6269534883720931,0.3158235294117646,0.002348208313425708,47,2014-07-07,188.0,85.68350000000001,7.1,3.67,236.12,399.02591,8.82,,420.0,,,4.326219178082192,-30.84,28.76,4.326219178082192,-30.84,28.76,11.234849315068494,-23.4,37.0,446.3,1.2227397260273971,6.4296875,17.0
214,2015,22.145,40.0,40.0,214,9.0,10.99122,50.39509947120296,82.40013226517021,7.1,3.67,236.12,399.02591,8.82,,420.0,,,81,0.4941851851851851,0.73,0.194,0.17289636426998045,0.40877419354838707,0.6533870967741936,0.37378947368421056,0.0009834010840108346,56,2015-07-15,196.0,84.3105,7.1,3.67,236.12,399.02591,8.82,,420.0,,,1.4680357142857143,-33.29,24.83,1.4680357142857143,-33.29,24.83,7.075595238095239,-27.0,32.8,218.9,1.3029761904761905,6.833333333333333,16.0
214,2016,23.114,40.0,40.0,214,9.0,10.99122,50.39509947120296,82.40013226517021,7.1,3.67,236.12,399.02591,8.82,,420.0,,,84,0.4545238095238095,0.648,0.157,0.13955535898508972,0.3606451612903226,0.6079523809523809,0.44478125,0.0014707502278019664,49,2016-08-13,226.0,82.4545,7.1,3.67,236.12,399.02591,8.82,,420.0,,,2.4096,-34.86,24.41,2.4096,-34.86,24.41,7.468933333333333,-29.9,32.9,315.4,2.1026666666666665,31.08823529411765,54.0
214,2017,24.927,40.0,40.0,214,9.0,10.99122,50.39509947120296,82.40013226517021,7.1,3.67,236.12,399.02591,8.82,,420.0,,,94,0.4167765957446808,0.663,0.174,0.1440061344463454,0.42886486486486486,0.5090322580645162,0.28957692307692307,-0.0011683054582234597,46,2017-06-26,177.0,79.07549999999998,7.1,3.67,236.12,399.02591,8.82,,420.0,,,4.252849315068493,-26.26,27.16,4.252849315068493,-26.26,27.16,10.634109589041095,-20.4,36.4,218.5,0.5986301369863014,39.785714285714285,74.0
