field_id,year,crop_id,prev_crop_id,target_yield_t_ha,target_source,unit_fix_applied,field_tillable_area,field_calculated_area,field_soil_pH,field_soil_OM,field_soil_P,field_soil_K,field_soil_N,field_soil_Mg,ndvi_n_obs_asof,ndvi_mean_asof,ndvi_max_asof,ndvi_min_asof,ndvi_std_asof,ndvi_p25_asof,ndvi_p75_asof,ndvi_p10_max_asof,ndvi_slope_asof,ndvi_last_value_asof,ndvi_integral_asof,ndvi_peak_doy_asof,ndvi_amplitude_asof,ndvi_above_05_days_asof,years_since_sunflower,years_since_wheat,rotation_pair,wx_temp_mean_to_asof,wx_temp_max_to_asof,wx_precip_sum_to_asof,wx_srad_sum_to_asof,wx_srad_mean_to_asof,wx_vpd_max_to_asof,wx_vpd_mean_to_asof,wx_vpd_days_high_to_asof,wx_et0_sum_to_asof,wx_water_balance_to_asof,wx_gdd_sunflower_to_asof,wx_gdd_wheat_to_asof,wx_hot_d30_to_asof,wx_hot_d35_to_asof,wx_dry_days_to_asof,wx_drought_run_to_asof,wx_heat_run_to_asof,wx_precip_sum_last30d,wx_srad_sum_last30d,wx_et0_sum_last30d,wx_vpd_max_last30d,wx_temp_max_last30d,wx_apr_precip,wx_apr_temp_mean,wx_apr_temp_max,wx_apr_srad,wx_apr_et0,wx_apr_vpd_max,wx_apr_hot_d30,wx_may_precip,wx_may_temp_mean,wx_may_temp_max,wx_may_srad,wx_may_et0,wx_may_vpd_max,wx_may_hot_d30,wx_jun_precip,wx_jun_temp_mean,wx_jun_temp_max,wx_jun_srad,wx_jun_et0,wx_jun_vpd_max,wx_jun_hot_d30,ndvi_anom_mean_asof,ndvi_anom_max_asof,ndvi_anom_min_asof,ndvi_anom_last_value_asof,ndvi_anom_last30d_mean_asof,ndvi_baseline_n_years,gdd_at_asof,ndvi_at_gdd_200,ndvi_at_gdd_400,ndvi_at_gdd_600,ndvi_at_gdd_800,ndvi_at_gdd_1000,ndvi_at_gdd_1200,ndvi_at_gdd_1400,ndvi_peak_gdd_at_asof,ndvi_peak_value_at_asof,ndvi_growth_per_100gdd
216,2010,40.0,40.0,2.8838,estimate_normalized,True,37.0,37.51924,6.4,3.71,242.68,688.96085,7.64,540.0,25.0,0.42612,0.643,0.193,0.1364622497249697,0.305,0.528,0.6255,0.0094022633744855,0.643,10.653,175.0,0.45,10.0,1,99,40__40,10.247252747252746,32.5,209.1,2017.96,22.175384615384615,3.29,1.1625274725274726,14,314.15999999999997,-105.05999999999996,541.4,678.9,3,0,66,12,2,47.8,744.2899999999998,138.17000000000002,3.29,32.5,34.0,1.8733333333333335,24.3,629.11,73.06,2.52,0,127.3,10.66451612903226,24.8,644.56,102.93,1.93,0,47.8,18.19,32.5,744.29,138.17000000000002,3.29,3,-0.1049077513227513,0.0090178571428571,-0.208775,0.0090178571428571,-0.0960603689006466,3,543.0000000000001,0.33663541394620006,0.5086544850498339,,,,,,543.0000000000001,0.6398571428571429,0.09260150375939848
217,2010,40.0,40.0,2.0382,estimate_normalized,True,408.0,408.48131,6.94,3.484666666666667,201.10266666666664,313.7409,4.662000000000001,472.0,31.0,0.2777096774193548,0.518,0.171,0.0842876004152859,0.1895,0.3285,0.4466666666666667,0.0044203225305621,0.518,8.609,181.0,0.347,1.0,1,99,40__40,8.593406593406593,31.2,179.89999999999998,2023.97,22.24142857142857,3.3,1.103076923076923,12,306.4899999999999,-126.58999999999992,450.49999999999994,575.4,1,0,67,12,1,52.900000000000006,741.2799999999999,136.56,3.3,31.2,29.0,-0.1033333333333333,22.4,631.9,68.02,2.21,0,98.0,9.148387096774194,23.0,650.79,101.91,1.76,0,52.9,16.716666666666665,31.2,741.28,136.56,3.3,1,-0.0703185718552654,0.0351,-0.2014095238095237,-0.1016396825396824,-0.1155578115814227,3,511.90000000000003,0.3183390191897655,0.3831957671957672,,,,,,511.90000000000003,0.46471428571428575,0.0597132970835393
218,2010,40.0,40.0,2.4997,estimate_normalized,True,39.0,39.30376,7.2,3.87,198.74,289.9543,4.86,390.0,26.0,0.3733846153846153,0.631,0.147,0.1647994298260947,0.203,0.5325,0.6245,0.010501647901545,0.631,9.708,171.0,0.484,8.0,1,99,40__40,8.593406593406593,31.2,179.89999999999998,2023.97,22.24142857142857,3.3,1.103076923076923,12,306.4899999999999,-126.58999999999992,450.49999999999994,575.4,1,0,67,12,1,52.900000000000006,741.2799999999999,136.56,3.3,31.2,29.0,-0.1033333333333333,22.4,631.9,68.02,2.21,0,98.0,9.148387096774194,23.0,650.79,101.91,1.76,0,52.9,16.716666666666665,31.2,741.28,136.56,3.3,1,-0.0210598748473748,0.0651388888888889,-0.0760833333333333,0.0651388888888889,-0.0009935019841269,3,415.7,0.3729182658137883,0.6348805744520031,,,,,,415.7,0.6497142857142857,0.13108296980221085
219,2010,40.0,40.0,2.4063,estimate_normalized,True,210.0,209.86423,6.8,3.69625,212.37625,656.214605,8.491249999999999,446.25,34.0,0.2809411764705882,0.509,0.158,0.0997163451043451,0.18,0.353,0.4693333333333333,0.005428345592521,0.509,9.552,176.0,0.351,1.0,1,99,40__40,9.810989010989012,32.4,209.1,2017.96,22.175384615384615,3.43,1.1710989010989012,13,313.37999999999994,-104.27999999999994,521.6,655.8000000000001,3,0,66,12,2,47.8,744.2899999999998,138.78,3.43,32.4,34.0,1.21,23.8,629.11,70.9,2.4,0,127.3,10.332258064516129,24.3,644.56,103.7,1.87,0,47.8,17.873333333333335,32.4,744.29,138.78,3.43,3,-0.0197472280578898,0.0136333333333333,-0.0752555555555555,0.0136333333333333,-0.0252422514619883,3,533.2,0.25244348019581664,0.38235206869633104,,,,,,533.2,0.5747142857142856,0.08883553421368542
220,2010,40.0,40.0,1.9949,estimate_normalized,True,25.0,24.0006,7.3,3.74,197.06,380.11444,6.0,420.0,26.0,0.3891538461538462,0.614,0.174,0.1639835105002217,0.2135,0.5599999999999999,0.6085,0.0095952726889871,0.614,10.118,176.0,0.44,8.0,1,99,40__40,8.593406593406593,31.2,179.89999999999998,2023.97,22.24142857142857,3.3,1.103076923076923,12,306.4899999999999,-126.58999999999992,450.49999999999994,575.4,1,0,67,12,1,52.900000000000006,741.2799999999999,136.56,3.3,31.2,29.0,-0.1033333333333333,22.4,631.9,68.02,2.21,0,98.0,9.148387096774194,23.0,650.79,101.91,1.76,0,52.9,16.716666666666665,31.2,741.28,136.56,3.3,1,-0.0888646265771266,-0.0396957671957671,-0.1454583333333333,-0.0396957671957671,-0.0866803527336861,3,464.90000000000003,0.3995906183368871,0.6002751322751323,,,,,,464.90000000000003,0.607,0.10205633190934763
222,2010,40.0,40.0,2.4025,estimate_normalized,True,62.0,62.12991,6.9,3.725,206.315,278.80506,4.845,420.0,29.0,0.3437241379310344,0.606,0.135,0.1530530438931107,0.187,0.487,0.595,0.0087800108886841,0.606,9.968,176.0,0.471,7.0,1,99,40__40,8.593406593406593,31.2,179.89999999999998,2023.97,22.24142857142857,3.3,1.103076923076923,12,306.4899999999999,-126.58999999999992,450.49999999999994,575.4,1,0,67,12,1,52.900000000000006,741.2799999999999,136.56,3.3,31.2,29.0,-0.1033333333333333,22.4,631.9,68.02,2.21,0,98.0,9.148387096774194,23.0,650.79,101.91,1.76,0,52.9,16.716666666666665,31.2,741.28,136.56,3.3,1,-0.049549721766101,0.0288148148148148,-0.0981999999999999,0.0288148148148148,-0.0518734049175225,3,464.90000000000003,0.369952380952381,0.5733537414965987,,,,,,464.90000000000003,0.6204285714285714,0.10767590618336886
223,2010,40.0,40.0,2.8213,estimate_normalized,True,70.0,70.93112,6.433333333333334,3.6633333333333336,175.33333333333334,560.82853,6.72,430.0,29.0,0.4210689655172414,0.663,0.176,0.1869993418823903,0.221,0.609,0.661,0.0107990995895803,0.663,12.211,176.0,0.487,13.0,1,99,40__40,8.593406593406593,31.2,179.89999999999998,2023.97,22.24142857142857,3.3,1.103076923076923,12,306.4899999999999,-126.58999999999992,450.49999999999994,575.4,1,0,67,12,1,52.900000000000006,741.2799999999999,136.56,3.3,31.2,29.0,-0.1033333333333333,22.4,631.9,68.02,2.21,0,98.0,9.148387096774194,23.0,650.79,101.91,1.76,0,52.9,16.716666666666665,31.2,741.28,136.56,3.3,1,0.0671996852764094,0.1695499999999999,-0.006875,0.0632555555555555,0.1090734827264238,3,464.90000000000003,0.4900710732054016,0.6549674981103553,,,,,,464.90000000000003,0.6639999999999999,0.1140939597315436
224,2010,40.0,40.0,2.7485,estimate_normalized,True,104.0,106.08424,6.5,3.808,191.728,598.903534,18.618,516.0,32.0,0.40328125,0.671,0.152,0.175429514758599,0.2065,0.5597500000000001,0.6676666666666667,0.0101139291022183,0.662,12.905,176.0,0.519,11.0,1,99,40__40,10.247252747252746,32.5,209.1,2017.96,22.175384615384615,3.29,1.1625274725274726,14,314.15999999999997,-105.05999999999996,541.4,678.9,3,0,66,12,2,47.8,744.2899999999998,138.17000000000002,3.29,32.5,34.0,1.8733333333333335,24.3,629.11,73.06,2.52,0,127.3,10.66451612903226,24.8,644.56,102.93,1.93,0,47.8,18.19,32.5,744.29,138.17000000000002,3.29,3,0.00976734006734,0.158375,-0.1284249999999999,0.1093472222222222,0.0472725680844728,3,608.7,0.2986260120135806,0.528578073089701,0.6926236559139785,,,,,608.7,0.7002857142857143,0.1030565881866997
226,2010,40.0,40.0,2.0662,estimate_normalized,True,40.0,41.00801,7.2,3.79,218.81,806.48818,8.56,420.0,29.0,0.3758620689655173,0.585,0.165,0.1234726618179467,0.257,0.452,0.577,0.0077688232397833,0.585,10.900000000000002,178.0,0.4199999999999999,3.0,1,99,40__40,9.01098901098901,31.5,209.1,2017.96,22.175384615384615,3.22,1.1076923076923078,12,306.39,-97.29,466.7,594.8000000000001,2,0,66,12,1,47.8,744.2899999999998,135.87,3.22,31.5,34.0,0.5733333333333335,23.2,629.11,69.81,2.33,0,127.3,9.435483870967742,23.6,644.56,100.71,1.8,0,47.8,17.01,31.5,744.29,135.87,3.22,2,-0.0733650839262908,0.0014777777777778,-0.13385,0.0014777777777778,-0.072192705026455,3,504.79999999999995,0.3865644937586685,0.5096868770764119,,,,,,504.79999999999995,0.578857142857143,0.08582101997932026
227,2010,40.0,40.0,2.7361,estimate_normalized,True,346.0,348.50924,6.953846153846154,3.8015384615384615,195.0484615384616,763.0697146153847,10.056153846153848,475.38461538461536,35.0,0.3024285714285714,0.627,0.124,0.1415460118455753,0.1875,0.423,0.5766666666666667,0.0073494370779422,0.627,10.585,176.0,0.503,4.0,1,99,40__40,9.01098901098901,31.5,209.1,2017.96,22.175384615384615,3.22,1.1076923076923078,12,306.39,-97.29,466.7,594.8000000000001,2,0,66,12,1,47.8,744.2899999999998,135.87,3.22,31.5,34.0,0.5733333333333335,23.2,629.11,69.81,2.33,0,127.3,9.435483870967742,23.6,644.56,100.71,1.8,0,47.8,17.01,31.5,744.29,135.87,3.22,2,-0.0395979931972789,0.065874074074074,-0.170047619047619,0.065874074074074,-0.0543496553884711,3,480.2,0.2739472954230236,0.5451511627906975,,,,,,480.2,0.6398571428571429,0.11384854771784234
