field_id,year,crop_id,standard_name,target_yield_t_ha,oof_pred_t_ha
216,2021,40.0,sunflower,2.925945945945946,2.478710942399802
216,2025,40.0,sunflower,2.986756756756757,2.4256963486966647
217,2010,40.0,sunflower,2.0382,
217,2011,40.0,sunflower,2.475,
217,2012,40.0,sunflower,1.6152000000000002,
217,2013,40.0,sunflower,2.2975000000000003,
217,2014,40.0,sunflower,3.0689,
217,2015,40.0,sunflower,1.251,
217,2016,40.0,sunflower,2.2364,
217,2018,40.0,sunflower,1.1881,1.972806111538138
217,2019,40.0,sunflower,1.962,2.3340297388113966
217,2021,40.0,sunflower,2.768578431372549,2.3736317912181373
217,2024,40.0,sunflower,2.9758823529411766,2.524737512501751
218,2010,40.0,sunflower,2.4997,
218,2011,40.0,sunflower,1.6986,
218,2012,40.0,sunflower,1.8592,
218,2013,40.0,sunflower,1.376,
218,2014,40.0,sunflower,2.1887,
218,2015,40.0,sunflower,1.8712,
218,2016,40.0,sunflower,1.4839,
218,2017,40.0,sunflower,1.2974,1.905275840092814
218,2018,40.0,sunflower,1.6403,1.6359786929125688
218,2019,40.0,sunflower,1.7299,2.4090922282760823
218,2021,40.0,sunflower,2.12974358974359,2.208179368793035
219,2010,40.0,sunflower,2.4063,
219,2011,40.0,sunflower,2.0567,
219,2012,40.0,sunflower,1.8639,
219,2013,40.0,sunflower,1.7675999999999998,
219,2014,40.0,sunflower,2.3038,
219,2015,40.0,sunflower,2.5288,
219,2016,40.0,sunflower,2.2132,
219,2018,40.0,sunflower,1.8597,2.1514812204160303
219,2019,40.0,sunflower,2.273,2.5573269458496095
219,2021,40.0,sunflower,2.818952380952381,2.384325578175787
219,2023,40.0,sunflower,2.802523809523809,2.0584142666327474
220,2010,40.0,sunflower,1.9949,
220,2011,40.0,sunflower,2.4819,
220,2012,40.0,sunflower,1.7906,
220,2013,40.0,sunflower,1.8199,
220,2014,40.0,sunflower,2.0431,
220,2015,40.0,sunflower,2.3007,
220,2016,40.0,sunflower,2.7921,
220,2018,40.0,sunflower,1.9640999999999995,1.9511764464207986
220,2019,40.0,sunflower,2.7649999999999997,2.503619025886717
220,2021,40.0,sunflower,2.0264,2.470530362355365
221,2019,40.0,sunflower,1.982,2.489654241679447
221,2021,40.0,sunflower,1.7475,2.4218983613268605
222,2010,40.0,sunflower,2.4025,
222,2011,40.0,sunflower,2.2814,
222,2012,40.0,sunflower,1.3562,
222,2013,40.0,sunflower,1.1753,
222,2014,40.0,sunflower,2.3248,
222,2015,40.0,sunflower,1.9893,
222,2016,40.0,sunflower,1.6724,
