test_year,n_train,n_test,r2,rmse,mae,mape
2017,189,15,0.22702126162762437,0.5447569784642543,0.45656553325845967,20.001287898157667
2018,204,22,0.44368320297455177,0.4244693765626301,0.34500024460279344,17.844703925111478
2019,226,18,-0.019340202083415914,0.6584793440263524,0.5168835886557737,21.952588041196876
2021,244,17,-0.13750442969263532,0.5476625214391785,0.46906848196469003,20.366413236991647
2022,261,3,-0.349151486730803,1.1266830276809463,1.1026639981983233,78.74812534021206
2023,264,4,-8.383793272422974,0.5711987200832238,0.5300273935591999,20.209903074775372
2024,268,10,-0.6217223812441355,0.5607523835486936,0.5021443264995582,17.39779248429876
2025,278,8,-4.717194203765287,0.6493328997711473,0.5775839357567261,18.624834633801974
