field_id,year,crop_id,productivity,harvested_weight,standard_name,field_name,tillable_area,physical_t_ha,abnormally_low,abnormally_high
208,2023,43.0,20.180769,262.35,wheat_spring,Карелкино,130.0,2.018076923076923,False,False
209,2023,44.0,14.815842,448.92,wheat_winter,Козлов Увал левый,301.65,1.4882148184982598,False,False
210,2023,24.0,17.408163,426.5,pea,Козлов увал правый,247.0,1.7267206477732793,False,False
212,2023,43.0,29.445588,400.46,wheat_spring,Костенькина стрелка,136.0,2.9445588235294116,False,False
234,2023,44.0,17.062857,59.72,wheat_winter,Красный яр,35.0,1.7062857142857142,False,False
215,2023,3.0,22.745063,179.686,barley_spring,Лоскутиха,79.0,2.2745063291139243,False,False
216,2023,3.0,26.967838,99.781,barley_spring,Никитушкин,37.0,2.696783783783784,False,False
217,2023,3.0,20.214804,824.764,barley_spring,Овчинников увал,408.0,2.021480392156863,False,False
218,2023,3.0,33.69359,131.405,barley_spring,Палатьи,39.0,3.3693589743589745,False,False
219,2023,40.0,28.025238,588.53,sunflower,Подхозный увал 1,210.0,2.802523809523809,False,False
220,2023,3.0,33.7288,84.322,barley_spring,Сапог,25.0,3.3728800000000003,False,False
222,2023,3.0,45.005,279.031,barley_spring,Соколки 1,62.0,4.5005,False,False
223,2023,3.0,23.584286,165.09,barley_spring,Соколки 2,70.0,2.3584285714285715,False,False
224,2023,3.0,24.814519,258.071,barley_spring,Холодный ключ,104.0,2.481451923076923,False,False
226,2023,3.0,24.828947,47.175,barley_spring,Штаны,40.0,1.1793749999999998,False,False
207,2024,40.0,31.327273,344.6,sunflower,Александров ключ,110.91,3.107023712920386,False,False
227,2024,3.0,30.077399,1040.678,barley_spring,Большая Семёниха СК,346.0,3.007739884393064,False,False
228,2024,40.0,30.528814,180.12,sunflower,Бонн 1,59.0,3.0528813559322034,False,False
229,2024,40.0,32.544167,39.053,sunflower,Бонн 2,12.0,3.2544166666666663,False,False
230,2024,40.0,32.521794,725.236,sunflower,Бригадная стрелка,223.0,3.2521793721973093,False,False
231,2024,43.0,38.06383,894.5,wheat_spring,Давыдкин увал левый,235.0,3.8063829787234043,False,False
232,2024,43.0,33.303041,985.77,wheat_spring,Давыдкин увал правый,296.0,3.330304054054054,False,False
208,2024,40.0,23.606154,306.88,sunflower,Карелкино,130.0,2.3606153846153846,False,False
209,2024,44.0,63.839486,1366.165,wheat_winter,Козлов Увал левый,301.65,4.5289739764627885,False,False
210,2024,44.0,55.194939,1363.315,wheat_winter,Козлов увал правый,247.0,5.519493927125506,False,False
212,2024,40.0,19.008824,258.52,sunflower,Костенькина стрелка,136.0,1.9008823529411762,False,False
234,2024,40.0,32.950571,115.327,sunflower,Красный яр,35.0,3.295057142857143,False,False
215,2024,44.0,44.767089,353.66,wheat_winter,Лоскутиха,79.0,4.476708860759494,False,False
216,2024,44.0,53.421622,197.66,wheat_winter,Никитушкин,37.0,5.342162162162162,False,False
217,2024,40.0,29.758824,1214.16,sunflower,Овчинников увал,408.0,2.9758823529411766,False,False
218,2024,43.0,40.271538,157.059,wheat_spring,Палатьи,39.0,4.027153846153846,False,False
219,2024,43.0,36.718381,771.086,wheat_spring,Подхозный увал 1,210.0,3.6718380952380953,False,False
220,2024,43.0,31.2756,78.189,wheat_spring,Сапог,25.0,3.12756,False,False
222,2024,43.0,36.562581,226.688,wheat_spring,Соколки 1,62.0,3.6562580645161287,False,False
223,2024,43.0,33.508571,234.56,wheat_spring,Соколки 2,70.0,3.350857142857143,False,False
224,2024,44.0,50.582692,526.06,wheat_winter,Холодный ключ,104.0,5.0582692307692305,False,False
226,2024,44.0,49.315,197.26,wheat_winter,Штаны,40.0,4.9315,False,False
195,2022,44.0,21.21626,260.96,wheat_winter,Коновалиха 1,123.0,2.1216260162601626,False,False
195,2023,44.0,8.904065,109.52,wheat_winter,Коновалиха 1,123.0,0.8904065040650406,False,False
195,2024,40.0,27.365854,336.6,sunflower,Коновалиха 1,123.0,2.7365853658536587,False,False
197,2022,44.0,15.206997,521.6,wheat_winter,Казачий увал,343.0,1.5206997084548106,False,False
197,2023,44.0,10.820991,371.16,wheat_winter,Казачий увал,343.0,1.0820991253644316,False,False
197,2024,40.0,32.877551,1127.7,sunflower,Казачий увал,343.0,3.2877551020408164,False,False
207,2025,43.0,26.312281,149.98,wheat_spring,Александров ключ,110.91,1.3522676043638986,False,False
227,2025,24.0,15.521965,537.06,pea,Большая Семёниха СК,346.0,1.5521965317919073,False,False
228,2025,43.0,30.045763,177.27,wheat_spring,Бонн 1,59.0,3.004576271186441,False,False
229,2025,43.0,35.05,42.06,wheat_spring,Бонн 2,12.0,3.5050000000000003,False,False
