scenario,asof_tag,n_total,n_oof,in_sample_mape,in_sample_r2,in_sample_mae,oof_mape,oof_r2,oof_mae,mape_gap,r2_gap
sunflower,07_01,59,25,4.690107145785198,0.9470842911913143,0.10878838943622936,25.33291418590167,-0.3736925866789915,0.6021086715480941,20.642807040116473,1.3207768778703057
sunflower,08_01,59,25,1.7502896513678887,0.9870485013053903,0.04114481876630889,25.43363495343231,-0.3584925656766207,0.6021704362614976,23.68334530206442,1.345541066982011
sunflower,09_01,59,25,2.434761380281781,0.9776001490176786,0.058423294100574424,26.115034399184324,-0.3842349416337536,0.5936533639484192,23.680273018902543,1.3618350906514323
wheat_combined,07_01,88,55,10.763400191054027,0.9779268105137068,0.15238407366940757,30.170725985520626,-0.015586006903391736,0.8802071909297466,19.4073257944666,0.9935128174170985
wheat_combined,08_01,88,55,14.41748031298592,0.9520392398786997,0.22036870002649203,28.39367356935412,-0.07284527801925567,0.8758594933371812,13.976193256368202,1.0248845178979553
wheat_combined,09_01,88,55,2.434905163508189,0.9988406143859306,0.0334007836582934,33.57339324880406,-0.27233756611112003,1.0133274149959475,31.13848808529587,1.2711781804970506
all_crops,07_01,180,127,21.032511715416096,0.8336495251774402,0.37404588323504584,28.412283656224634,-0.08311268667601324,0.7804897963504451,7.3797719408085385,0.9167622118534534
all_crops,08_01,180,127,12.485262194776839,0.9483820818637199,0.2090790801434004,29.018362702595766,-0.22196749869029664,0.8269932984552901,16.53310050781893,1.1703495805540165
all_crops,09_01,180,127,13.382497200178484,0.9446697979712102,0.22140127416687,30.950524460121393,-0.24219220030801747,0.8528483929708961,17.56802725994291,1.1868619982792277
