scenario,asof,model,n,pooled_r2,pooled_r2_no2020,within_year_r2,within_crop_r2,within_crop_year_r2
sunflower,1 Jul,ml_peer,59,-0.06945946474024556,-0.06945946474024556,-0.024673695881109126,-0.05349500129919904,-0.024673695881109126
sunflower,1 Jul,cropwise,59,-0.4767294317774018,-0.4767294317774018,-0.3380411930191043,-0.3063065666215665,-0.3380411930191043
sunflower,1 Jul,naive_crop_mean,59,-0.3055397245145972,-0.3055397245145972,0.0,-0.003433309152048869,0.0
sunflower,1 Aug,ml_peer,59,-0.4114324049190954,-0.4114324049190954,0.04257979028942582,-0.0419267020731402,0.04257979028942582
sunflower,1 Aug,cropwise,59,-0.1735348611010239,-0.1735348611010239,-0.24199207631715636,-0.16655099785210714,-0.24199207631715636
sunflower,1 Aug,naive_crop_mean,59,-0.3055397245145972,-0.3055397245145972,0.0,-0.003433309152048869,0.0
sunflower,1 Sep,ml_peer,59,-1.080679983991812,-1.080679983991812,-0.021128932438372994,-0.1040273068187536,-0.021128932438372994
sunflower,1 Sep,cropwise,59,-0.0002026567136235169,-0.0002026567136235169,-0.08417415917825632,0.007180219439898217,-0.08417415917825632
sunflower,1 Sep,naive_crop_mean,59,-0.3055397245145972,-0.3055397245145972,0.0,-0.003433309152048869,0.0
wheat_combined,1 Jul,ml_peer,88,0.2123449164773199,0.17609515215550708,0.08670816566227402,0.464217825366689,0.0492897829285146
wheat_combined,1 Jul,cropwise,88,0.49983252637696496,0.44539267943766936,0.14139700388499976,0.5520350382314697,-0.08728274980545181
wheat_combined,1 Jul,naive_crop_mean,88,-0.18421451089453678,-0.18097665830628684,-0.09266491225012907,-0.014753799632644338,0.0
wheat_combined,1 Aug,ml_peer,88,0.3027492827385674,0.3732317424110101,0.1665082147612006,0.5108424734572179,0.08414571539255278
wheat_combined,1 Aug,cropwise,88,0.5443163489000138,0.4811417714323857,0.1875765857779802,0.6385243400867059,0.03482299528691979
wheat_combined,1 Aug,naive_crop_mean,88,-0.18421451089453678,-0.18097665830628684,-0.09266491225012907,-0.014753799632644338,0.0
wheat_combined,1 Sep,ml_peer,88,0.5067495375476041,0.4792492516110276,0.2063878230392504,0.5456058939006387,0.054970833192955815
wheat_combined,1 Sep,cropwise,88,0.5385423048135961,0.4640669646462352,0.1570033187798271,0.6238240413047211,-0.05907591564822612
wheat_combined,1 Sep,naive_crop_mean,88,-0.18421451089453678,-0.18097665830628684,-0.09266491225012907,-0.014753799632644338,0.0
all_crops,1 Jul,ml_peer,180,0.09458015162323397,0.18103847396019057,0.19302486333497793,0.42634882030785426,0.08295609575795915
all_crops,1 Jul,cropwise,180,0.11047174094320678,-0.0717434001888051,-0.15283085794125384,0.40472508020000375,-0.12364692234034358
all_crops,1 Jul,naive_crop_mean,180,-0.23519699044152387,-0.11913470211539656,-0.11037873479118954,-0.008619742986971879,0.0
all_crops,1 Aug,ml_peer,180,0.2720543314461591,0.2592816087987285,0.10981226292045265,0.40225689377784446,0.010810024861071632
all_crops,1 Aug,cropwise,180,0.4405770068147986,0.36470769092516,0.28007880528245443,0.48323211551161704,0.005849520914271156
all_crops,1 Aug,naive_crop_mean,180,-0.23519699044152387,-0.11913470211539656,-0.11037873479118954,-0.008619742986971879,0.0
all_crops,1 Sep,ml_peer,180,0.2859120582522999,0.22038283360277144,0.04672134425257346,0.4264859909414531,-0.007018177695127026
all_crops,1 Sep,cropwise,180,0.43249045896328775,0.35224670309256956,0.2774335816951874,0.48640586611238956,-0.07105956750297748
all_crops,1 Sep,naive_crop_mean,180,-0.23519699044152387,-0.11913470211539656,-0.11037873479118954,-0.008619742986971879,0.0
