scenario,asof,year,n,target_mean,target_std,ml_r2,cw_r2
sunflower,1 Jul,2018,3,2.6163333333333334,0.8780047456211917,0.2800527925587498,-1.165604887755618
sunflower,1 Jul,2019,14,2.4838571428571425,0.7354397802197473,-0.13393305576522718,0.31117220651678223
sunflower,1 Jul,2021,17,2.412310178406928,0.5292988405493854,-0.4775775421386945,-0.785715278863756
sunflower,1 Jul,2022,3,1.9136235081974988,1.18800159453146,-0.7088637615241027,-2.143038168234778
sunflower,1 Jul,2023,4,2.597954778050645,0.2153115751556359,-1.146278895528925,-19.953697970542887
sunflower,1 Jul,2024,10,2.9223278808965927,0.46415348793526673,-0.3864790120130184,-0.9965038554197989
sunflower,1 Jul,2025,8,2.9973629437237888,0.2903166266823228,-0.917451779512451,-2.712829959778098
sunflower,1 Aug,2018,3,2.6163333333333334,0.8780047456211917,-0.1318846441427588,-0.5273364179260658
sunflower,1 Aug,2019,14,2.4838571428571425,0.7354397802197473,-0.09095527204346676,0.05999526425821178
sunflower,1 Aug,2021,17,2.412310178406928,0.5292988405493854,0.08059684664424749,-0.2287844349340895
sunflower,1 Aug,2022,3,1.9136235081974988,1.18800159453146,0.07379670827655394,-0.6129511901461988
sunflower,1 Aug,2023,4,2.597954778050645,0.2153115751556359,-11.102053541906741,-8.674650322492532
sunflower,1 Aug,2024,10,2.9223278808965927,0.46415348793526673,-2.7456870436789473,-0.428396889906433
sunflower,1 Aug,2025,8,2.9973629437237888,0.2903166266823228,-11.59705349884076,-5.621030136727431
sunflower,1 Sep,2018,3,2.6163333333333334,0.8780047456211917,-0.32453212458057945,-0.02903260377475947
sunflower,1 Sep,2019,14,2.4838571428571425,0.7354397802197473,-0.3239784261550289,-0.3434165310119468
sunflower,1 Sep,2021,17,2.412310178406928,0.5292988405493854,-0.7766189800776078,-0.2935509669389209
sunflower,1 Sep,2022,3,1.9136235081974988,1.18800159453146,0.13360900949693655,0.3325047060350935
sunflower,1 Sep,2023,4,2.597954778050645,0.2153115751556359,-17.98780756472462,-1.6258960575501198
sunflower,1 Sep,2024,10,2.9223278808965927,0.46415348793526673,-5.7589938175082125,-0.16604850614628308
sunflower,1 Sep,2025,8,2.9973629437237888,0.2903166266823228,-16.707056680837457,-1.8995144305243823
wheat_combined,1 Jul,2019,4,3.9475,0.5370937224234397,-0.29058479718039365,-1.8675817099198144
wheat_combined,1 Jul,2020,19,0.8161052631578948,0.8079298577047145,-4.290122796070717,-2.1311299923933245
wheat_combined,1 Jul,2021,10,2.9011168621396424,1.1700282657688041,0.18352807273899685,0.25033809922527794
wheat_combined,1 Jul,2022,23,2.7222242258797276,0.7753727698137444,-1.0702409759703149,0.15697813261337623
wheat_combined,1 Jul,2023,10,1.7122344553445346,0.8645963393176517,-1.5681744353422995,-1.4344368283719522
wheat_combined,1 Jul,2024,12,4.191540696863256,0.8409944683097956,-0.34958602982226994,0.6436056733114335
wheat_combined,1 Jul,2025,10,3.220576387311232,0.7318230185123247,0.1800939818148658,-0.09851088560671384
wheat_combined,1 Aug,2019,4,3.9475,0.5370937224234397,-0.0709089729843626,-0.6420999781606138
wheat_combined,1 Aug,2020,19,0.8161052631578948,0.8079298577047145,-4.427693681623605,-1.7540776297607779
wheat_combined,1 Aug,2021,10,2.9011168621396424,1.1700282657688041,-0.14359911856983287,-0.0958903967261926
wheat_combined,1 Aug,2022,23,2.7222242258797276,0.7753727698137444,-0.34599199754965504,0.22919646164029317
wheat_combined,1 Aug,2023,10,1.7122344553445346,0.8645963393176517,-0.6914739666583298,-0.5294747502063608
wheat_combined,1 Aug,2024,12,4.191540696863256,0.8409944683097956,0.3959636437276207,0.5434705200024281
wheat_combined,1 Aug,2025,10,3.220576387311232,0.7318230185123247,0.05155049582630633,-0.10047557606303714
wheat_combined,1 Sep,2019,4,3.9475,0.5370937224234397,-1.0956226773386497,-0.6420999781606138
wheat_combined,1 Sep,2020,19,0.8161052631578948,0.8079298577047145,-2.277965027983256,-1.7127345400474514
wheat_combined,1 Sep,2021,10,2.9011168621396424,1.1700282657688041,-0.019180809132102628,0.05863843375667965
wheat_combined,1 Sep,2022,23,2.7222242258797276,0.7753727698137444,0.10646921302465062,-0.013321541819341975
wheat_combined,1 Sep,2023,10,1.7122344553445346,0.8645963393176517,-0.21673747877033844,-0.658347997327452
wheat_combined,1 Sep,2024,12,4.191540696863256,0.8409944683097956,0.20331497434993262,0.6757343648298046
wheat_combined,1 Sep,2025,10,3.220576387311232,0.7318230185123247,0.20067118191341016,-0.165806604059632
all_crops,1 Jul,2018,8,2.160125,1.1537725001675405,-0.7977833453633245,-5.799600499525836
all_crops,1 Jul,2019,21,2.602904761904762,0.9995500440078977,0.44656611674307833,0.5749641191700565
all_crops,1 Jul,2020,24,0.7197916666666666,0.7432175630422715,-6.879742886789147,-3.6198958336937537
all_crops,1 Jul,2021,30,2.6032064391431007,0.8200721046297063,-0.12595024868869742,0.06024542174904801
all_crops,1 Jul,2022,26,2.6289241430702392,0.8434296154411124,-0.5977003887150858,-0.12582424218337285
all_crops,1 Jul,2023,23,2.2746206211887063,0.9145104103864251,-1.1406345137743301e-05,-0.4034865729298942
all_crops,1 Jul,2024,23,3.5882394372051323,0.9258402928788348,0.6146434504845786,0.5563043951078203
all_crops,1 Jul,2025,25,2.878497782810581,0.8816517518073425,0.050176287450832024,0.21202030126970028
all_crops,1 Aug,2018,8,2.160125,1.1537725001675405,-0.9377725715936194,0.5017116538835154
all_crops,1 Aug,2019,21,2.602904761904762,0.9995500440078977,0.5760893447436226,0.5684687612346615
all_crops,1 Aug,2020,24,0.7197916666666666,0.7432175630422715,-4.373773590677037,-2.357928164234024
all_crops,1 Aug,2021,30,2.6032064391431007,0.8200721046297063,-0.12469759196636487,-0.12110285617660699
all_crops,1 Aug,2022,26,2.6289241430702392,0.8434296154411124,0.12313379560635818,0.17073798800147444
all_crops,1 Aug,2023,23,2.2746206211887063,0.9145104103864251,0.04721504092956896,0.04952409085415188
all_crops,1 Aug,2024,23,3.5882394372051323,0.9258402928788348,0.4966822506354772,0.6381894312614369
all_crops,1 Aug,2025,25,2.878497782810581,0.8816517518073425,-0.011859655696291105,-0.07828160344495672
all_crops,1 Sep,2018,8,2.160125,1.1537725001675405,-0.4410992938988223,0.15502183108184764
all_crops,1 Sep,2019,21,2.602904761904762,0.9995500440078977,0.5149177650467368,0.4014565937970258
all_crops,1 Sep,2020,24,0.7197916666666666,0.7432175630422715,-3.652207697594891,-2.3681693106776733
all_crops,1 Sep,2021,30,2.6032064391431007,0.8200721046297063,-0.018148741772134436,-0.08457724955379198
all_crops,1 Sep,2022,26,2.6289241430702392,0.8434296154411124,0.019056316139478446,0.14043483072287277
all_crops,1 Sep,2023,23,2.2746206211887063,0.9145104103864251,-0.10464383546522549,-0.05150939683182432
all_crops,1 Sep,2024,23,3.5882394372051323,0.9258402928788348,0.26836057115112244,0.7291102913620222
all_crops,1 Sep,2025,25,2.878497782810581,0.8816517518073425,-0.1355478396368246,0.17306408029644926
