field_id,year,yield_t_ha,harvested_weight_t,completed_area_ha,completed_date,humidity,protein_content,oil_content,operation_id
219,2022,2.827547619047619,593.785,210.0,2022-09-09,0.0,0.0,0.0,8789
219,2023,2.802523809523809,588.53,210.0,2023-10-11,13.0,0.0,0.0,12981
219,2024,3.6718380952380953,771.086,210.0,2024-09-08,0.0,0.0,0.0,30466
219,2025,3.528095238095238,740.9,210.0,2025-09-06,0.0,0.0,0.0,35582
220,2021,2.0263999999999998,50.66,25.0,2021-10-16,0.0,0.0,0.0,7649
220,2022,3.4832,87.08,25.0,2022-09-01,0.0,0.0,0.0,8790
220,2023,3.3728800000000003,84.322,25.0,2023-08-26,0.0,0.0,0.0,13067
220,2024,3.12756,78.189,25.0,2024-09-04,0.0,0.0,0.0,30467
220,2025,3.3072000000000004,82.68,25.0,2025-09-26,0.0,0.0,0.0,35714
221,2021,1.7475,13.98,8.0,2021-09-24,0.0,0.0,0.0,7650
222,2021,2.9396774193548385,182.26,62.0,2021-09-26,0.0,0.0,0.0,7651
222,2022,3.2700483870967743,202.743,62.0,2022-08-31,0.0,0.0,0.0,8792
222,2023,4.5005,279.031,62.0,2023-08-25,15.8,0.0,0.0,12830
222,2024,3.6562580645161287,226.688,62.0,2024-09-03,0.0,0.0,0.0,30468
222,2025,2.972258064516129,184.28,62.0,2025-10-18,0.0,0.0,0.0,35742
223,2021,2.8625714285714285,200.38,70.0,2021-09-27,0.0,0.0,0.0,7652
223,2022,3.2311428571428573,226.18,70.0,2022-09-01,0.0,0.0,0.0,8793
223,2023,2.3584285714285715,165.09,70.0,2023-08-30,19.3,0.0,0.0,12831
223,2024,3.350857142857143,234.56,70.0,2024-08-30,0.0,0.0,0.0,30469
223,2025,3.305142857142857,231.36,70.0,2025-10-18,0.0,0.0,0.0,35743
224,2021,2.1762,217.62,100.0,2021-09-25,0.0,0.0,0.0,7653
224,2022,3.079423076923077,320.26,104.0,2022-08-25,0.0,0.0,0.0,8794
224,2023,2.481451923076923,258.071,104.0,2023-08-23,17.0,0.0,0.0,13068
224,2024,5.0582692307692305,526.06,104.0,2024-08-01,0.0,0.0,0.0,29953
224,2025,3.0742307692307693,319.72,104.0,2025-09-28,0.0,0.0,0.0,35744
225,2021,1.85,7.4,4.0,2021-09-25,0.0,0.0,0.0,7654
226,2021,2.4555,98.22,40.0,2021-09-26,0.0,0.0,0.0,7655
226,2022,1.6934999999999998,67.74,40.0,2022-08-25,0.0,0.0,0.0,8796
226,2023,2.482894736842105,47.175,19.0,2023-08-24,0.0,0.0,0.0,13069
226,2024,4.9315,197.26,40.0,2024-08-02,0.0,0.0,0.0,29954
226,2025,3.0420000000000003,121.68,40.0,2025-09-28,0.0,0.0,0.0,35745
227,2021,2.8022285714285715,980.78,350.0,2021-08-02,0.0,0.0,0.0,6579
227,2022,2.217514450867052,767.26,346.0,2022-08-15,0.0,0.0,0.0,8713
227,2023,2.6015895953757227,900.15,346.0,2023-10-09,18.1,0.0,0.0,12982
227,2024,3.007739884393064,1040.678,346.0,2024-08-16,0.0,0.0,0.0,30130
227,2025,1.5521965317919073,537.06,346.0,2025-08-28,0.0,0.0,0.0,35735
228,2021,2.4169491525423727,142.6,59.0,2021-08-04,0.0,0.0,0.0,6580
228,2022,4.564745762711865,269.32,59.0,2022-08-16,0.0,0.0,0.0,8732
228,2023,1.5016949152542372,88.6,59.0,2023-07-26,18.0,0.0,0.0,12583
228,2024,3.0528813559322034,180.12,59.0,2024-09-20,0.0,0.0,0.0,31071
228,2025,3.004576271186441,177.27,59.0,2025-09-16,0.0,0.0,0.0,35715
229,2021,2.9450000000000003,35.34,12.0,2021-08-04,0.0,0.0,0.0,6581
229,2022,2.841666666666667,34.1,12.0,2022-08-16,0.0,0.0,0.0,8733
229,2023,3.4433333333333334,41.32,12.0,2023-07-26,17.0,0.0,0.0,12584
229,2024,3.2544166666666663,39.053,12.0,2024-09-20,0.0,0.0,0.0,31072
229,2025,3.5050000000000003,42.06,12.0,2025-09-16,0.0,0.0,0.0,35716
230,2021,2.123766816143498,473.6,223.0,2021-09-06,0.0,0.0,0.0,6582
230,2022,3.257219730941704,726.36,223.0,2022-09-27,0.0,0.0,0.0,8746
230,2023,1.1861413043478262,218.25,184.0,2023-09-20,17.9,0.0,0.0,12832
230,2024,3.2521793721973093,725.236,223.0,2024-09-23,0.0,0.0,0.0,31073
230,2025,3.6687443946188343,818.13,223.0,2025-10-07,0.0,0.0,0.0,35717
231,2021,3.5988646288209605,824.14,229.0,2021-08-06,0.0,0.0,0.0,6583
231,2022,1.5712340425531914,369.24,235.0,2022-08-15,0.0,0.0,0.0,8714
231,2023,2.2995063829787235,540.384,235.0,2023-10-04,13.5,0.0,0.0,12983
231,2024,3.8063829787234043,894.5,235.0,2024-09-09,0.0,0.0,0.0,30470
231,2025,1.3324255319148937,313.12,235.0,2025-08-24,0.0,0.0,0.0,35736
232,2021,3.1834437086092713,961.4,302.0,2021-08-09,0.0,0.0,0.0,6584
232,2022,1.847837837837838,546.96,296.0,2022-08-13,0.0,0.0,0.0,8715
232,2023,2.6881993243243243,795.707,296.0,2023-10-05,16.2,0.0,0.0,12984
232,2024,3.330304054054054,985.77,296.0,2024-09-13,0.0,0.0,0.0,30471
232,2025,1.8102027027027028,535.82,296.0,2025-08-27,0.0,0.0,0.0,35737
233,2021,3.6453846153846152,142.17,39.0,2021-08-30,0.0,0.0,0.0,6585
233,2022,4.4169230769230765,172.26,39.0,2022-08-17,0.0,0.0,0.0,10985
234,2021,5.389142857142858,188.62,35.0,2021-08-05,0.0,0.0,0.0,6586
234,2022,3.975428571428571,139.14,35.0,2022-08-17,0.0,0.0,0.0,8734
234,2023,1.7062857142857142,59.72,35.0,2023-09-08,21.0,0.0,0.0,12585
234,2024,3.295057142857143,115.327,35.0,2024-09-21,0.0,0.0,0.0,31074
234,2025,4.494857142857143,157.32,35.0,2025-09-08,0.0,0.0,0.0,35718
235,2021,7.105,28.42,4.0,2021-08-20,0.0,0.0,0.0,6587
235,2023,2.2,8.8,4.0,2023-10-02,31.2,0.0,0.0,12833
235,2024,0.25,1.0,4.0,2024-09-15,0.0,0.0,0.0,30111
235,2025,1.53,6.12,4.0,2025-09-23,0.0,0.0,0.0,35583
236,2021,2.8605,114.42,40.0,2021-08-17,0.0,0.0,0.0,6588
236,2022,3.3475,133.9,40.0,2022-09-27,0.0,0.0,0.0,8748
236,2023,2.520375,100.815,40.0,2023-09-28,21.0,0.0,0.0,12834
236,2024,3.7585,150.34,40.0,2024-08-16,0.0,0.0,0.0,30131
236,2025,3.0025,120.1,40.0,2025-10-09,0.0,0.0,0.0,35746
237,2021,3.2366666666666664,233.04,72.0,2021-08-02,0.0,0.0,0.0,6589
237,2022,2.5155555555555558,181.12,72.0,2022-09-27,0.0,0.0,0.0,8749
237,2023,1.6025,115.38,72.0,2023-09-28,20.0,0.0,0.0,12835
237,2024,4.871138888888889,350.722,72.0,2024-08-16,0.0,0.0,0.0,30132
237,2025,3.3130555555555556,238.54,72.0,2025-10-01,0.0,0.0,0.0,35747
238,2021,3.3530555555555552,241.42,72.0,2021-08-03,0.0,0.0,0.0,6590
238,2022,2.1222222222222222,152.8,72.0,2022-09-29,0.0,0.0,0.0,8750
238,2023,2.198888888888889,158.32,72.0,2023-09-27,23.9,0.0,0.0,12836
238,2024,4.613333333333333,332.16,72.0,2024-08-18,0.0,0.0,0.0,30133
238,2025,1.9090277777777775,137.45,72.0,2025-10-10,0.0,0.0,0.0,35748
239,2021,3.16017094017094,369.74,117.0,2021-08-03,0.0,0.0,0.0,6591
239,2022,1.9928205128205128,233.16,117.0,2022-09-29,0.0,0.0,0.0,8751
239,2023,0.9917948717948718,116.04,117.0,2023-09-28,22.5,0.0,0.0,12837
239,2024,5.670427350427351,663.44,117.0,2024-08-18,0.0,0.0,0.0,30134
239,2025,3.095213675213675,362.14,117.0,2025-10-10,0.0,0.0,0.0,35749
241,2021,1.9516049382716052,158.08,81.0,2021-08-30,0.0,0.0,0.0,6592
241,2022,3.1716049382716047,256.9,81.0,2022-08-22,0.0,0.0,0.0,11099
242,2021,2.205483870967742,136.74,62.0,2021-08-04,0.0,0.0,0.0,6593
242,2022,3.6822580645161294,228.3,62.0,2022-08-16,0.0,0.0,0.0,8735
242,2023,1.7032258064516128,105.6,62.0,2023-09-07,22.0,0.0,0.0,12586
242,2024,2.7984516129032255,173.504,62.0,2024-09-20,0.0,0.0,0.0,31075
242,2025,3.794426229508197,231.46,61.0,2025-09-14,0.0,0.0,0.0,35719
244,2021,2.4169811320754717,128.1,53.0,2021-09-04,0.0,0.0,0.0,6594
244,2022,4.193867924528302,222.275,53.0,2022-09-07,0.0,0.0,0.0,8797
244,2023,1.9418867924528302,102.92,53.0,2023-08-01,14.7,0.0,0.0,12609
244,2024,2.730603773584906,144.722,53.0,2024-09-10,0.0,0.0,0.0,30472
244,2025,4.282264150943396,226.96,53.0,2025-10-18,0.0,0.0,0.0,35750
246,2021,2.612439024390244,214.22,82.0,2021-09-05,0.0,0.0,0.0,6595
246,2022,1.6465853658536587,135.02,82.0,2022-09-07,0.0,0.0,0.0,8798
246,2023,1.784059678052611,136.32,76.41,2023-08-05,0.0,0.0,0.0,12610
246,2024,3.8840731707317078,318.494,82.0,2024-09-10,0.0,0.0,0.0,30473
246,2025,1.26,103.32,82.0,2025-10-17,0.0,0.0,0.0,35751
247,2021,3.5429431438127086,1059.34,299.0,2021-08-17,0.0,0.0,0.0,6596
247,2022,1.5000662251655628,453.02,302.0,2022-08-15,0.0,0.0,0.0,8716
247,2023,2.741453642384106,827.919,302.0,2023-10-07,22.6,0.0,0.0,12985
247,2024,2.6623311258278144,804.024,302.0,2024-09-12,0.0,0.0,0.0,30474
247,2025,4.1251655629139075,1245.8,302.0,2025-08-15,0.0,0.0,0.0,35584
248,2021,2.4291851851851853,655.88,270.0,2021-09-02,0.0,0.0,0.0,6597
248,2022,1.9879259259259259,536.74,270.0,2022-07-26,0.0,0.0,0.0,8811
248,2023,2.141,578.07,270.0,2023-09-05,20.0,0.0,0.0,12587
248,2024,3.441577777777778,929.226,270.0,2024-09-20,0.0,0.0,0.0,31076
248,2025,3.630296296296296,980.18,270.0,2025-09-19,0.0,0.0,0.0,35720
249,2021,2.7772222222222225,199.96,72.0,2021-09-03,0.0,0.0,0.0,6598
250,2021,2.271818181818182,299.88,132.0,2021-09-04,0.0,0.0,0.0,6599
250,2022,3.0933333333333333,631.04,204.0,2022-09-27,0.0,0.0,0.0,8753
250,2023,2.1600980392156863,440.66,204.0,2023-09-19,19.1,0.0,0.0,12838
250,2024,5.983627450980393,1220.66,204.0,2024-08-07,0.0,0.0,0.0,30135
250,2025,2.8207352941176467,575.43,204.0,2025-10-17,0.0,0.0,0.0,35752
251,2021,3.0763779527559056,390.7,127.0,2021-08-20,0.0,0.0,0.0,6600
251,2022,1.2108842105263158,115.034,95.0,2022-08-05,0.0,0.0,0.0,8813
251,2023,2.78692125984252,353.939,127.0,2023-10-17,24.8,0.0,0.0,12986
251,2024,3.6110236220472443,458.6,127.0,2024-09-05,0.0,0.0,0.0,30475
