field_id,year,map_yield_t_ha,external_average,yield_map_id
195,2022,1.447265625,,408
197,2022,1.1920785219399537,,392
207,2022,1.094122807017544,,354
208,2022,2.593431952662722,,398
209,2022,2.6710136986301367,,402
209,2024,0.56125,3.31,605
210,2022,2.922967359050445,,406
211,2022,2.590859375,,404
212,2022,3.145085714285714,,414
213,2021,1.0774947589098534,,70
213,2022,0.9052631578947368,,434
214,2021,0.6312242268041237,,66
214,2022,1.0914285714285714,,436
215,2022,2.3376146788990826,,444
219,2024,0.9823946970968284,2.99,599
222,2024,1.1100653900046709,3.53,577
223,2024,1.196307982105015,3.58,575
224,2022,2.3006357162504254,,155
225,2021,0.582375,,62
227,2022,1.8283035714285711,,362
228,2022,3.2843750000000003,,364
229,2022,2.856666666666667,,366
230,2022,2.9366,,374
231,2022,1.8578260869565215,,380
232,2022,2.6075,,266
232,2024,0.9514185228604924,2.87,625
233,2021,3.502798053527981,,33
233,2022,3.159791666666667,,410
234,2022,2.8842857142857143,,416
235,2022,2.1279999999999997,,442
236,2022,2.084285714285714,,454
237,2022,2.27,,452
238,2022,1.791492537313433,,448
239,2022,1.6532608695652171,,446
241,2022,2.5793693693693696,,456
246,2022,1.4665645248380128,,186
247,2024,1.01205392305362,2.42,619
248,2022,1.1728875358667503,,118
249,2022,1.8295064205457463,,122
250,2022,2.412903079341513,,152
254,2021,2.140825082508251,,35
255,2021,3.3001169590643276,,56
255,2022,2.9644220090863205,,214
255,2024,1.1133952848046806,3.34,627
256,2022,3.2059701492537314,,342
257,2022,2.184285714285714,,352
258,2022,1.9841509433962263,,378
258,2024,1.489129411764706,4.89,591
259,2022,1.8330522088353416,,386
259,2024,1.643571428571429,3.71,587
260,2022,3.052421875,,394
260,2024,1.0061464128843338,3.11,613
261,2022,2.751578947368421,,396
262,2022,1.7559375,,418
262,2024,1.2788923163208077,4.18,593
263,2022,2.19,,422
264,2021,2.698571428571429,,47
265,2022,2.4567857142857146,,144
266,2022,1.71,,432
267,2022,0.9533333333333333,,438
268,2022,0.9216666666666667,,450
269,2022,1.8575,,458
269,2024,0.1084313725490196,4.23,589
270,2024,1.162115133013519,3.68,615
273,2022,1.6533823529411766,,338
274,2022,2.0635563380281687,,346
276,2022,2.6957831325301207,,348
277,2022,2.9633663366336633,,244
278,2022,2.64,,368
278,2024,1.47,,569
279,2022,2.5845833333333332,,370
280,2022,1.5802178423236517,,98
282,2022,1.0691836734693878,,400
283,2022,2.0329133858267716,,420
284,2022,2.21,,424
286,2022,2.8701866666666667,,138
288,2022,2.116488549618321,,140
289,2022,2.64748502994012,,146
291,2022,1.6634703196347032,,150
296,2021,1.6162673417721518,,92
297,2022,2.0334309623430964,,142
299,2022,2.9035940561724365,,206
301,2022,2.668885955649419,,208
339,2022,2.236944162436548,,128
345,2022,0.8923573904821934,,108
356,2022,0.5977196261682243,,106
360,2022,0.9893202146690518,,116
362,2022,1.156718801448798,,104
363,2022,0.9974788851351352,,114
396,2022,1.0387762490948589,,132
421,2022,1.5676923076923075,,358
422,2022,2.2005279617390254,,157
423,2022,2.970724637681159,,384
423,2024,1.2043649503161695,3.71,583
427,2022,0.9319953393533352,,110
432,2021,3.267272727272727,,41
432,2022,3.215098039215686,,228
432,2024,1.781422986708366,4.27,629
433,2022,2.315337224383917,,120
437,2022,1.636,,274
439,2022,2.881818181818182,,412
440,2024,1.280576848625629,3.11,601
469,2022,3.475,,388
487,2022,1.8544983213331936,,156
512,2022,1.470869565217391,,350
513,2022,2.3041176470588236,,372
