scenario,asof_tag,asof_label,n_compare,ml_r2,ml_rmse,ml_mae,ml_mape,cw_r2,cw_rmse,cw_mae,cw_mape
sunflower,07_01,1 Jul,97,-0.13754625276294274,0.6752366671499311,0.5563823980409077,23.12869456535557,-0.29042343557481654,0.7191800082743631,0.5752547080831735,26.29414829844063
sunflower,08_01,1 Aug,97,0.08498366559636383,0.6056000592729507,0.495136736351957,21.492387832955785,0.13386272002223565,0.5892028669979168,0.4713336111396262,21.520577947778246
sunflower,09_01,1 Sep,97,0.19693026180298556,0.567346155037847,0.4589848048952975,20.67126556501459,0.2769209342782445,0.5383495813182279,0.4105622374968066,18.595014958950852
wheat_combined,07_01,1 Jul,62,0.02003115577022585,1.1320378100077495,0.9408371450963289,41.90051010117144,0.4846584872369888,0.8209228840339121,0.6355434397547611,31.477115174775882
wheat_combined,08_01,1 Aug,62,0.03582967277440563,1.1228756888195566,0.9354492685392088,41.434342142871934,0.5708991131431091,0.7490908707210737,0.5762939520797022,27.9729569881503
wheat_combined,09_01,1 Sep,62,0.08367151374805903,1.0946628818706337,0.898563933554554,40.32005897670455,0.5294503233014711,0.7844360387430597,0.6140211048049852,29.685478675413872
all_crops,07_01,1 Jul,251,-0.18549209463691962,1.1547665305241246,0.8516564664475447,34.73057254285184,-0.02173424344298458,1.0720470134355866,0.7412642025063135,33.06552987867542
all_crops,08_01,1 Aug,251,-0.07508175921419036,1.0996781689240607,0.8114142731952734,34.66791308321605,0.1908491351229724,0.954024676354434,0.661355169396243,29.659306877108133
all_crops,09_01,1 Sep,251,-0.023526486243665046,1.0729868501472193,0.7887830868252236,35.31308280162445,0.18177214536288855,0.9593608392296762,0.6506049582565546,28.769724920429425
