scenario,asof_tag,asof_label,n_ml,n_all,v2b_r2,v2b_rmse,v2b_mae,v2b_mape,v3_r2,v3_rmse,v3_mae,v3_mape,v2b_a_rmse,v2b_a_mape,v3_a_rmse,v3_a_mape,cw_r2,cw_rmse,cw_mae,cw_mape
sunflower,07_01,1 Jul,97,97,-0.0932922066629589,0.6619719871835886,0.5422525923416943,22.500027413995333,-0.1307402264232218,0.6732136402855615,0.5574810224968758,22.850943629311914,0.6619719871835886,22.500027413995333,0.6732136402855615,22.850943629311914,-0.29042343557481654,0.7191800082743631,0.5752547080831735,26.29414829844063
sunflower,08_01,1 Aug,97,97,0.1638092825879175,0.5789274691224153,0.4790662069311073,20.98995591350797,0.11521146382699365,0.5955129760152514,0.4891954823951607,20.540304629536358,0.5789274691224153,20.98995591350797,0.5955129760152514,20.540304629536358,0.13386272002223565,0.5892028669979168,0.4713336111396262,21.520577947778246
sunflower,09_01,1 Sep,97,97,0.18608161946919777,0.5711654298455605,0.4726517475729925,20.941365525378856,0.18980966619087192,0.5698558542539293,0.4693054835439097,20.138518869841302,0.5711654298455605,20.941365525378856,0.5698558542539293,20.138518869841302,0.2769209342782445,0.5383495813182279,0.4105622374968066,18.595014958950852
wheat_combined,07_01,1 Jul,62,62,0.09577541074996399,1.087409079031898,0.895303557930397,40.337651810499466,0.02247909121031244,1.1306230261482961,0.9558374180400436,40.94717664174058,1.087409079031898,40.337651810499466,1.1306230261482961,40.94717664174058,0.4846584872369888,0.8209228840339121,0.6355434397547611,31.477115174775882
wheat_combined,08_01,1 Aug,62,62,-0.016196151512396728,1.1527724032397781,0.9451657539970952,42.92009321095441,0.1672794376416753,1.0435288075127265,0.854840462143857,39.10791543460195,1.1527724032397781,42.92009321095441,1.0435288075127265,39.10791543460195,0.5708991131431091,0.7490908707210737,0.5762939520797022,27.9729569881503
wheat_combined,09_01,1 Sep,62,62,0.09480236168549516,1.0879940099732206,0.8807841739080118,41.13554642012463,0.10763172001744437,1.0802564311101874,0.8793605341826526,39.99370917707192,1.0879940099732206,41.13554642012463,1.0802564311101874,39.99370917707192,0.5294503233014711,0.7844360387430597,0.6140211048049852,29.685478675413872
all_crops,07_01,1 Jul,252,251,-0.13465493820156738,1.1340228896691529,0.8333817970728751,34.183488812196934,-0.15775820581168354,1.1455099101873063,0.8614716119668827,34.5738233188597,1.1286682681104956,34.13204714575927,1.1388956841750606,34.50777363403756,-0.02173424344298458,1.0720470134355866,0.7412642025063135,33.06552987867542
all_crops,08_01,1 Aug,252,251,-0.11591750937024714,1.1246204148390235,0.8295826842074812,35.64608557312907,-0.06453027659840549,1.0984212490686316,0.8036165612286138,33.14751485625177,1.1175869454049037,35.58195659237377,1.092402627040018,33.08789056420803,0.1908491351229724,0.954024676354434,0.661355169396243,29.659306877108133
all_crops,09_01,1 Sep,252,251,-0.05938006623480807,1.0957609398660806,0.7966887607706742,34.986355285199814,-0.07318072655548291,1.1028751444312164,0.8199081845930781,34.25362019519092,1.087115802446468,34.905955199261236,1.0971399103711985,34.20124201817377,0.18177214536288855,0.9593608392296762,0.6506049582565546,28.769724920429425
