scenario,asof_tag,asof_label,version,model,n_ml,n_cw,mape,rmse,mae,r2,cw_mape,cw_rmse,cw_mae,cw_r2
sunflower,07_01,1 Jul,v9,v9_mae_l30,25,25,26.287156129470514,0.7464092981853514,0.6511063668978497,-0.6474178847403029,31.708269836322962,0.8449296770287452,0.696999761787589,-1.1110125903923742
sunflower,07_01,1 Jul,v10,v10_mae_l30,25,25,24.347914055259626,0.6974732607209748,0.5922771184638047,-0.4384832851454983,31.708269836322962,0.8449296770287452,0.696999761787589,-1.1110125903923742
sunflower,07_01,1 Jul,v11,v11_clean_mae_l30,24,24,27.974481032492093,0.7980494088876355,0.7042270701686529,-0.8616167681362299,31.232516816603145,0.8132859392509847,0.6675114297395007,-0.9333801236831065
sunflower,07_01,1 Jul,v11i,v11i_clean_internal_mae_l30,24,24,26.61260327332835,0.7678430271006482,0.6660835319315516,-0.7233584227481797,31.232516816603145,0.8132859392509847,0.6675114297395007,-0.9333801236831065
sunflower,07_01,1 Jul,v11,v11_clean_no_field_id,24,24,25.820136742714556,0.701996383618862,0.6128396238540657,-0.44045757340802094,31.232516816603145,0.8132859392509847,0.6675114297395007,-0.9333801236831065
sunflower,07_01,1 Jul,v11i,v11i_clean_internal_no_field_id,24,24,26.01758469390287,0.7015808956821858,0.6158881743114297,-0.43875296168866984,31.232516816603145,0.8132859392509847,0.6675114297395007,-0.9333801236831065
sunflower,08_01,1 Aug,v9,v9_mae_l30,25,25,25.86039991700988,0.7311294032716219,0.65154805201376,-0.5806590223548584,26.257288863396234,0.709205041843858,0.572990626349427,-0.4872820056791931
sunflower,08_01,1 Aug,v10,v10_mae_l30,25,25,24.81079621689595,0.6951905515926108,0.620245667193036,-0.4290828802267659,26.257288863396234,0.709205041843858,0.572990626349427,-0.4872820056791931
sunflower,08_01,1 Aug,v11,v11_clean_mae_l30,24,24,22.14305476816646,0.6155058484515606,0.5282781104894326,-0.10737595543506795,26.330508085431248,0.705261750860583,0.5636144136580822,-0.4538894446783235
sunflower,08_01,1 Aug,v11i,v11i_clean_internal_mae_l30,24,24,24.580616284669844,0.7024067351860125,0.5946031632302513,-0.4421421028394772,26.330508085431248,0.705261750860583,0.5636144136580822,-0.4538894446783235
sunflower,08_01,1 Aug,v11,v11_clean_no_field_id,24,24,26.147539854180373,0.7043601022949817,0.6196061919689981,-0.4501743435369874,26.330508085431248,0.705261750860583,0.5636144136580822,-0.4538894446783235
