scenario,asof_tag,asof_label,version,model,n_ml,n_cw,mape,rmse,mae,r2,cw_mape,cw_rmse,cw_mae,cw_r2
sunflower,07_01,1 Jul,v16_v12,v16_v12_default,24,24,26.528395572449426,0.7026375264739835,0.6063241789813227,-0.42805063357741324,31.374966667577382,0.8201798823955575,0.6785422875,-0.9458042590232083
sunflower,07_01,1 Jul,v16_v12,v16_v12_shallow_l30,24,24,27.72437944854273,0.7420473690421937,0.6245211157251692,-0.5927374205715414,31.374966667577382,0.8201798823955575,0.6785422875,-0.9458042590232083
sunflower,07_01,1 Jul,v16_v12,v16_v12_no_field_id,24,24,28.380247857671886,0.7677262319507364,0.6599706437432962,-0.7048794833778704,31.374966667577382,0.8201798823955575,0.6785422875,-0.9458042590232083
sunflower,07_01,1 Jul,v16_v14,v16_v14_shallow_l10,24,24,28.065280908393554,0.7559034110097307,0.6306415236441646,-0.652774237439055,31.374966667577382,0.8201798823955575,0.6785422875,-0.9458042590232083
sunflower,07_01,1 Jul,v16_v14,v16_v14_shallow_l30,24,24,27.120504343267033,0.7247670219480583,0.6234319916866982,-0.5194197685789761,31.374966667577382,0.8201798823955575,0.6785422875,-0.9458042590232083
sunflower,07_01,1 Jul,v16_v14,v16_v14_no_field_id,24,24,27.589944668797823,0.7456237657276409,0.6436774605673407,-0.6081272407257718,31.374966667577382,0.8201798823955575,0.6785422875,-0.9458042590232083
sunflower,07_01,1 Jul,v16_v15_rates,v16_rates_shallow_l10,24,24,27.633176981638496,0.7381624275571276,0.6337440117825314,-0.5761037276142456,31.374966667577382,0.8201798823955575,0.6785422875,-0.9458042590232083
sunflower,07_01,1 Jul,v16_v15_rates,v16_rates_shallow_l30,24,24,27.823921862793743,0.7451820978733316,0.6272762441840722,-0.6062226669153739,31.374966667577382,0.8201798823955575,0.6785422875,-0.9458042590232083
sunflower,07_01,1 Jul,v16_v15_rates,v16_rates_no_field_id,24,24,28.2628706337581,0.7600054113596945,0.6529030098601606,-0.6707608631779833,31.374966667577382,0.8201798823955575,0.6785422875,-0.9458042590232083
sunflower,08_01,1 Aug,v16_v12,v16_v12_default,24,24,25.957213326259946,0.6752462670145662,0.5859717506069193,-0.3188800785579158,24.538321494649516,0.6647677625003515,0.5248872375000001,-0.2782647870517938
sunflower,08_01,1 Aug,v16_v12,v16_v12_shallow_l30,24,24,25.171238564100573,0.659936734594401,0.5682340117066641,-0.25975337784467567,24.538321494649516,0.6647677625003515,0.5248872375000001,-0.2782647870517938
sunflower,08_01,1 Aug,v16_v12,v16_v12_no_field_id,24,24,27.256704862088256,0.7198933260241305,0.6207410258594922,-0.4990537982489891,24.538321494649516,0.6647677625003515,0.5248872375000001,-0.2782647870517938
sunflower,08_01,1 Aug,v16_v14,v16_v14_shallow_l10,24,24,27.825080230373526,0.7294688851880398,0.6442100955075094,-0.5391979238110916,24.538321494649516,0.6647677625003515,0.5248872375000001,-0.2782647870517938
sunflower,08_01,1 Aug,v16_v14,v16_v14_shallow_l30,24,24,27.982422439275577,0.7610408491897236,0.6519735609671037,-0.6753164819644435,24.538321494649516,0.6647677625003515,0.5248872375000001,-0.2782647870517938
sunflower,08_01,1 Aug,v16_v14,v16_v14_no_field_id,24,24,25.734735380125766,0.6736277485257635,0.5813112464369753,-0.3125651276619168,24.538321494649516,0.6647677625003515,0.5248872375000001,-0.2782647870517938
sunflower,08_01,1 Aug,v16_v15_rates,v16_rates_shallow_l10,24,24,25.369313935681824,0.6798003166046928,0.5720754683197623,-0.33672986010928874,24.538321494649516,0.6647677625003515,0.5248872375000001,-0.2782647870517938
sunflower,08_01,1 Aug,v16_v15_rates,v16_rates_shallow_l30,24,24,25.50435513579188,0.6735482537869952,0.5766145398055661,-0.3122553545996498,24.538321494649516,0.6647677625003515,0.5248872375000001,-0.2782647870517938
sunflower,08_01,1 Aug,v16_v15_rates,v16_rates_no_field_id,24,24,27.617898708642173,0.7400733974377846,0.6448195598219378,-0.584274789311418,24.538321494649516,0.6647677625003515,0.5248872375000001,-0.2782647870517938
sunflower,09_01,1 Sep,v16_v12,v16_v12_default,24,24,25.23670548604178,0.6754767603484332,0.5623920146336832,-0.3197806239284007,17.28324464469081,0.47739571022080185,0.3839397875000001,0.3407685032484118
sunflower,09_01,1 Sep,v16_v12,v16_v12_shallow_l30,24,24,26.7500159476812,0.70434316830746,0.5865754284069813,-0.43499219070568906,17.28324464469081,0.47739571022080185,0.3839397875000001,0.3407685032484118
