scenario,asof_tag,asof_label,method,n,mape,mae,rmse,r2,cw_mape,cw_mae,cw_rmse,cw_r2,naive_mape,naive_mae,naive_rmse,naive_r2
sunflower,07_01,1 Jul,peer_raw,59,23.738796670304335,0.5103481132212638,0.6463457543861678,-0.06945946474024556,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,07_01,1 Jul,residual_global,59,24.71862659823819,0.552644877400096,0.6663071834481453,-0.13653684181946368,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,07_01,1 Jul,residual_crop,59,24.71862659823819,0.552644877400096,0.6663071834481453,-0.13653684181946368,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,07_01,1 Jul,ridge_core,59,23.738796670304335,0.5103481132212638,0.6463457543861678,-0.06945946474024556,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,07_01,1 Jul,ridge_all_no_field,59,23.738796670304335,0.5103481132212638,0.6463457543861678,-0.06945946474024556,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,07_01,1 Jul,cat_core_d2,59,25.80892353864781,0.6024845112450428,0.7136162286519295,-0.3036588685090542,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,07_01,1 Jul,cat_core_d3,59,25.23790162274462,0.5842364093857354,0.6914531819329672,-0.22393988206629767,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,07_01,1 Jul,cat_all_no_field,59,24.87148703380051,0.575191146044182,0.6799289536342977,-0.18348183936048068,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,07_01,1 Jul,cat_all_with_field,59,25.11176818226967,0.5783145138046952,0.6842239711236101,-0.1984808468709256,26.147494061682192,0.6193085878655563,0.7595094845174607,-0.4767294317774018,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,08_01,1 Aug,peer_raw,59,24.45905027384235,0.6361031016032843,0.7425279028987802,-0.4114324049190954,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,08_01,1 Aug,residual_global,59,22.60105516484028,0.569301237039666,0.6658039806338122,-0.13482083876363515,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,08_01,1 Aug,residual_crop,59,22.60105516484028,0.569301237039666,0.6658039806338122,-0.13482083876363515,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,08_01,1 Aug,ridge_core,59,24.45905027384235,0.6361031016032843,0.7425279028987802,-0.4114324049190954,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,08_01,1 Aug,ridge_all_no_field,59,24.45905027384235,0.6361031016032843,0.7425279028987802,-0.4114324049190954,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,08_01,1 Aug,cat_core_d2,59,22.647885854268875,0.5722083040678648,0.6702858080822273,-0.15015024397695398,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,08_01,1 Aug,cat_core_d3,59,22.83831809900142,0.5780505888211506,0.6776699755753458,-0.17563096500583963,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,08_01,1 Aug,cat_all_no_field,59,22.98278560626497,0.5807219270599483,0.6818520642287517,-0.19018602550358232,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,08_01,1 Aug,cat_all_with_field,59,22.855346824533026,0.5783283459796575,0.6788957428235854,-0.17988776630476822,24.410829084746492,0.5573874623820972,0.6770655765553913,-0.1735348611010239,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,09_01,1 Sep,peer_raw,59,27.99707508399571,0.7657404982211488,0.9015407897005527,-1.080679983991812,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,09_01,1 Sep,residual_global,59,23.962504459186945,0.6223064586417879,0.741796000889417,-0.40865130784339887,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,09_01,1 Sep,residual_crop,59,23.962504459186945,0.6223064586417879,0.741796000889417,-0.40865130784339887,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,09_01,1 Sep,ridge_core,59,27.99707508399571,0.7657404982211488,0.9015407897005527,-1.080679983991812,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,09_01,1 Sep,ridge_all_no_field,59,27.99707508399571,0.7657404982211488,0.9015407897005527,-1.080679983991812,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,09_01,1 Sep,cat_core_d2,59,23.984948375653623,0.6195812390670047,0.7404886167684401,-0.40369030660871075,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,09_01,1 Sep,cat_core_d3,59,23.902552268172062,0.6188614477416087,0.7386726579336172,-0.39681398698662607,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,09_01,1 Sep,cat_all_no_field,59,23.83150962323587,0.6145196207797399,0.735095088771656,-0.3833165405211443,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
sunflower,09_01,1 Sep,cat_all_with_field,59,23.760031483280127,0.6131918100541498,0.7329807168999073,-0.375370251053585,21.86621814022737,0.4988836785964446,0.625067240253298,-0.0002026567136235169,23.172465066426902,0.596595440473784,0.7141308286105303,-0.3055397245145972
wheat_combined,07_01,1 Jul,peer_raw,88,126.9183233264399,1.052059576781536,1.2268052945671015,0.2123449164773199,96.22824691713461,0.7846395297282829,0.9776092999297237,0.49983252637696496,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,07_01,1 Jul,residual_global,88,115.88202049672812,0.9872736342021081,1.2531361737776545,0.178171249053666,96.22824691713461,0.7846395297282829,0.9776092999297237,0.49983252637696496,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,07_01,1 Jul,residual_crop,88,120.57241474709954,1.0905701169638227,1.3001445476855393,0.11535693931645741,96.22824691713461,0.7846395297282829,0.9776092999297237,0.49983252637696496,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,07_01,1 Jul,ridge_core,88,126.9183233264399,1.052059576781536,1.2268052945671015,0.2123449164773199,96.22824691713461,0.7846395297282829,0.9776092999297237,0.49983252637696496,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,07_01,1 Jul,ridge_all_no_field,88,126.9183233264399,1.052059576781536,1.2268052945671015,0.2123449164773199,96.22824691713461,0.7846395297282829,0.9776092999297237,0.49983252637696496,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,07_01,1 Jul,cat_core_d2,88,115.05525843530144,0.9616316048693857,1.2486978668381274,0.18398237954485874,96.22824691713461,0.7846395297282829,0.9776092999297237,0.49983252637696496,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,07_01,1 Jul,cat_core_d3,88,114.54296770525887,0.9542504969112587,1.2423852943471694,0.19221199233020914,96.22824691713461,0.7846395297282829,0.9776092999297237,0.49983252637696496,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,07_01,1 Jul,cat_all_no_field,88,114.75285650186436,0.9621205534324488,1.2367603063712853,0.19951006912902003,96.22824691713461,0.7846395297282829,0.9776092999297237,0.49983252637696496,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,07_01,1 Jul,cat_all_with_field,88,114.811712471103,0.9595148418220885,1.2327612733125495,0.2046784274664043,96.22824691713461,0.7846395297282829,0.9776092999297237,0.49983252637696496,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,08_01,1 Aug,peer_raw,88,122.18907663273461,0.9346198966614822,1.154255855314105,0.3027492827385674,85.88253410635528,0.7594881400702408,0.9331239258741458,0.5443163489000138,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,08_01,1 Aug,residual_global,88,115.37537400796923,0.9939198000156909,1.2430210400881956,0.19138506821477042,85.88253410635528,0.7594881400702408,0.9331239258741458,0.5443163489000138,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,08_01,1 Aug,residual_crop,88,118.88615700848524,1.0830499455429043,1.3102864322824332,0.10150164752474466,85.88253410635528,0.7594881400702408,0.9331239258741458,0.5443163489000138,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,08_01,1 Aug,ridge_core,88,122.18907663273461,0.9346198966614822,1.154255855314105,0.3027492827385674,85.88253410635528,0.7594881400702408,0.9331239258741458,0.5443163489000138,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,08_01,1 Aug,ridge_all_no_field,88,122.18907663273461,0.9346198966614822,1.154255855314105,0.3027492827385674,85.88253410635528,0.7594881400702408,0.9331239258741458,0.5443163489000138,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,08_01,1 Aug,cat_core_d2,88,114.9906431403002,0.9941245639585978,1.2519661303207916,0.17970520276934454,85.88253410635528,0.7594881400702408,0.9331239258741458,0.5443163489000138,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,08_01,1 Aug,cat_core_d3,88,114.36354780381879,0.9840422163236809,1.2468166645192045,0.18643923952183394,85.88253410635528,0.7594881400702408,0.9331239258741458,0.5443163489000138,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,08_01,1 Aug,cat_all_no_field,88,114.58336761409743,0.987230642498305,1.2467385972968859,0.18654111567124054,85.88253410635528,0.7594881400702408,0.9331239258741458,0.5443163489000138,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,08_01,1 Aug,cat_all_with_field,88,114.85302540243426,0.9937048491002934,1.2511392034188267,0.180788458620467,85.88253410635528,0.7594881400702408,0.9331239258741458,0.5443163489000138,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,09_01,1 Sep,peer_raw,88,96.53961460265869,0.802366558915628,0.970825895445288,0.5067495375476041,86.23237892227564,0.7773413613085083,0.939017200974181,0.5385423048135961,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,09_01,1 Sep,residual_global,88,94.46088024476043,0.8984869623657573,1.0829044341894483,0.38628736984577194,86.23237892227564,0.7773413613085083,0.939017200974181,0.5385423048135961,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,09_01,1 Sep,residual_crop,88,98.02121085444283,0.9892453656621621,1.1534695393923264,0.3036989380373505,86.23237892227564,0.7773413613085083,0.939017200974181,0.5385423048135961,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,09_01,1 Sep,ridge_core,88,96.53961460265869,0.802366558915628,0.970825895445288,0.5067495375476041,86.23237892227564,0.7773413613085083,0.939017200974181,0.5385423048135961,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,09_01,1 Sep,ridge_all_no_field,88,96.53961460265869,0.802366558915628,0.970825895445288,0.5067495375476041,86.23237892227564,0.7773413613085083,0.939017200974181,0.5385423048135961,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,09_01,1 Sep,cat_core_d2,88,93.97955852044795,0.8904644341186622,1.086521133193899,0.3821811526457539,86.23237892227564,0.7773413613085083,0.939017200974181,0.5385423048135961,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,09_01,1 Sep,cat_core_d3,88,94.76414678988253,0.9102181974855396,1.1006969854268918,0.3659546072359574,86.23237892227564,0.7773413613085083,0.939017200974181,0.5385423048135961,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,09_01,1 Sep,cat_all_no_field,88,95.1004174793593,0.9242488692574892,1.10924750350271,0.3560654657297633,86.23237892227564,0.7773413613085083,0.939017200974181,0.5385423048135961,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
wheat_combined,09_01,1 Sep,cat_all_with_field,88,94.91864861831245,0.9199943822258415,1.1065985837349672,0.3591372675424803,86.23237892227564,0.7773413613085083,0.939017200974181,0.5385423048135961,156.7986697565818,1.2401578124376937,1.504259596224925,-0.18421451089453678
all_crops,07_01,1 Jul,peer_raw,180,95.94706924486776,0.8612383076105505,1.109752528908505,0.09458015162323397,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all_crops,07_01,1 Jul,residual_global,180,76.53171561372818,0.847763876360951,1.0482101823659302,0.1922174404241198,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all_crops,07_01,1 Jul,residual_crop,180,80.42311435702165,0.8821253308671264,1.0902445335842443,0.1261325566209337,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all_crops,07_01,1 Jul,ridge_core,180,95.94706924486776,0.8612383076105505,1.109752528908505,0.09458015162323397,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all_crops,07_01,1 Jul,ridge_all_no_field,180,95.94706924486776,0.8612383076105505,1.109752528908505,0.09458015162323397,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all_crops,07_01,1 Jul,cat_core_d2,180,74.54295641081512,0.8205987370623452,1.030457943486105,0.21934657962459303,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all_crops,07_01,1 Jul,cat_core_d3,180,74.45181928491844,0.8084460241499165,1.0196573426416498,0.2356254372218568,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all_crops,07_01,1 Jul,cat_all_no_field,180,75.58694717214394,0.8152767938464224,1.0231271116614895,0.23041444010032275,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all_crops,07_01,1 Jul,cat_all_with_field,180,75.22930698066514,0.810572998506642,1.0169704105848285,0.23964858575085057,78.5710498096336,0.8032490633883965,1.0999704360750782,0.11047174094320678,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all_crops,08_01,1 Aug,peer_raw,180,75.44495641871258,0.7582615906653297,0.9950630989547208,0.2720543314461591,68.5421844943647,0.7047903561071314,0.8723108900376432,0.4405770068147986,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all_crops,08_01,1 Aug,residual_global,180,70.52776549071893,0.8176706472254348,1.0352902632141385,0.21200768300710615,68.5421844943647,0.7047903561071314,0.8723108900376432,0.4405770068147986,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all_crops,08_01,1 Aug,residual_crop,180,76.7733316469603,0.8887400219121102,1.1154626464469033,0.08523869105283277,68.5421844943647,0.7047903561071314,0.8723108900376432,0.4405770068147986,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
all_crops,08_01,1 Aug,ridge_core,180,75.44495641871258,0.7582615906653297,0.9950630989547208,0.2720543314461591,68.5421844943647,0.7047903561071314,0.8723108900376432,0.4405770068147986,108.56029250041364,0.9984242411631459,1.2961917424848486,-0.23519699044152387
