scenario,asof_tag,asof,model,n,r2,wcy_r2,rmse,mae,mape
all_crops,07_01,1 Jul,v26_base,946,0.010049453499790029,0.07180623333663361,1.185205206588262,0.966833750972534,46.25591394013981
all_crops,07_01,1 Jul,v27_s2,946,0.16523322213194502,0.1511056188821509,1.0883519985985404,0.8879730608902796,41.886680458318885
all_crops,07_01,1 Jul,cropwise_asof,943,0.33255528533414025,0.025421147263643973,0.9724596139335823,0.7511887256088832,29.348474389656314
all_crops,08_01,1 Aug,v26_base,904,0.1237777022966221,0.14418143059364308,1.0732981225861535,0.8810707336838212,42.60038949657267
all_crops,08_01,1 Aug,v27_s2,904,0.13939288044935705,0.14689497669343898,1.0636914946685831,0.8676781992178054,41.41425483381164
all_crops,08_01,1 Aug,cropwise_asof,901,0.4404393554622791,0.18035642552657138,0.8570185955390738,0.6660603739410972,27.82924704654611
all_crops,09_01,1 Sep,v26_base,63,0.14715588607743402,0.13042493271366362,0.7618235200327296,0.598062369256666,22.14581713296082
all_crops,09_01,1 Sep,v27_s2,63,0.10702858628227441,0.18738543414252573,0.7795398596444391,0.6209598555189481,22.004521458698324
all_crops,09_01,1 Sep,cropwise_asof,63,0.08287839301984345,0.06821005747710851,0.7900107684780793,0.6287034696170415,24.71349176773664
wheat_combined,07_01,1 Jul,v26_base,490,0.2728764700395513,0.11206704105192689,1.0603876021256342,0.8644353846926124,35.7026071471835
wheat_combined,07_01,1 Jul,v27_s2,490,0.3015077558208725,0.09340841351378726,1.0393009783437306,0.8378722499433766,33.78692650027908
wheat_combined,07_01,1 Jul,cropwise_asof,490,0.33794670857346665,0.01425528504580642,1.0118287529380674,0.7721074981974887,28.36706434139748
wheat_combined,08_01,1 Aug,v26_base,456,0.16537748423799215,0.16554672550735428,1.0659330321679796,0.8930312310259875,38.97735158199315
wheat_combined,08_01,1 Aug,v27_s2,456,0.2197861325441297,0.15417866190788476,1.0306037183855885,0.8637179927945225,37.03123136424321
wheat_combined,08_01,1 Aug,cropwise_asof,456,0.45384186660975134,0.19761086992246701,0.8622715859935786,0.6762074244980422,26.439534365737778
sunflower,07_01,1 Jul,v26_base,210,0.07906406301034286,0.10699773881539076,0.724807856890759,0.5556549157023366,23.401465794641595
sunflower,07_01,1 Jul,v27_s2,210,0.08598273783055288,0.1187793227322903,0.7220801080537416,0.5551131801802629,23.327052155384237
sunflower,07_01,1 Jul,cropwise_asof,210,-0.33505122857982883,0.002556882303235253,0.872684269285317,0.7096808102834636,25.657441045813133
sunflower,08_01,1 Aug,v26_base,209,0.15850233481450715,0.11591664917768008,0.694462588071306,0.5243222133089813,22.804181351550508
sunflower,08_01,1 Aug,v27_s2,209,0.14248386061191776,0.11410460690132607,0.7010412098286332,0.5447892111571482,23.147985587416347
sunflower,08_01,1 Aug,cropwise_asof,209,-0.028757466644700802,0.11077731948160363,0.7678544349263006,0.6114107830117145,23.652661487707256
barley,07_01,1 Jul,v26_base,83,0.07101789602442854,0.11346959006319168,1.3636546164462147,1.1462086180226403,41.987698435765104
barley,07_01,1 Jul,v27_s2,83,0.10699121289599678,0.3255962636137829,1.336991294092208,1.1272289960664446,39.05125176755348
barley,07_01,1 Jul,cropwise_asof,83,0.10646529907099989,0.11596317247965915,1.3373849289152095,1.1086207640180878,42.43797466260793
barley,08_01,1 Aug,v26_base,84,0.11572028078778507,0.1926057019893599,1.334862078432117,1.1291131628516926,39.459181096245864
barley,08_01,1 Aug,v27_s2,84,0.010782720649498145,0.1858421490372678,1.4118462678904806,1.1835105921997284,40.4579686922205
barley,08_01,1 Aug,cropwise_asof,84,0.2424030103217525,0.24525877712819033,1.235551019418339,0.9864885286843658,40.14869000534649
