scenario,asof_tag,asof_label,version,model,n_ml,n_cw,mape,rmse,mae,r2,cw_mape,cw_rmse,cw_mae,cw_r2
sunflower,07_01,1 Jul,v12,v12_default,25,25,24.042394593173128,0.6351878289880649,0.5686482055728603,-0.18622875518913196,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v12,v12_shallow_l30,25,25,25.597599671030046,0.6828473836803172,0.6090367071339795,-0.37091778716366663,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v12,v12_no_field_id,25,25,25.605696286922473,0.676491795643169,0.6041848339762698,-0.3455169701922527,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v13,v13_default,25,25,24.122658948106142,0.6325965390859755,0.5541125468128523,-0.17656990329024946,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v13,v13_shallow_l10,25,25,26.486935640967364,0.7035916215319852,0.6204108990831336,-0.45547727876529653,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v13,v13_shallow_l30,25,25,26.241782534829138,0.702257897561872,0.6300509117056156,-0.44996452105983353,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v13,v13_mae_l30,25,25,27.662477606872173,0.7682099897437794,0.6890434524375627,-0.7350980134918568,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v13,v13_no_field_id,25,25,26.426637863464652,0.6993531361442359,0.6190810039676488,-0.4379943023129542,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,08_01,1 Aug,v12,v12_default,25,25,24.93175294801318,0.6582459906657252,0.5788006395434515,-0.2739153094071136,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v12,v12_shallow_l30,25,25,26.52143706772933,0.7020713880152407,0.6209979265869721,-0.4491944440982272,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v12,v12_no_field_id,25,25,24.62366050170878,0.6458426791428376,0.56619523307204,-0.22635891884592385,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v13,v13_default,25,25,24.575420716212566,0.6465866093012669,0.5660761910694625,-0.22918577082321212,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v13,v13_shallow_l10,25,25,26.060323281739628,0.6898756412944298,0.6099159524141321,-0.3992835653043456,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v13,v13_shallow_l30,25,25,25.192887499800857,0.6592814118698833,0.5796362589349852,-0.27792620006731084,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v13,v13_mae_l30,25,25,25.26848268703076,0.6750165778140297,0.6100634746149152,-0.3396550620982073,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v13,v13_no_field_id,25,25,26.592388791775413,0.6978240232255416,0.6153218812462639,-0.4317129211682671,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,09_01,1 Sep,v12,v12_default,25,25,25.205728857550387,0.6537131193760051,0.5659644210543522,-0.256430624960559,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v12,v12_shallow_l30,25,25,25.348304132418203,0.6621947560892665,0.5766142660982131,-0.2892453874055918,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
sunflower,09_01,1 Sep,v12,v12_no_field_id,25,25,25.552422288054018,0.6684387801099312,0.5639048896503117,-0.31367334411833414,17.16875000453367,0.47709104103353106,0.3873709840000001,0.3307835090199617
