scenario,asof_tag,asof_label,variant,config,n,r2,rmse,mae,mape
wheat_combined,07_01,1 Jul,nutrients,l30,57,-0.034104224272169636,1.1985933651918603,0.9106044691487432,28.42706080699637
wheat_combined,07_01,1 Jul,nutrients,nofield,57,0.06264363712250842,1.1411482776673543,0.868055993149553,27.62782366885498
wheat_combined,07_01,1 Jul,counts_rates,l30,57,-0.030887769122730946,1.196727874179637,0.9108271589485062,28.36144273768338
wheat_combined,07_01,1 Jul,counts_rates,nofield,57,-0.01862685691343846,1.1895899171349185,0.917586880176255,30.671843715274623
wheat_combined,07_01,1 Jul,counts_rates_nutrients,l30,57,-0.09181550931715998,1.2315848639444886,0.9487082775085731,30.41159386018611
wheat_combined,07_01,1 Jul,counts_rates_nutrients,nofield,57,-0.10993319808633095,1.2417613375688785,0.944020092821453,30.14305125857268
wheat_combined,08_01,1 Aug,v12_no_mgmt,l30,57,-0.10798769218504867,1.2406725722366094,0.9164052713356006,28.08760219541214
wheat_combined,08_01,1 Aug,v12_no_mgmt,nofield,57,-0.14546847057144308,1.261482653664144,0.9539964124324631,28.990808387524936
wheat_combined,08_01,1 Aug,v13_full,l30,57,-0.07958288842184791,1.224666136882645,0.90107381016459,28.115764672979388
wheat_combined,08_01,1 Aug,v13_full,nofield,57,-0.1588435896809932,1.2688261613916305,0.9653150677138884,30.698061029739655
wheat_combined,08_01,1 Aug,counts,l30,57,-0.12153697499008431,1.2482354466225598,0.9048102665377151,27.184541513295002
wheat_combined,08_01,1 Aug,counts,nofield,57,-0.09240832669728283,1.2319191721805385,0.9201756253719091,28.204606592597703
wheat_combined,08_01,1 Aug,rates,l30,57,-0.08914767745834462,1.2300792657557127,0.8879693523153876,26.281950440957257
wheat_combined,08_01,1 Aug,rates,nofield,57,-0.22565623373225052,1.304890449173381,0.9772201332860884,29.27579160859001
wheat_combined,08_01,1 Aug,nutrients,l30,57,-0.18064772830400533,1.2807072886222506,0.9489036670681474,28.151218129960302
wheat_combined,08_01,1 Aug,nutrients,nofield,57,-0.17638750860554842,1.2783945643875914,0.9695091743937457,29.53775536630826
wheat_combined,08_01,1 Aug,counts_rates,l30,57,-0.11080153744705368,1.2422469791544553,0.8988865019544311,27.512892860007188
wheat_combined,08_01,1 Aug,counts_rates,nofield,57,-0.19193920211767135,1.2868169270585692,0.9786297599464617,30.344440879677958
wheat_combined,08_01,1 Aug,counts_rates_nutrients,l30,57,-0.20872485000092444,1.2958461376717976,0.939495483510357,27.787674850079654
wheat_combined,08_01,1 Aug,counts_rates_nutrients,nofield,57,-0.16493322344898975,1.2721555850104176,0.9557146562773625,29.861996546024876
wheat_combined,09_01,1 Sep,v12_no_mgmt,l30,57,-0.2093667803304038,1.2961901913757954,1.0297384493993034,33.66958496280233
wheat_combined,09_01,1 Sep,v12_no_mgmt,nofield,57,-0.2422887856624707,1.3137145066661406,1.0242101129738075,31.558547735466576
wheat_combined,09_01,1 Sep,v13_full,l30,57,-0.1759795954040244,1.2781729030604498,1.0210060056077561,33.848254576964656
wheat_combined,09_01,1 Sep,v13_full,nofield,57,-0.24783369419884438,1.3166430996455778,1.046411958869972,34.30944876422644
