scenario,asof_tag,asof_label,n_compare,v2_r2,v2_rmse,v2_mae,v2_mape,v2b_r2,v2b_rmse,v2b_mae,v2b_mape
sunflower,07_01,1 Jul,97,-0.13754625276294274,0.6752366671499311,0.5563823980409077,23.12869456535557,-0.0932922066629589,0.6619719871835886,0.5422525923416943,22.500027413995333
sunflower,08_01,1 Aug,97,0.08498366559636383,0.6056000592729507,0.495136736351957,21.492387832955785,0.1638092825879175,0.5789274691224153,0.4790662069311073,20.98995591350797
sunflower,09_01,1 Sep,97,0.19693026180298556,0.567346155037847,0.4589848048952975,20.67126556501459,0.18608161946919777,0.5711654298455605,0.4726517475729925,20.941365525378856
wheat_combined,07_01,1 Jul,62,0.02003115577022585,1.1320378100077495,0.9408371450963289,41.90051010117144,0.09577541074996399,1.087409079031898,0.895303557930397,40.337651810499466
wheat_combined,08_01,1 Aug,62,0.03582967277440563,1.1228756888195566,0.9354492685392088,41.434342142871934,-0.016196151512396728,1.1527724032397781,0.9451657539970952,42.92009321095441
wheat_combined,09_01,1 Sep,62,0.08367151374805903,1.0946628818706337,0.898563933554554,40.32005897670455,0.09480236168549516,1.0879940099732206,0.8807841739080118,41.13554642012463
all_crops,07_01,1 Jul,252,-0.18531937358102124,1.1590645103538328,0.8560526050010531,34.768796802491245,-0.13465493820156738,1.1340228896691529,0.8333817970728751,34.183488812196934
all_crops,08_01,1 Aug,252,-0.0763414212684983,1.1044980252387706,0.816017466519162,34.70745831100167,-0.11591750937024714,1.1246204148390235,0.8295826842074812,35.64608557312907
all_crops,09_01,1 Sep,252,-0.025678266015460638,1.078190481210141,0.7935618477640499,35.35200948512357,-0.05938006623480807,1.0957609398660806,0.7966887607706742,34.986355285199814
