scenario,asof_tag,asof,model,n,mape,r2,wcy_r2,rmse,mae
all_crops,08_01,1 Aug,v30_policy,904,41.44956456308852,0.11923607422411098,0.1562708940788763,1.076076082482416,0.8778428197544571
all_crops,08_01,1 Aug,cropwise_asof,901,27.82924704654611,0.4404393554622791,0.18035642552657138,0.8570185955390738,0.6660603739410972
wheat_combined,08_01,1 Aug,v30_policy,456,33.76128174419256,0.29909507668259194,0.14209553038223255,0.9768197407214937,0.8043327712990087
wheat_combined,08_01,1 Aug,cropwise_asof,456,26.439534365737778,0.45384186660975134,0.19761086992246701,0.8622715859935786,0.6762074244980422
sunflower,08_01,1 Aug,v30_policy,209,21.816557024542867,0.2170145361864152,0.1817849287395905,0.6698834472324446,0.5080815145973318
sunflower,08_01,1 Aug,cropwise_asof,209,23.652661487707256,-0.028757466644700802,0.11077731948160363,0.7678544349263006,0.6114107830117145
barley,08_01,1 Aug,v30_policy,84,40.35997857189728,-0.0072737923889252265,0.16062333075994628,1.4246734483774182,1.1948086936275917
barley,08_01,1 Aug,cropwise_asof,84,40.14869000534649,0.2424030103217525,0.24525877712819033,1.235551019418339,0.9864885286843658
