scenario,asof_tag,asof_label,variant,n,r2,rmse,mae,mape
sunflower,07_01,1 Jul,v9,25,-0.6474178847403029,0.7464092981853514,0.6511063668978497,26.287156129470514
sunflower,07_01,1 Jul,v10_full,25,-0.4384832851454983,0.6974732607209748,0.5922771184638047,24.347914055259626
sunflower,07_01,1 Jul,v10_no_scout,25,-0.5749701909878613,0.729812540841383,0.6409350306968384,25.87627997254015
sunflower,07_01,1 Jul,v10_no_soil,25,-0.8960911979312713,0.8007644119182782,0.6953247559116644,27.159860829634557
sunflower,07_01,1 Jul,v10_no_internal,25,-0.6474178847403029,0.7464092981853514,0.6511063668978497,26.287156129470514
sunflower,08_01,1 Aug,v9,25,-0.5806590223548584,0.7311294032716219,0.65154805201376,25.86039991700988
sunflower,08_01,1 Aug,v10_full,25,-0.4290828802267659,0.6951905515926108,0.620245667193036,24.81079621689595
sunflower,08_01,1 Aug,v10_no_scout,25,-0.305993736197417,0.6645776009255268,0.5776151690780456,23.533582313224944
sunflower,08_01,1 Aug,v10_no_soil,25,-0.3461785864769784,0.6747245178328093,0.577579579365375,24.93300633562409
sunflower,08_01,1 Aug,v10_no_internal,25,-0.5806590223548584,0.7311294032716219,0.65154805201376,25.86039991700988
sunflower,09_01,1 Sep,v9,25,-0.3279848856928669,0.6701495321477833,0.5782460954113935,24.899525094332358
sunflower,09_01,1 Sep,v10_full,25,-0.39662791044035384,0.6872512066592822,0.6022283865617303,25.60074543632971
sunflower,09_01,1 Sep,v10_no_scout,25,-0.287394585264781,0.6598283808997107,0.5815513887017829,24.76991214570415
sunflower,09_01,1 Sep,v10_no_soil,25,-0.44758505911767665,0.6996763567890748,0.6123000551513432,26.699740426200634
sunflower,09_01,1 Sep,v10_no_internal,25,-0.3279848856928669,0.6701495321477833,0.5782460954113935,24.899525094332358
wheat_combined,07_01,1 Jul,v9,67,-0.0007373138216459907,1.13128531110792,0.892979365641718,37.34711766247279
wheat_combined,07_01,1 Jul,v10_full,67,-0.12022581997940107,1.1969193573803036,0.95547126793771,38.80537751116251
wheat_combined,07_01,1 Jul,v10_no_scout,67,0.00630639038502856,1.1272969966663016,0.9143233982169077,38.387214542239704
wheat_combined,07_01,1 Jul,v10_no_soil,67,0.007984181288064218,1.126344908584269,0.9125203952523052,39.86471677177448
wheat_combined,07_01,1 Jul,v10_no_internal,67,-0.0007373138216459907,1.13128531110792,0.892979365641718,37.34711766247279
wheat_combined,08_01,1 Aug,v9,67,0.07630270484522772,1.0868683383001585,0.8826210583175772,39.13162098263106
wheat_combined,08_01,1 Aug,v10_full,67,-0.03570444444743526,1.1508799430359997,0.9326184385713575,41.7357282426132
wheat_combined,08_01,1 Aug,v10_no_scout,67,-0.008992599774934051,1.1359418291775514,0.919226500873973,40.7904289332026
wheat_combined,08_01,1 Aug,v10_no_soil,67,0.027204199518560124,1.1153802368279802,0.9049984599168739,38.97079435931384
wheat_combined,08_01,1 Aug,v10_no_internal,67,0.07630270484522772,1.0868683383001585,0.8826210583175772,39.13162098263106
wheat_combined,09_01,1 Sep,v9,67,0.11908436839190273,1.061400431259629,0.8533850207640632,38.99333880785274
wheat_combined,09_01,1 Sep,v10_full,67,0.0121819950964559,1.123959261762929,0.9058308230106514,39.648231506584544
wheat_combined,09_01,1 Sep,v10_no_scout,67,-0.1309500779230819,1.2026349448011506,0.9615054661100851,42.3775868868091
wheat_combined,09_01,1 Sep,v10_no_soil,67,-0.06722583701407836,1.1682620436760114,0.9491994859182742,42.15230394376298
wheat_combined,09_01,1 Sep,v10_no_internal,67,0.11908436839190273,1.061400431259629,0.8533850207640632,38.99333880785274
all_crops,07_01,1 Jul,v9,155,-0.3053086839633967,1.2572979219638225,0.9431778260426229,34.6132515808396
all_crops,07_01,1 Jul,v10_full,155,-0.3325010641519739,1.2703265247854407,0.9540423649718066,36.73082494310707
all_crops,07_01,1 Jul,v10_no_scout,155,-0.30014585939869676,1.2548089934855622,0.9465986519724223,36.1584624227055
all_crops,07_01,1 Jul,v10_no_soil,155,-0.2693924689192826,1.2398796807573658,0.9285264225442521,34.84194819679932
all_crops,07_01,1 Jul,v10_no_internal,155,-0.3053086839633967,1.2572979219638225,0.9431778260426229,34.6132515808396
all_crops,08_01,1 Aug,v9,155,-0.14400111241157076,1.1770497176637609,0.8733282206972182,32.55002142539569
all_crops,08_01,1 Aug,v10_full,155,-0.348559254625606,1.2779580588362682,0.9772892169702039,35.64309452067354
all_crops,08_01,1 Aug,v10_no_scout,155,-0.334053206072225,1.271066168923551,0.9586487391055611,36.04770364411699
all_crops,08_01,1 Aug,v10_no_soil,155,-0.23410507627713617,1.2225247311298224,0.9317543445441369,34.56387908475906
all_crops,08_01,1 Aug,v10_no_internal,155,-0.14400111241157076,1.1770497176637609,0.8733282206972182,32.55002142539569
all_crops,09_01,1 Sep,v9,155,-0.30574183854033476,1.2575065159857512,0.9473633355734997,35.79366760683807
all_crops,09_01,1 Sep,v10_full,155,-0.27593188336558994,1.2430692662011094,0.935968836832241,34.66336201557665
all_crops,09_01,1 Sep,v10_no_scout,155,-0.3290248765536252,1.2686684484039388,0.9615641104332051,35.95267035875064
all_crops,09_01,1 Sep,v10_no_soil,155,-0.21539127013779535,1.2132202216407193,0.9020603503388389,33.974623800672546
all_crops,09_01,1 Sep,v10_no_internal,155,-0.30574183854033476,1.2575065159857512,0.9473633355734997,35.79366760683807
