scenario,asof_tag,asof,model,n,n_target_ge_1,r2,wcy_r2,rmse,mae,mape,r2_target_ge_1,mape_target_ge_1
all_crops,07_01,1 Jul,v23_full,1706,1531,0.19571280721805606,0.0931563880678481,1.3532085930471507,0.9202863573010631,109.40092284372405,0.17021266206778907,30.228836199132854
all_crops,07_01,1 Jul,v23_no_field,1706,1531,0.19593319346321636,0.0895556760145737,1.3530231810475912,0.9175518814794923,109.8114419467066,0.17010509790524775,30.50285148879979
all_crops,07_01,1 Jul,cropwise,1667,1497,0.2615487594580197,0.05177441974802133,1.3010272350672123,0.8352767023517547,109.71527434430122,0.21521916058222346,28.74000094494625
all_crops,08_01,1 Aug,v23_full,1706,1531,0.1966891570518624,0.03973739577296109,1.3523869921292546,0.9061241931395161,110.49751960767425,0.1681847424151468,30.874776290200572
all_crops,08_01,1 Aug,v23_no_field,1706,1531,0.16275815087007306,-0.01663146231825907,1.3806532974069299,0.9080203883902953,112.30467232828292,0.1300900879414666,31.81260835709317
all_crops,08_01,1 Aug,cropwise,1667,1497,0.3202114312884472,0.08910695783843625,1.2482811269881744,0.7701429986538976,108.7269942478228,0.28942556341788306,27.354868974356872
all_crops,09_01,1 Sep,v23_full,1706,1531,0.18655999003858637,0.04855691990573452,1.3608865920940452,0.9145116331527133,106.12582247975091,0.11945072130306367,31.185887395012767
all_crops,09_01,1 Sep,v23_no_field,1706,1531,0.21581399908755827,0.07762973468766365,1.3361915252120604,0.8867251314058174,104.55623111128045,0.15032675972213394,31.010663773204673
all_crops,09_01,1 Sep,cropwise,1667,1497,0.3339987304522233,0.09774526725078037,1.2355576223427964,0.7605337559197666,107.56282228312675,0.29122091711368925,27.07955038721809
wheat_combined,07_01,1 Jul,v23_full,791,719,0.15808597640762911,0.05789009169805015,1.5793186675791273,0.9665895213800867,161.86829894330984,0.13746440262226878,28.797586843973868
wheat_combined,07_01,1 Jul,v23_no_field,791,719,0.15873705566229857,0.05038665044717394,1.5787078804524,0.9685391805113334,159.1648018459708,0.13015441574743614,28.998843003263246
wheat_combined,07_01,1 Jul,cropwise,769,698,0.21447141814609927,0.02834225060913409,1.5379537302002435,0.8787534041768482,159.20454509332683,0.15309481500813016,28.27257450614965
wheat_combined,08_01,1 Aug,v23_full,791,719,0.14435453553457822,0.04257462163525416,1.5921457551980942,0.9638259390523074,159.9933466720352,0.12711092345261066,28.710329196096946
wheat_combined,08_01,1 Aug,v23_no_field,791,719,0.14767859569659703,0.04764935052071151,1.5890501165555724,0.9599877338382152,158.24221611522884,0.10812766185240141,29.13298562221291
wheat_combined,08_01,1 Aug,cropwise,769,698,0.2552333719038956,0.05670356014241651,1.497519126957946,0.8224280295380421,159.91383963082225,0.20130020756727662,27.462875085270277
wheat_combined,09_01,1 Sep,v23_full,791,719,0.17229303364666804,0.065509989766249,1.5659366988034575,0.9554516507596001,163.6937130065366,0.158723744112382,30.913601362631166
wheat_combined,09_01,1 Sep,v23_no_field,791,719,0.1749622376664839,0.08004935207602637,1.5634097297657765,0.9463373517125954,153.9614278828194,0.13063556870446047,30.9345397267405
wheat_combined,09_01,1 Sep,cropwise,769,698,0.24226952106871946,0.03669765084250742,1.5104962529379402,0.8442594858262898,163.39894049266562,0.18811248585002704,28.443604047843067
sunflower,07_01,1 Jul,v23_full,403,372,0.16896761445919672,0.132128791396662,0.8416128258927652,0.6663178396292401,45.930973205627275,0.04836717735190377,24.604863065083276
sunflower,07_01,1 Jul,v23_no_field,403,372,0.17288949245927254,0.11825158385949075,0.8396245722826664,0.6629458931948838,46.08358030272387,0.06226146185734405,24.590894205195966
sunflower,07_01,1 Jul,cropwise,397,367,0.04634711755132326,0.02149662155179577,0.8862799406387508,0.7210164011231863,44.03351427418935,-0.22887851026864392,26.50769396794381
sunflower,08_01,1 Aug,v23_full,403,372,0.25872450157786475,0.1750224349532683,0.7948646696400846,0.6296028420682064,42.413799877863084,0.13484948414916986,23.039033151664917
sunflower,08_01,1 Aug,v23_no_field,403,372,0.2678259713867924,0.17868088400590587,0.7899698764687286,0.6271890729826051,41.828005265096216,0.1373485277834886,22.99214566646516
sunflower,08_01,1 Aug,cropwise,397,367,0.25506519829375585,0.14454447020759598,0.7833121970676312,0.6251757026997012,40.71205267756636,0.10567322911791188,23.399087936217057
sunflower,09_01,1 Sep,v23_full,403,372,0.23885307607265127,0.1458741590471988,0.8054482074376482,0.6404444673227363,41.91132543439861,0.08226772247004466,23.558127589367757
sunflower,09_01,1 Sep,v23_no_field,403,372,0.2604663385100471,0.1505358899745285,0.7939302404495306,0.6247328569170195,41.1979680875643,0.1086610961416371,23.27480700543737
sunflower,09_01,1 Sep,cropwise,397,367,0.3629467612143421,0.23662287350593025,0.7243752797826511,0.5662150461309076,37.69723624862245,0.24715954314102118,21.157947531246492
