scenario,asof_tag,asof_label,model,n_ml,n_cw,mape,rmse,mae,r2,cw_mape,cw_rmse,cw_mae,cw_r2
sunflower,07_01,1 Jul,v12_default,25,25,24.042394593173128,0.6351878289880649,0.5686482055728603,-0.18622875518913196,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v12_shallow_l10,25,25,25.5257420584143,0.6874612534499938,0.6055287361053634,-0.38950643667675844,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v12_shallow_l30,25,25,25.597599671030046,0.6828473836803172,0.6090367071339795,-0.37091778716366663,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v12_mae_l30,25,25,25.566037785495016,0.7171322494337796,0.6452309383772229,-0.5120376945125853,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,07_01,1 Jul,v12_no_field_id,25,25,25.605696286922473,0.676491795643169,0.6041848339762698,-0.3455169701922527,31.84502167164755,0.8513029633036987,0.707589384,-1.1307495335138404
sunflower,08_01,1 Aug,v12_default,25,25,24.93175294801318,0.6582459906657252,0.5788006395434515,-0.2739153094071136,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v12_shallow_l10,25,25,25.434550265045335,0.6645659284949134,0.582936181606512,-0.29849492107842557,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v12_shallow_l30,25,25,26.52143706772933,0.7020713880152407,0.6209979265869721,-0.4491944440982272,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v12_mae_l30,25,25,25.25895232020231,0.6873498369736012,0.6211252087823737,-0.38905608004933034,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
sunflower,08_01,1 Aug,v12_no_field_id,25,25,24.62366050170878,0.6458426791428376,0.56619523307204,-0.22635891884592385,24.536789707557524,0.6706064036384222,0.535812536,-0.3222071586501116
