scenario,asof_tag,asof_label,model,n_ml,n_cw,mape,rmse,r2,cw_mape,cw_rmse,cw_r2
sunflower,07_01,1 Jul,v7_default,25,25,24.993555411957104,0.6775679055088953,-0.3575484797021362,31.708269836322962,0.8449296770287452,-1.1110125903923742
sunflower,07_01,1 Jul,v9_default,25,25,24.377772937237754,0.6703257412277246,-0.3286833380472274,31.708269836322962,0.8449296770287452,-1.1110125903923742
sunflower,07_01,1 Jul,v9_shallow_l10,25,25,24.340599644084577,0.6528950182148655,-0.26048129223077954,31.708269836322962,0.8449296770287452,-1.1110125903923742
sunflower,07_01,1 Jul,v9_shallow_l30,25,25,24.60681261186344,0.6661315806294458,-0.31210847894250326,31.708269836322962,0.8449296770287452,-1.1110125903923742
sunflower,07_01,1 Jul,v9_mae_l30,25,25,26.287156129470514,0.7464092981853514,-0.6474178847403029,31.708269836322962,0.8449296770287452,-1.1110125903923742
sunflower,07_01,1 Jul,v9_no_field_id,25,25,23.548246501810667,0.6404324981394381,-0.2128201898476325,31.708269836322962,0.8449296770287452,-1.1110125903923742
sunflower,08_01,1 Aug,v7_default,25,25,20.904431026705602,0.5690466002311351,0.04248549705344751,26.257288863396234,0.709205041843858,-0.4872820056791931
sunflower,08_01,1 Aug,v9_default,25,25,23.198180312881632,0.6194015857865216,-0.13447340805853258,26.257288863396234,0.709205041843858,-0.4872820056791931
sunflower,08_01,1 Aug,v9_shallow_l10,25,25,22.709503463303967,0.6139863037127051,-0.11472325535514516,26.257288863396234,0.709205041843858,-0.4872820056791931
sunflower,08_01,1 Aug,v9_shallow_l30,25,25,23.448495580038415,0.6291680192677293,-0.17053114362977584,26.257288863396234,0.709205041843858,-0.4872820056791931
sunflower,08_01,1 Aug,v9_mae_l30,25,25,25.86039991700988,0.7311294032716219,-0.5806590223548584,26.257288863396234,0.709205041843858,-0.4872820056791931
sunflower,08_01,1 Aug,v9_no_field_id,25,25,24.011837643126903,0.6575450564218674,-0.27849998921011454,26.257288863396234,0.709205041843858,-0.4872820056791931
sunflower,09_01,1 Sep,v7_default,25,25,23.442829763407012,0.6258305104970026,-0.15814559275865214,18.21458519522712,0.498835328275463,0.2641926845494955
sunflower,09_01,1 Sep,v9_default,25,25,24.236474020776896,0.6505693445378457,-0.25151737920665607,18.21458519522712,0.498835328275463,0.2641926845494955
sunflower,09_01,1 Sep,v9_shallow_l10,25,25,23.1940009289568,0.629267290408287,-0.1709005493377458,18.21458519522712,0.498835328275463,0.2641926845494955
sunflower,09_01,1 Sep,v9_shallow_l30,25,25,23.50352811445314,0.6336772275876029,-0.1873695167321603,18.21458519522712,0.498835328275463,0.2641926845494955
sunflower,09_01,1 Sep,v9_mae_l30,25,25,24.899525094332358,0.6701495321477833,-0.3279848856928669,18.21458519522712,0.498835328275463,0.2641926845494955
sunflower,09_01,1 Sep,v9_no_field_id,25,25,24.003488631974257,0.647752367587756,-0.24070265850168426,18.21458519522712,0.498835328275463,0.2641926845494955
wheat_combined,07_01,1 Jul,v7_default,67,67,36.8842450945813,1.0427665037846712,0.1497435381164396,31.967262629919723,0.8707805875479628,0.4070838576203921
wheat_combined,07_01,1 Jul,v9_default,67,67,39.5854107681884,1.1053770189257044,0.044574871363077584,31.967262629919723,0.8707805875479628,0.4070838576203921
wheat_combined,07_01,1 Jul,v9_shallow_l10,67,67,38.790804319098754,1.109869472803113,0.036793045979007455,31.967262629919723,0.8707805875479628,0.4070838576203921
wheat_combined,07_01,1 Jul,v9_shallow_l30,67,67,38.868410556116935,1.0962695086916392,0.060254041024421445,31.967262629919723,0.8707805875479628,0.4070838576203921
wheat_combined,07_01,1 Jul,v9_mae_l30,67,67,37.34711766247279,1.13128531110792,-0.0007373138216459907,31.967262629919723,0.8707805875479628,0.4070838576203921
wheat_combined,07_01,1 Jul,v9_no_field_id,67,67,39.28534377130591,1.1210755857309254,0.01724426563738768,31.967262629919723,0.8707805875479628,0.4070838576203921
wheat_combined,08_01,1 Aug,v7_default,67,67,42.32483935430562,1.1597384470509002,-0.05170976619083234,32.73780288443596,0.848990918715285,0.4363858516722381
wheat_combined,08_01,1 Aug,v9_default,67,67,40.812636800021565,1.1130903337088032,0.031194446785206553,32.73780288443596,0.848990918715285,0.4363858516722381
wheat_combined,08_01,1 Aug,v9_shallow_l10,67,67,40.64423954812994,1.1262099936958458,0.008221816646218683,32.73780288443596,0.848990918715285,0.4363858516722381
wheat_combined,08_01,1 Aug,v9_shallow_l30,67,67,40.139622777228325,1.094966985996554,0.062485815717042814,32.73780288443596,0.848990918715285,0.4363858516722381
wheat_combined,08_01,1 Aug,v9_mae_l30,67,67,39.13162098263106,1.0868683383001585,0.07630270484522772,32.73780288443596,0.848990918715285,0.4363858516722381
wheat_combined,08_01,1 Aug,v9_no_field_id,67,67,41.4825694145018,1.1335543050721788,-0.004755652990031223,32.73780288443596,0.848990918715285,0.4363858516722381
wheat_combined,09_01,1 Sep,v7_default,67,67,40.10320762139791,1.1027651009837525,0.04908472396258734,33.787085193917285,0.8617000096174864,0.41938534616056156
wheat_combined,09_01,1 Sep,v9_default,67,67,43.32631443516547,1.1473990677191304,-0.02944887261856244,33.787085193917285,0.8617000096174864,0.41938534616056156
wheat_combined,09_01,1 Sep,v9_shallow_l10,67,67,41.360612191434164,1.1367730396996867,-0.010469774208705873,33.787085193917285,0.8617000096174864,0.41938534616056156
wheat_combined,09_01,1 Sep,v9_shallow_l30,67,67,42.85794554907426,1.1663202160066029,-0.06368100496815843,33.787085193917285,0.8617000096174864,0.41938534616056156
wheat_combined,09_01,1 Sep,v9_mae_l30,67,67,38.99333880785274,1.061400431259629,0.11908436839190273,33.787085193917285,0.8617000096174864,0.41938534616056156
wheat_combined,09_01,1 Sep,v9_no_field_id,67,67,42.40244056532769,1.1625090863066696,-0.056740881724041126,33.787085193917285,0.8617000096174864,0.41938534616056156
all_crops,07_01,1 Jul,v7_default,155,154,35.35161769754554,1.2112118358903634,-0.21137064132065952,33.478074104550956,1.0993350403738946,-0.0045084626665563565
all_crops,07_01,1 Jul,v9_default,155,154,35.97398104464213,1.218328623426262,-0.22564790460038853,33.478074104550956,1.0993350403738946,-0.0045084626665563565
