scenario,asof_tag,asof_label,n,v7_mape,v8_mape,cw_mape,v7_r2,v8_r2,cw_r2,v7_rmse,v8_rmse,cw_rmse
sunflower,07_01,1 Jul,25,25.245055868920492,24.501513699359545,31.708269836322962,-0.3828367946434277,-0.30334703485982195,-1.1110125903923742,0.6838496295946863,0.663903849421894,0.8449296770287452
sunflower,08_01,1 Aug,25,22.02236483580328,22.112159909724216,26.257288863396234,-0.062064139451089906,-0.120437120909205,-0.4872820056791931,0.599308621257509,0.6155578825858993,0.709205041843858
sunflower,09_01,1 Sep,25,24.127141138581834,21.36199911477127,18.21458519522712,-0.2271587662217136,-0.03757303242509047,0.2641926845494955,0.6442071336657853,0.5923583167696245,0.498835328275463
wheat_combined,07_01,1 Jul,67,38.446596436772076,40.21155133812792,31.967262629919723,0.05011970856901904,0.03298019611036507,0.4070838576203921,1.102164807947981,1.1120640095371574,0.8707805875479628
wheat_combined,08_01,1 Aug,67,39.841155625627636,42.397531222742074,32.73780288443596,0.0812439204340607,0.0017716789473359862,0.4363858516722381,1.0839573997081933,1.1298662734039895,0.848990918715285
wheat_combined,09_01,1 Sep,67,41.31361921023598,46.942983496347885,33.787085193917285,0.013367976143612847,-0.242263863925952,0.41938534616056156,1.1232843425386834,1.260430859632831,0.8617000096174864
all_crops,07_01,1 Jul,155,34.55795749364786,35.719250699310564,33.478074104550956,-0.24570759965060596,-0.18715289239092914,-0.0045084626665563565,1.228258111944724,1.1990434240111787,1.0993350403738946
all_crops,08_01,1 Aug,155,34.57816490674563,36.04501072595986,34.14514329063533,-0.11773215112948376,-0.22076482525412966,-0.07336595867741891,1.1634573185715684,1.215899241926652,1.1363894151933849
all_crops,09_01,1 Sep,155,35.893900626453664,35.737438143263006,33.32522832630724,-0.16228888581865486,-0.18122781061790438,-0.06059724336579553,1.186420457358218,1.1960474674126247,1.1296099730636677
