model,n_ml,n_cw,mape,rmse,mae,r2,cw_mape,cw_rmse,cw_mae,cw_r2,scenario,asof_tag,asof_label
v7_default,25,25,24.993555411957104,0.6775679055088953,0.595866243080075,-0.3575484797021362,31.708269836322962,0.8449296770287452,0.696999761787589,-1.1110125903923742,sunflower,07_01,1 Jul
v9_shallow_l10,25,25,24.340599644084577,0.6528950182148655,0.5711010452459288,-0.26048129223077954,31.708269836322962,0.8449296770287452,0.696999761787589,-1.1110125903923742,sunflower,07_01,1 Jul
v9_mae_l30,25,25,26.287156129470514,0.7464092981853514,0.6511063668978497,-0.6474178847403029,31.708269836322962,0.8449296770287452,0.696999761787589,-1.1110125903923742,sunflower,07_01,1 Jul
v9_no_field_id,25,25,23.548246501810667,0.6404324981394381,0.5542861136528764,-0.2128201898476325,31.708269836322962,0.8449296770287452,0.696999761787589,-1.1110125903923742,sunflower,07_01,1 Jul
v10_default,25,25,24.561836181498222,0.6565908458699288,0.5761007412386999,-0.27479203647206973,31.708269836322962,0.8449296770287452,0.696999761787589,-1.1110125903923742,sunflower,07_01,1 Jul
v10_shallow_l10,25,25,25.141461842076612,0.6784483503721439,0.5979981331952419,-0.36107882149998427,31.708269836322962,0.8449296770287452,0.696999761787589,-1.1110125903923742,sunflower,07_01,1 Jul
v10_shallow_l30,25,25,25.5132848304419,0.6952603988116576,0.6125534619446598,-0.42937006042268533,31.708269836322962,0.8449296770287452,0.696999761787589,-1.1110125903923742,sunflower,07_01,1 Jul
v10_mae_l30,25,25,24.347914055259626,0.6974732607209748,0.5922771184638047,-0.4384832851454983,31.708269836322962,0.8449296770287452,0.696999761787589,-1.1110125903923742,sunflower,07_01,1 Jul
v10_no_field_id,25,25,25.28136433769226,0.6815645274890879,0.6021755484822822,-0.37361066173376134,31.708269836322962,0.8449296770287452,0.696999761787589,-1.1110125903923742,sunflower,07_01,1 Jul
v7_default,25,25,20.904431026705602,0.5690466002311351,0.4753394985121788,0.04248549705344751,26.257288863396234,0.709205041843858,0.572990626349427,-0.4872820056791931,sunflower,08_01,1 Aug
v9_shallow_l10,25,25,22.709503463303967,0.6139863037127051,0.5226652569353539,-0.11472325535514516,26.257288863396234,0.709205041843858,0.572990626349427,-0.4872820056791931,sunflower,08_01,1 Aug
v9_mae_l30,25,25,25.86039991700988,0.7311294032716219,0.65154805201376,-0.5806590223548584,26.257288863396234,0.709205041843858,0.572990626349427,-0.4872820056791931,sunflower,08_01,1 Aug
v9_no_field_id,25,25,24.011837643126903,0.6575450564218674,0.5677080908958991,-0.27849998921011454,26.257288863396234,0.709205041843858,0.572990626349427,-0.4872820056791931,sunflower,08_01,1 Aug
v10_default,25,25,23.63425259385553,0.6304527860827389,0.543972447941195,-0.1753164949846615,26.257288863396234,0.709205041843858,0.572990626349427,-0.4872820056791931,sunflower,08_01,1 Aug
v10_shallow_l10,25,25,21.971758957869422,0.5891213172455664,0.49287155068446814,-0.026264179133158816,26.257288863396234,0.709205041843858,0.572990626349427,-0.4872820056791931,sunflower,08_01,1 Aug
v10_shallow_l30,25,25,22.055095220286958,0.5902374035363694,0.4931206954554248,-0.03015636338500327,26.257288863396234,0.709205041843858,0.572990626349427,-0.4872820056791931,sunflower,08_01,1 Aug
v10_mae_l30,25,25,24.81079621689595,0.6951905515926108,0.620245667193036,-0.4290828802267659,26.257288863396234,0.709205041843858,0.572990626349427,-0.4872820056791931,sunflower,08_01,1 Aug
v10_no_field_id,25,25,21.7163801486469,0.5896700537770418,0.4870078108917035,-0.0281768952467909,26.257288863396234,0.709205041843858,0.572990626349427,-0.4872820056791931,sunflower,08_01,1 Aug
v7_default,25,25,23.442829763407012,0.6258305104970026,0.5408127212275594,-0.15814559275865214,18.21458519522712,0.498835328275463,0.40919737427096436,0.2641926845494955,sunflower,09_01,1 Sep
v9_shallow_l10,25,25,23.1940009289568,0.629267290408287,0.5374668688785719,-0.1709005493377458,18.21458519522712,0.498835328275463,0.40919737427096436,0.2641926845494955,sunflower,09_01,1 Sep
v9_mae_l30,25,25,24.899525094332358,0.6701495321477833,0.5782460954113935,-0.3279848856928669,18.21458519522712,0.498835328275463,0.40919737427096436,0.2641926845494955,sunflower,09_01,1 Sep
v9_no_field_id,25,25,24.003488631974257,0.647752367587756,0.5633154748916244,-0.24070265850168426,18.21458519522712,0.498835328275463,0.40919737427096436,0.2641926845494955,sunflower,09_01,1 Sep
v10_default,25,25,24.823346781637174,0.6594332624992962,0.5777810715527391,-0.2858532117740529,18.21458519522712,0.498835328275463,0.40919737427096436,0.2641926845494955,sunflower,09_01,1 Sep
v10_shallow_l10,25,25,24.692011558123927,0.6617424802588665,0.581056634454949,-0.2948746374378086,18.21458519522712,0.498835328275463,0.40919737427096436,0.2641926845494955,sunflower,09_01,1 Sep
v10_shallow_l30,25,25,23.90562494863465,0.6399928288898463,0.5594738540587225,-0.2111555126033331,18.21458519522712,0.498835328275463,0.40919737427096436,0.2641926845494955,sunflower,09_01,1 Sep
v10_mae_l30,25,25,25.60074543632971,0.6872512066592822,0.6022283865617303,-0.39662791044035384,18.21458519522712,0.498835328275463,0.40919737427096436,0.2641926845494955,sunflower,09_01,1 Sep
v10_no_field_id,25,25,24.127104634278123,0.6461172182641345,0.5624117381519672,-0.2344466458536183,18.21458519522712,0.498835328275463,0.40919737427096436,0.2641926845494955,sunflower,09_01,1 Sep
v7_default,67,67,36.8842450945813,1.0427665037846712,0.8489871511053079,0.1497435381164396,31.967262629919723,0.8707805875479628,0.6741647318695853,0.4070838576203921,wheat_combined,07_01,1 Jul
v9_shallow_l10,67,67,38.790804319098754,1.109869472803113,0.9095036620258705,0.036793045979007455,31.967262629919723,0.8707805875479628,0.6741647318695853,0.4070838576203921,wheat_combined,07_01,1 Jul
v9_mae_l30,67,67,37.34711766247279,1.13128531110792,0.892979365641718,-0.0007373138216459907,31.967262629919723,0.8707805875479628,0.6741647318695853,0.4070838576203921,wheat_combined,07_01,1 Jul
v9_no_field_id,67,67,39.28534377130591,1.1210755857309254,0.9224263670240691,0.01724426563738768,31.967262629919723,0.8707805875479628,0.6741647318695853,0.4070838576203921,wheat_combined,07_01,1 Jul
v10_default,67,67,41.02718961825397,1.1570256762101463,0.9485753359366746,-0.046795363673035384,31.967262629919723,0.8707805875479628,0.6741647318695853,0.4070838576203921,wheat_combined,07_01,1 Jul
v10_shallow_l10,67,67,39.3674128631024,1.148406708663686,0.9360670058882554,-0.031257781735355206,31.967262629919723,0.8707805875479628,0.6741647318695853,0.4070838576203921,wheat_combined,07_01,1 Jul
v10_shallow_l30,67,67,39.77024554252221,1.125663005756462,0.9232682017286225,0.009184974435544557,31.967262629919723,0.8707805875479628,0.6741647318695853,0.4070838576203921,wheat_combined,07_01,1 Jul
v10_mae_l30,67,67,38.80537751116251,1.1969193573803036,0.95547126793771,-0.12022581997940107,31.967262629919723,0.8707805875479628,0.6741647318695853,0.4070838576203921,wheat_combined,07_01,1 Jul
v10_no_field_id,67,67,39.765053058875985,1.1373517469852348,0.9262844433738392,-0.011498853973682,31.967262629919723,0.8707805875479628,0.6741647318695853,0.4070838576203921,wheat_combined,07_01,1 Jul
v7_default,67,67,42.32483935430562,1.1597384470509002,0.9351207376305128,-0.05170976619083234,32.73780288443596,0.848990918715285,0.6760748469455898,0.4363858516722381,wheat_combined,08_01,1 Aug
v9_shallow_l10,67,67,40.64423954812994,1.1262099936958458,0.9086006395071882,0.008221816646218683,32.73780288443596,0.848990918715285,0.6760748469455898,0.4363858516722381,wheat_combined,08_01,1 Aug
v9_mae_l30,67,67,39.13162098263106,1.0868683383001585,0.8826210583175772,0.07630270484522772,32.73780288443596,0.848990918715285,0.6760748469455898,0.4363858516722381,wheat_combined,08_01,1 Aug
v9_no_field_id,67,67,41.4825694145018,1.1335543050721788,0.9197466384121757,-0.004755652990031223,32.73780288443596,0.848990918715285,0.6760748469455898,0.4363858516722381,wheat_combined,08_01,1 Aug
v10_default,67,67,40.753710595832345,1.1277338770957193,0.9109987133525378,0.005536035431342734,32.73780288443596,0.848990918715285,0.6760748469455898,0.4363858516722381,wheat_combined,08_01,1 Aug
v10_shallow_l10,67,67,41.46157386950744,1.1288991867858462,0.9067734612303973,0.003479775078384595,32.73780288443596,0.848990918715285,0.6760748469455898,0.4363858516722381,wheat_combined,08_01,1 Aug
v10_shallow_l30,67,67,40.25054764932656,1.112115532305635,0.8843850145412284,0.0328905885136388,32.73780288443596,0.848990918715285,0.6760748469455898,0.4363858516722381,wheat_combined,08_01,1 Aug
v10_mae_l30,67,67,41.7357282426132,1.1508799430359997,0.9326184385713575,-0.03570444444743526,32.73780288443596,0.848990918715285,0.6760748469455898,0.4363858516722381,wheat_combined,08_01,1 Aug
