scenario,asof_tag,asof_label,n_ml,n_all,v4_mape,v6_mape,cw_mape,v4_r2,v6_r2,cw_r2,v4_rmse,v6_rmse,cw_rmse
sunflower,07_01,1 Jul,97,97,23.063508707837347,22.8014638412189,26.29414829844063,-0.15501662565788954,-0.11713133354422323,-0.29042343557481654,0.6804020341916613,0.6691501846107728,0.7191800082743631
sunflower,08_01,1 Aug,97,97,19.62015965822199,19.795679967057612,21.520577947778246,0.19065826596398316,0.17360763389107026,0.13386272002223565,0.5695573402992068,0.5755255835538376,0.5892028669979168
sunflower,09_01,1 Sep,97,97,20.35007552328798,19.690932817317915,18.595014958950852,0.17121406136303075,0.19396587875227833,0.2769209342782445,0.576358460421753,0.5683923170719589,0.5383495813182279
wheat_combined,07_01,1 Jul,62,62,40.693018811767296,41.87940437669652,31.477115174775882,0.03947675990037358,-0.0182727308393118,0.4846584872369888,1.1207499723552519,1.1539496374043563,0.8209228840339121
wheat_combined,08_01,1 Aug,62,62,40.054484799340955,38.91386581275647,27.9729569881503,0.11823615922253572,0.13572547845702765,0.5708991131431091,1.073818646132047,1.063115997650889,0.7490908707210737
wheat_combined,09_01,1 Sep,62,62,37.90841469014812,39.991418992717485,29.685478675413872,0.2010465521214666,0.12958362196349105,0.5294503233014711,1.0221521250591268,1.0668867594238882,0.7844360387430597
all_crops,07_01,1 Jul,252,251,34.2301836730861,34.049767961292986,33.06552987867542,-0.11564446318502797,-0.13302826106516563,-0.02173424344298458,1.1244828186019695,1.1332097126097078,1.0720470134355866
all_crops,08_01,1 Aug,252,251,34.056378549833546,34.036486598248075,29.659306877108133,-0.09072400068999853,-0.12402451638007461,0.1908491351229724,1.1118529473848429,1.1286981384856423,0.954024676354434
all_crops,09_01,1 Sep,252,251,34.49205527622858,33.69402637115762,28.769724920429425,-0.05871314027514685,-0.037646634021091696,0.18177214536288855,1.0954159709110467,1.0844627963498208,0.9593608392296762
