field_id,season,operation_type,agro_operation_id,mix_item_applicable_id,mix_item_applicable_name,mix_item_applicable_type,mix_item_fact_rate,mix_item_planned_rate,mix_item_rate_unit,mix_item_unit_id,actual_start_datetime,completed_date
207,2023,application,11016,60,,Seed,0.0,230.0,,19,2022-08-29T13:48:00.000+05:00,2022-08-30
207,2023,other,13856,50,,Seed,0.0,0.0,,19,2023-05-02T21:09:00.000+05:00,2023-05-03
207,2023,other,13856,93,,Seed,0.0,0.0,,19,2023-05-02T21:09:00.000+05:00,2023-05-03
207,2024,application,27298,83,,Seed,0.0,0.3092627599090909,,32,2024-05-04T09:48:00.000+05:00,2024-05-06
207,2024,application,27298,109,,Seed,0.4636363636363636,0.019281663545454544,,32,2024-05-04T09:48:00.000+05:00,2024-05-06
207,2024,application,27298,161,,Seed,0.0,0.03780718336363636,,34,2024-05-04T09:48:00.000+05:00,2024-05-06
207,2024,application,27298,162,,Seed,0.0,0.02684310018181818,,34,2024-05-04T09:48:00.000+05:00,2024-05-06
207,2025,application,34334,37,,Seed,200.0,200.0,,19,2025-05-13T00:51:00.000+05:00,2025-05-13
208,2021,application,4262,39,,Seed,0.0,0.4231,,34,2021-05-07T03:13:00.000+05:00,2021-05-07
208,2021,application,4262,28,,Seed,0.0,0.4231,,34,2021-05-07T03:13:00.000+05:00,2021-05-07
208,2021,application,4262,26,,Seed,0.42,0.4231,,34,2021-05-07T03:13:00.000+05:00,2021-05-07
208,2022,application,8057,37,,Seed,0.0,220.0,,19,2022-05-19T09:28:00.000+05:00,2022-05-24
208,2022,application,8057,49,,Seed,168.3,0.0,,19,2022-05-19T09:28:00.000+05:00,2022-05-24
208,2022,application,8057,51,,Seed,0.0,0.0,,19,2022-05-19T09:28:00.000+05:00,2022-05-24
208,2022,application,8057,50,,Seed,0.0,0.0,,19,2022-05-19T09:28:00.000+05:00,2022-05-24
208,2023,application,11756,93,,Seed,0.0,0.0,,19,2023-05-24T12:40:00.000+05:00,2023-05-25
208,2023,application,11756,36,,Seed,0.0,0.0,,19,2023-05-24T12:40:00.000+05:00,2023-05-25
208,2023,application,11756,94,,Seed,0.0,0.0,,19,2023-05-24T12:40:00.000+05:00,2023-05-25
208,2023,application,11756,95,,Seed,138.91846153846154,0.0,,19,2023-05-24T12:40:00.000+05:00,2023-05-25
208,2023,application,11756,62,,Seed,0.0,0.0,,19,2023-05-24T12:40:00.000+05:00,2023-05-25
208,2023,application,11756,49,,Seed,0.0,0.0,,19,2023-05-24T12:40:00.000+05:00,2023-05-25
208,2024,application,27299,83,,Seed,0.0,0.30926275992307695,,32,2024-05-05T06:43:00.000+05:00,2024-05-06
208,2024,application,27299,109,,Seed,0.0,0.019281663538461537,,32,2024-05-05T06:43:00.000+05:00,2024-05-06
208,2024,application,27299,161,,Seed,0.0,0.03780718338461538,,34,2024-05-05T06:43:00.000+05:00,2024-05-06
208,2024,application,27299,162,,Seed,0.0,0.026843100153846156,,34,2024-05-05T06:43:00.000+05:00,2024-05-06
208,2025,application,33140,200,,Seed,205.0,205.0,,19,2025-05-18T15:40:00.000+05:00,2025-05-20
209,2021,application,4263,39,,Seed,0.0,0.4231,,34,2021-05-08T09:14:00.000+05:00,2021-05-08
209,2021,application,4263,28,,Seed,0.43000000000000005,0.4231,,34,2021-05-08T09:14:00.000+05:00,2021-05-08
209,2021,application,4263,26,,Seed,0.0,0.4231,,34,2021-05-08T09:14:00.000+05:00,2021-05-08
209,2022,application,8058,37,,Seed,0.0,220.0,,19,2022-05-17T12:02:00.000+05:00,2022-05-19
209,2022,application,8058,49,,Seed,0.0,0.0,,19,2022-05-17T12:02:00.000+05:00,2022-05-19
209,2022,application,8058,51,,Seed,0.0,0.0,,19,2022-05-17T12:02:00.000+05:00,2022-05-19
209,2022,application,8058,50,,Seed,216.10000000000002,0.0,,19,2022-05-17T12:02:00.000+05:00,2022-05-19
209,2023,application,11017,60,,Seed,0.0,230.0,,19,2022-09-05T17:47:00.000+05:00,2022-09-08
