dataset_name,features_set,model_type,n_features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_mape_mean,cv_mape_std,train_r2,train_rmse,train_mae,train_mape
base_with_ndvi,no_ndvi,no_ndvi,22,-0.3218748584800271,0.6693000153609344,7.155144712131744,0.9483792923782648,5.29117422477363,0.6190654549498753,24.59642500329493,5.385504863837958,0.621219261782751,4.725867855077875,2.953436377819856,15.518662888831331
base_with_ndvi,no_ndvi,no_ndvi_no_leak,20,-0.526529737283228,0.9318519963127484,7.607334933112813,1.3226632377817458,5.615574062681608,0.9098369772700442,25.66536701135803,6.206586611974225,0.6208920634642348,4.727908563690517,2.976050155781473,15.595648452668124
base_with_ndvi,ndvi_only,ndvi_only,6,-0.1923557765164061,0.3930781301732491,6.998461035100535,1.2557979167952271,5.214018168329575,0.8671618511130752,23.06855661277246,3.1404706769797603,0.9712466870093373,1.302061736558005,1.012585589133162,4.719798819597207
base_with_ndvi,all,all,28,0.0693500217689026,0.3374891454539735,6.090700595514042,0.7841501225673647,4.47192316014598,0.4569872729749812,20.26166141069644,4.064338248610402,0.9854417758637568,0.9264923364236106,0.6830511437852274,3.208361338332814
base_with_ndvi,all,all_no_leak,26,0.0857174746946174,0.2996704041669337,6.083580549398524,0.7911373443236572,4.480074783325904,0.4603066427233555,20.174903338663512,3.6532586387410126,0.9820903512662652,1.0276167264846126,0.7743520407950026,3.664039392640751
ndvi_only_extended,no_ndvi,no_ndvi,62,-1.1941538297900385,1.4268228882755516,9.039392478927448,1.385487486146821,6.999490221370209,0.8728883438340366,32.77710453255109,10.242468219034524,0.9626869728405836,1.4930828446036075,1.12509986826286,5.411417844423413
ndvi_only_extended,no_ndvi,no_ndvi_no_leak,62,-1.1941538297900385,1.4268228882755516,9.039392478927448,1.385487486146821,6.999490221370209,0.8728883438340366,32.77710453255109,10.242468219034524,0.9626869728405836,1.4930828446036075,1.12509986826286,5.411417844423413
ndvi_only_extended,ndvi_only,ndvi_only,22,-0.1627986144608251,0.4298399766419086,6.965578998985625,1.4452225747089111,5.213545410984555,0.837180452740259,23.49671332105021,4.93951025196308,0.985280957301544,0.9377637612429524,0.7374913976026253,3.3884638437241543
ndvi_only_extended,all,all,84,0.2379285480004496,0.374888191618533,5.547057418585047,0.9748255535054106,4.057012621248793,0.6062662705367661,18.02735188375771,4.383266577227704,0.9951789080771892,0.5366935419625418,0.4183938819346542,1.9209279450458423
ndvi_only_extended,all,all_no_leak,84,0.2379285480004496,0.374888191618533,5.547057418585047,0.9748255535054106,4.057012621248793,0.6062662705367661,18.02735188375771,4.383266577227704,0.9951789080771892,0.5366935419625418,0.4183938819346542,1.9209279450458423
ops_ndvi_2021_2025,no_ndvi,no_ndvi,51,-1.7785333784408324,2.2886517076702355,8.337242193484851,2.829574746470826,6.575618924775512,2.198874131777863,23.219456453949963,12.144299743003964,0.9995655789622254,0.1622399117467748,0.1251114520163502,0.431962605230562
ops_ndvi_2021_2025,no_ndvi,no_ndvi_no_leak,49,-4.339651190658275,4.516067146302195,10.831579713794891,2.888908637895844,8.752453569245812,2.6354896744669443,31.28311925088565,16.681924704210317,0.9991969883056508,0.2205785167515518,0.1684750199026863,0.5781522937975506
ops_ndvi_2021_2025,ndvi_only,ndvi_only,22,-0.4299673879730002,0.7588604008846207,6.087608939656237,1.163967552214064,4.613721589577089,0.601288026241365,15.851442098044895,3.1268426266954346,0.999836707924808,0.0994683310694362,0.0768615674263834,0.2683716140842693
ops_ndvi_2021_2025,all,all,73,-1.1126576542454116,1.1928124316648057,7.329894528485648,1.6215566061681288,5.569227285132046,1.0807606303501014,19.569658903811256,7.013325996643653,0.999915658060096,0.0714865058477688,0.0558451604015221,0.1963996139654057
ops_ndvi_2021_2025,all,all_no_leak,71,-1.6157134288651758,1.6608311018429824,8.017077008475827,1.520941112445006,6.17104399635654,1.1877738863886889,21.57263308312623,9.158994904571042,0.999958446094924,0.050177405156803,0.0398696851533542,0.1417908345139379
full_extended,no_ndvi,no_ndvi,47,-1.1136639314959171,1.1267387337515664,9.006584117533349,1.053459142639535,6.947989959103031,0.6726515885020444,32.45187316696335,9.587847676198344,0.9626103393496948,1.4946153048527937,1.1285489635535575,5.423195171145202
full_extended,no_ndvi,no_ndvi_no_leak,47,-1.1136639314959171,1.1267387337515664,9.006584117533349,1.053459142639535,6.947989959103031,0.6726515885020444,32.45187316696335,9.587847676198344,0.9626103393496948,1.4946153048527937,1.1285489635535575,5.423195171145202
full_extended,ndvi_only,ndvi_only,22,-0.1627986144608251,0.4298399766419086,6.965578998985625,1.4452225747089111,5.213545410984555,0.837180452740259,23.49671332105021,4.93951025196308,0.985280957301544,0.9377637612429524,0.7374913976026253,3.3884638437241543
full_extended,all,all,69,0.2497370693871371,0.3654810080955291,5.489780586508495,0.8900777613201625,3.9584358462425135,0.5035490874333345,17.68653911599592,4.103370004577437,0.994961120160447,0.5486819385421482,0.4371026335440469,1.999559517911768
full_extended,all,all_no_leak,69,0.2497370693871371,0.3654810080955291,5.489780586508495,0.8900777613201625,3.9584358462425135,0.5035490874333345,17.68653911599592,4.103370004577437,0.994961120160447,0.5486819385421482,0.4371026335440469,1.999559517911768
full_extended_cropwindow_v1,no_ndvi,no_ndvi,31,-0.3499210000485239,0.4248592653610691,7.645165517046112,1.6984818414278209,5.646078223711218,1.1697029712686031,24.856853386546472,3.3364231753694407,0.9316336693008792,2.02103948817589,1.3966857715742529,6.851844106721465
