field_id,year,y_true,y_model_oof,field_name_fields,y_cropwise_pred,field_name_cropwise
211,2022,34.704,27.05095484943252,козлов ув.пр(низ) 05-080-025-208,34.704,козлов ув.пр(низ) 05-080-025-208
212,2010,25.729,19.2410674693885,костенькина стрелка,,
212,2011,21.887,25.343984904752396,костенькина стрелка,,
212,2012,24.481,26.087493051623092,костенькина стрелка,,
212,2013,21.99,21.397649405126582,костенькина стрелка,,
212,2014,24.5,23.335599095538512,костенькина стрелка,,
212,2015,16.854,21.722899394715764,костенькина стрелка,,
212,2016,27.669,19.544619562086112,костенькина стрелка,,
212,2017,16.862,20.29010747032537,костенькина стрелка,,
212,2018,13.272,18.51803147282332,костенькина стрелка,13.272,костенькина стрелка
212,2019,24.78,25.526168870887517,костенькина стрелка,24.78,костенькина стрелка
212,2020,13.132,16.006781813969535,костенькина стрелка,13.132,костенькина стрелка
212,2021,32.197,26.8427463137513,костенькина стрелка,32.197,костенькина стрелка
212,2022,30.777,28.41970680685611,костенькина стрелка,30.777,костенькина стрелка
212,2023,16.78,15.758069752986124,костенькина стрелка,16.78,костенькина стрелка
212,2024,31.718,28.037266015443173,костенькина стрелка,31.718,костенькина стрелка
212,2025,28.967,27.693504756264723,костенькина стрелка,28.967,костенькина стрелка
213,2010,21.619,20.332927625330548,лесополосы (козлов увал левый) 05-080-025-182,,
213,2011,19.84,24.853747421821723,лесополосы (козлов увал левый) 05-080-025-182,,
213,2012,16.418,20.09931373532951,лесополосы (козлов увал левый) 05-080-025-182,,
213,2013,20.484,23.635447821779614,лесополосы (козлов увал левый) 05-080-025-182,,
213,2014,24.244,24.38972070905184,лесополосы (козлов увал левый) 05-080-025-182,,
213,2015,21.305,23.497570271221843,лесополосы (козлов увал левый) 05-080-025-182,,
213,2016,24.174,18.66717710133055,лесополосы (козлов увал левый) 05-080-025-182,,
213,2017,24.459,19.40030596093766,лесополосы (козлов увал левый) 05-080-025-182,,
213,2018,26.765,24.497436312249548,лесополосы (козлов увал левый) 05-080-025-182,26.765,лесополосы (козлов увал левый) 05-080-025-182
213,2019,19.759,19.224844841819507,лесополосы (козлов увал левый) 05-080-025-182,19.759,лесополосы (козлов увал левый) 05-080-025-182
213,2020,15.964,18.531949007599533,лесополосы (козлов увал левый) 05-080-025-182,15.964,лесополосы (козлов увал левый) 05-080-025-182
213,2021,33.956,27.560284805319988,лесополосы (козлов увал левый) 05-080-025-182,33.956,лесополосы (козлов увал левый) 05-080-025-182
213,2022,23.059,26.59170085610959,лесополосы (козлов увал левый) 05-080-025-182,23.059,лесополосы (козлов увал левый) 05-080-025-182
213,2023,16.769,19.76109875311641,лесополосы (козлов увал левый) 05-080-025-182,16.769,лесополосы (козлов увал левый) 05-080-025-182
213,2025,30.796,35.8047778347781,лесополосы (козлов увал левый) 05-080-025-182,30.796,лесополосы (козлов увал левый) 05-080-025-182
