field_id,year,crop_id,target_yield_t_ha,model_pred_oof_t_ha,model_pred_train_t_ha
195,2010,40.0,17.763,19.074826643219815,19.26866575224543
195,2011,40.0,16.394,17.45347265702409,15.962001068203925
195,2012,40.0,20.692,22.852633053665144,21.360791036377268
195,2013,40.0,19.425,16.582265045002348,18.762099367231905
195,2014,40.0,27.474,22.13804303695137,27.040236239312954
195,2015,40.0,8.484,12.380799576102175,8.845856824022373
195,2016,40.0,23.569,20.351775904923574,23.83251340306733
195,2017,40.0,16.511,19.365994096226572,16.94246070422104
195,2018,40.0,29.441,30.21884048297907,29.385402540824757
195,2024,40.0,33.274,29.53555684261788,32.902099973328745
197,2010,40.0,22.141,17.726061201266706,20.47859232825742
197,2011,40.0,21.288,23.059163625388177,21.80327364789945
197,2012,40.0,15.663,20.031132416602837,16.6230330931374
197,2013,40.0,16.961,23.19757118281034,19.105089063317568
197,2014,40.0,22.187,20.400460104436554,22.284068548243873
197,2015,40.0,20.006,20.2166098022608,19.367200413256466
197,2016,40.0,24.004,21.651393590318875,23.773298119021344
197,2017,40.0,18.136,25.127945141784473,18.9287446636437
197,2018,40.0,30.602,30.345892046968064,29.420031964837754
197,2024,40.0,32.481,30.345693142223798,32.677939781880774
207,2010,40.0,21.087,17.66370437597316,20.604877723023957
207,2011,40.0,17.486,19.982729819832038,17.836850073567096
207,2012,40.0,20.149,20.518339136030047,18.61012098022119
207,2013,40.0,22.497,21.628192156670675,22.73411383975404
207,2014,40.0,22.424,20.200944496439522,22.769642358575954
207,2015,40.0,17.668,16.158881007442982,16.54044975824643
207,2016,40.0,19.816,15.978738786408398,19.41344892411759
207,2017,40.0,15.516,19.018707705678384,16.285426513658443
207,2018,40.0,22.995,31.22842158447388,25.88857298990411
207,2024,40.0,30.323,28.62229670349736,29.89208404000882
208,2010,40.0,24.501,20.469211635724676,23.545922928541195
208,2011,40.0,23.01,27.887612272490962,23.688610618754467
208,2012,40.0,20.003,24.256135009898728,20.499938274462444
208,2013,40.0,27.517,25.82265162302217,27.20857759118673
208,2014,40.0,29.195,20.845224162933825,27.847007769334603
208,2015,40.0,14.288,13.427288018365035,13.081128173753386
208,2016,40.0,21.872,22.057207679161433,23.149598628450978
208,2017,40.0,20.779,25.90309533767439,21.780161419500985
208,2018,40.0,16.354,20.55114750637495,16.424882827377367
208,2019,40.0,21.162,25.179886402832434,22.11207401622059
208,2021,40.0,30.769,25.11139908688275,29.99144888379627
208,2024,40.0,28.781,28.541682983122843,28.710275780004604
209,2010,40.0,20.058,18.359537645768285,19.803945140470613
209,2011,40.0,21.288,25.01917966897714,21.97144800822529
209,2012,40.0,21.412,22.51905128208299,21.15588949331229
209,2013,40.0,17.872,18.9796606361215,18.29732001730645
209,2014,40.0,27.874,19.477371346896437,25.736937326089585
209,2015,40.0,19.986,24.85941432856846,20.66173874101787
209,2016,40.0,25.161,22.536675860551984,25.24041327645298
209,2018,40.0,23.351,26.152264566727816,24.27738040683216
209,2021,40.0,23.811,22.92752028590756,24.138367155073016
209,2025,40.0,30.953,28.11701622563391,30.011351132948686
210,2010,40.0,24.812,22.10061751933974,23.824132700070873
210,2011,40.0,23.706,24.543896380682494,22.919342839046976
210,2012,40.0,18.137,18.525986048840398,17.72387370178068
210,2013,40.0,19.414,25.53867826563737,20.731340772898044
210,2014,40.0,29.256,26.17432418694955,29.559323077703514
210,2015,40.0,24.408,25.527540911446135,24.19554363059013
210,2016,40.0,28.707,20.415350342126338,27.59692277166191
210,2019,40.0,24.037,28.363576431587028,24.367541163706882
210,2021,40.0,29.186,26.106805951795117,29.466178909262016
210,2025,40.0,26.162,28.562418217153244,27.648046421860496
211,2019,40.0,23.18,24.562505074310113,23.12166084285128
211,2021,40.0,29.907,24.825721662096864,29.132332321725272
212,2010,40.0,25.729,22.625540568670836,24.61207879756152
212,2011,40.0,21.887,25.66876611790019,23.800457005206543
212,2012,40.0,24.481,24.567871987380975,24.363977632849494
212,2013,40.0,21.99,20.529007403309507,21.627399162046554
212,2014,40.0,24.5,22.394274980737727,25.565340807854696
212,2015,40.0,16.854,21.039643282595566,17.71570441984218
212,2016,40.0,27.669,18.237351630821927,25.63312389093654
212,2017,40.0,16.862,19.28951389831619,17.54341117399745
212,2018,40.0,13.272,17.11458790473546,14.228786286415442
212,2019,40.0,24.78,26.48250687965812,23.542736608513607
212,2021,40.0,32.197,27.53348552169932,30.951412677702816
212,2024,40.0,31.718,29.302140539948514,31.027584850928566
213,2010,40.0,21.619,20.395523546288505,21.392993580296956
213,2011,40.0,19.84,22.741310963375337,19.853111589947666
213,2012,40.0,16.418,21.14283292211123,17.912044602144103
213,2013,40.0,20.484,22.143965181612163,20.475964813688122
213,2014,40.0,24.244,22.521455001291166,25.00175302977604
213,2015,40.0,21.305,25.31100281892321,21.902021258763327
213,2016,40.0,24.174,19.16250405445497,24.192754126953133
213,2017,40.0,24.459,19.847885847974258,23.53152796182975
213,2018,40.0,26.765,23.256688476356633,25.35801884130155
213,2022,40.0,23.059,25.713076396242666,23.502172483677626
214,2010,40.0,19.55,19.984944226973255,21.148361159600903
214,2011,40.0,20.53,22.24020509325745,20.284366579863793
214,2012,40.0,16.657,20.622448714623008,17.366542627760868
214,2013,40.0,20.64,23.156951270840704,21.24261670563245
214,2014,40.0,26.513,21.862657335529203,26.216261622222596
214,2015,40.0,22.145,25.21583360643598,22.198290824157656
214,2016,40.0,23.114,16.756080211111037,22.49835847675487
214,2017,40.0,24.927,19.671184932915985,23.850545950523102
214,2018,40.0,26.65,23.744453693238082,25.183531395288878
214,2019,40.0,21.573,24.892895095110546,22.119133058445875
214,2022,40.0,23.271,25.535993377802964,23.344030728596287
215,2010,40.0,25.285,19.876550288060137,24.02548278817276
215,2011,40.0,22.013,23.838870036542563,22.615801438922986
215,2012,40.0,19.233,19.455530048600398,17.820117173090235
215,2013,40.0,11.653,14.485280487038708,12.319783468333826
215,2014,40.0,26.138,21.67844427078479,25.04103756111403
215,2015,40.0,14.253,12.866892281091358,13.801772210274686
215,2016,40.0,19.726,22.34597775374376,21.931125595778706
215,2018,40.0,23.53,24.192429765159318,23.697939347797167
215,2019,40.0,21.773,26.635317756146286,22.44797801212328
215,2021,40.0,26.547,22.847643948386956,25.707805776974677
215,2025,40.0,25.924,25.527593584309184,26.94610772115113
216,2010,40.0,28.838,24.86395430352159,28.68597538935823
216,2011,40.0,24.407,25.230518923296056,24.734904396072068
216,2012,40.0,24.394,23.372068142282707,24.16935922886292
216,2013,40.0,24.091,26.458481473036905,24.351271704591007
216,2014,40.0,29.909,23.747674671180768,29.26387362746377
216,2015,40.0,27.174,24.23150146295712,25.928945066753126
216,2016,40.0,26.756,22.968791850221827,26.449095029789447
216,2018,40.0,21.175,27.1465527952686,22.798958588927263
216,2019,40.0,21.598,27.51818468587965,22.870951795171273
216,2021,40.0,26.041,22.823116595758954,26.1518691196975
216,2025,40.0,28.421,28.390175019456343,28.49838250561313
217,2010,40.0,20.382,22.958758728430908,21.132602606081807
217,2011,40.0,24.75,23.823284105033807,24.518023242607093
217,2012,40.0,16.152,19.142202828790563,15.761637865563772
217,2013,40.0,22.975,19.516485468467746,21.247427963704734
217,2014,40.0,30.689,24.7764725087785,30.44163847718082
217,2015,40.0,12.51,14.745831945243372,12.667561669956088
217,2016,40.0,22.364,21.66134883006082,23.54272412226932
217,2018,40.0,11.881,17.665236544541308,12.326501247316717
217,2019,40.0,21.411,27.159756742749778,22.389516992007266
217,2021,40.0,31.133,26.985246124370324,31.294371647177854
217,2024,40.0,33.542,29.421201938705984,32.99644925323021
218,2010,40.0,24.997,21.945287426319055,24.107443434581864
218,2011,40.0,16.986,18.94963589617466,17.14919653299106
218,2012,40.0,18.592,19.99828329875135,18.640503306900605
218,2013,40.0,13.76,15.538225186377737,13.71380076761692
218,2014,40.0,21.887,18.481618562142323,20.817122391469706
218,2015,40.0,18.712,18.17532784538652,18.23059078102288
218,2016,40.0,14.839,13.96609824610448,15.710608246894875
218,2017,40.0,12.974,20.593182797007685,15.053405225128232
218,2018,40.0,16.403,14.953799163550322,15.672422104574673
218,2019,40.0,17.299,23.14237590942229,18.896989054203363
218,2021,40.0,25.34,24.36587485082579,25.091671474175442
219,2010,40.0,24.063,19.776827823415267,23.72204439924401
219,2011,40.0,20.567,22.338296036250757,20.734580391151354
219,2012,40.0,18.639,22.20725231980137,18.894034404359335
219,2013,40.0,17.676,22.19548915862286,19.42506290397744
219,2014,40.0,23.038,23.526783730245732,23.587246500554503
219,2015,40.0,25.288,25.712971775446885,24.670677013027863
219,2016,40.0,22.132,19.094028545564374,21.2760824624844
219,2018,40.0,18.597,20.250363255588816,18.37077441155404
219,2019,40.0,21.936,27.672490374335396,22.683483939975883
219,2021,40.0,32.401,26.780126039085474,31.807424466714185
219,2023,40.0,26.039,15.931650853068271,24.63201018099182
220,2010,40.0,19.949,21.921139785593073,21.77991683100233
220,2011,40.0,24.819,19.312204657188328,23.259747265754715
220,2012,40.0,17.906,20.085243255566525,18.40772586896941
220,2013,40.0,18.199,20.219228070848118,18.20276550208888
220,2014,40.0,20.431,21.89922584504497,20.89581483172049
220,2015,40.0,23.007,23.0835502046939,21.945554350533286
220,2016,40.0,27.921,20.950707573072513,27.199509022234338
220,2018,40.0,19.641,20.202125209922137,19.61506020086494
220,2019,40.0,22.518,26.441197671202982,22.90680858878533
220,2021,40.0,25.487,26.458432396209492,26.762662928180603
221,2019,40.0,28.217,26.769589486610617,26.173432228306016
221,2021,40.0,27.167,23.957031243132,26.846615433781448
222,2010,40.0,24.025,19.64924187428281,23.34067544581357
222,2011,40.0,22.814,25.006159197784736,23.315386417093144
222,2012,40.0,13.562,19.359255767552145,14.79901044216907
222,2013,40.0,11.753,12.470196280261035,11.977605807320694
222,2014,40.0,23.248,25.273653941456786,24.02748163240809
222,2015,40.0,19.893,19.612733949716787,19.981431951329462
222,2016,40.0,16.724,18.959406936440466,17.439638746290157
222,2018,40.0,20.337,16.26371109787805,18.754008207672992
222,2019,40.0,25.605,23.207808952113673,23.30858715842856
222,2021,40.0,27.129,25.73056713909218,27.701593050000792
222,2025,40.0,29.642,26.06242449376073,29.385180572971095
223,2010,40.0,28.213,24.701518582801853,27.623805537607893
223,2011,40.0,29.624,22.03444341257017,26.845489827725974
223,2012,40.0,13.923,23.337579205444076,16.58626967970791
223,2013,40.0,14.59,15.947168225436274,14.51146887769616
223,2014,40.0,24.033,24.271343358689474,23.956015534289094
223,2015,40.0,14.01,19.696081308606214,15.89256382070139
223,2016,40.0,21.369,22.17209700503802,20.89656417622776
223,2018,40.0,15.562,13.642282846610689,14.771220839823084
223,2019,40.0,24.601,24.58069620172306,23.941300762903552
223,2021,40.0,26.7,24.640303506702278,27.340952469265538
223,2025,40.0,27.165,28.254714197586164,28.144676890447194
224,2010,40.0,27.485,24.476108358034782,28.199169874971442
224,2011,40.0,22.157,25.517676567169314,22.760041975469143
224,2012,40.0,28.529,23.380978245585755,25.795442765306724
224,2013,40.0,24.626,25.191825981600797,24.17217002737382
224,2014,40.0,26.593,21.722904468366572,27.421794993697723
224,2015,40.0,19.421,21.904615154829862,19.774351576488414
224,2016,40.0,27.308,24.15480212941847,26.6002021808683
224,2018,40.0,21.925,22.616589084563497,21.705967011244347
224,2019,40.0,23.3,28.032658202019082,23.948702874554495
224,2021,40.0,24.671,24.71859432640569,25.903851835817406
224,2025,40.0,29.077,25.547362391311985,28.717210199559837
225,2019,40.0,19.401,25.417186182109692,21.35142950990604
225,2021,40.0,21.724,21.802478445063105,21.345183957872408
226,2010,40.0,20.662,18.632899552444414,20.36091882393903
226,2011,40.0,25.954,24.20405169018043,26.14131788289972
226,2012,40.0,13.478,18.588104779847832,14.723654690799851
226,2013,40.0,18.177,19.24816739012584,17.935295043401943
226,2014,40.0,22.283,22.71286683735845,22.779801476426478
226,2015,40.0,18.338,25.212787750283226,20.677866247295768
226,2016,40.0,27.698,20.603486278557547,26.658227341898986
226,2017,40.0,26.29,24.366420455751534,25.14034686881965
226,2018,40.0,20.143,24.658666662942057,21.349068306621547
226,2019,40.0,23.403,26.672776760914857,23.26494798454577
226,2021,40.0,27.516,24.49323917011952,27.22265648580327
226,2025,40.0,32.845,25.30620571634258,31.16985108438721
227,2010,40.0,27.361,19.486893295328493,25.553438561987004
227,2011,40.0,17.692,23.565725441531654,18.87972832489687
227,2012,40.0,16.476,17.211813092146247,16.470598967797912
227,2013,40.0,20.165,22.81647945489409,19.824719083812184
227,2014,40.0,24.01,19.93882726851303,23.10528773046233
227,2015,40.0,16.342,18.4228260159223,17.106158722074515
227,2016,40.0,18.933,17.811367250273246,18.529622184877265
227,2017,40.0,17.968,23.34342159085405,18.721977402483837
227,2018,40.0,24.438,26.36718062543107,24.79799597183784
227,2023,40.0,25.029,19.478022086229206,24.945355067944895
228,2010,40.0,23.478,20.102234395939153,23.67548086466201
228,2011,40.0,18.424,23.267348457573323,19.87256841212091
228,2012,40.0,11.162,15.57379352876711,10.880804876424337
228,2013,40.0,24.112,22.199470143895898,22.08969703312959
228,2014,40.0,30.21,20.482235205075973,28.996575662615374
228,2015,40.0,16.277,17.60340137059982,16.286457917152855
228,2016,40.0,15.54,20.003204255808296,16.677794892362986
228,2017,40.0,30.466,26.226340114172427,29.45101702204166
228,2024,40.0,26.042,30.14532949484635,27.456574169560625
229,2010,40.0,14.924,13.583071580650218,15.091628414948023
229,2011,40.0,16.809,14.676494041478914,16.399485100103462
229,2012,40.0,9.024,12.984148300208757,9.880234992238673
229,2013,40.0,18.671,21.30901015120081,19.66929009098505
229,2014,40.0,18.888,16.738337923817426,19.12434230081967
229,2015,40.0,16.917,13.217498507077835,14.801552878777155
229,2016,40.0,15.335,15.902594568590061,15.96759875156555
229,2017,40.0,23.881,20.628007767490654,23.320428710359252
229,2024,40.0,20.838,22.96535436969007,21.22277087632018
230,2010,40.0,25.814,23.05766080848522,25.543602159817123
230,2011,40.0,17.643,23.002354307988266,18.9006441612169
230,2012,40.0,22.159,23.079022232718753,22.360031677308307
230,2013,40.0,28.546,21.95080123946054,25.703856673558157
230,2014,40.0,20.745,22.849707534011674,22.669757396461417
230,2015,40.0,20.985,23.45368978728545,21.220013628338403
230,2016,40.0,21.473,17.324104447522643,20.09752775834972
230,2017,40.0,28.902,31.214967172435923,29.202234911023144
230,2018,40.0,16.839,20.915149616427144,17.97799545800821
230,2022,40.0,31.92,24.412320515179843,30.868876123066666
230,2024,40.0,31.278,28.998580776977718,31.467526706243028
231,2010,40.0,27.244,22.041714864179472,26.172620455962228
231,2011,40.0,16.755,22.61213843811932,17.769767759000132
231,2012,40.0,17.558,19.277910880758185,18.102591991222802
231,2013,40.0,22.302,27.42395861469053,22.61667104867818
231,2014,40.0,26.751,23.447916576504227,26.44668125882587
231,2015,40.0,19.308,21.658529875808668,19.326028219958594
231,2016,40.0,33.901,22.805079457009388,32.44252848219821
231,2023,40.0,22.106,15.096583668151245,22.02001028661619
232,2010,40.0,20.457,22.042631035151793,20.399278451682733
232,2011,40.0,17.736,21.118730038692075,17.799178749798745
232,2012,40.0,23.602,22.138017859610855,22.480489071800868
232,2013,40.0,23.915,21.718824531883115,23.551937105229644
232,2014,40.0,24.254,21.83566683329203,24.873703213025188
232,2015,40.0,13.354,20.06123309253992,14.907717838679112
232,2016,40.0,22.876,21.482539678451502,23.607598973554403
232,2023,40.0,23.085,16.592302800054604,23.630429495043284
233,2010,40.0,29.024,23.353021193973927,27.939756791247206
