subset_tag,dataset_tag,cv_r2_mean,cv_rmse_mean,cv_mape_mean,cv_mae_mean,n_rows,n_features
allcrops,baseline,0.3094385657590929,5.389301388996964,17.907005733826818,3.9630253208367088,441,24
allcrops,phases,0.3724638343349675,5.159808979527757,17.18298974687056,3.755562541633471,441,43
sunflower,baseline,0.32672238126523,3.840407127469941,14.902889076498523,3.1868336650488542,286,24
sunflower,phases,0.2863155115609263,3.966263896733632,15.80187242804672,3.3396035909313704,286,34
wheat,baseline,-0.2283754650400782,4.973239502153307,16.884014028517733,4.156519027191291,67,24
wheat,phases,-0.4963252631532043,5.743856609801138,18.33949393132966,4.787844466910959,67,34
