field_id,year,y_true,cropwise_pred_asof_0701,cropwise_pred_asof_0801,cropwise_pred_asof_0901,cropwise_pred_final
213,2018,26.765,18.18,25.289,23.726,26.765
213,2019,19.759,17.961,19.759,19.759,19.759
213,2020,15.964,22.992,17.556,15.272,15.964
213,2021,33.956,18.895,32.506,31.08,33.956
213,2022,23.059,28.958,25.688,21.202,23.059
213,2023,16.769,19.405,16.769,16.769,16.769
213,2025,30.796,28.26,36.65,30.796,30.796
214,2010,19.55,20.89,21.026,19.641,19.55
214,2011,20.53,28.627,26.215,20.39,20.53
214,2012,16.657,24.436,24.437,16.885,16.657
214,2013,20.64,17.893,21.227,22.219,20.64
214,2014,26.513,29.068,25.549,25.914,26.513
214,2015,22.145,29.969,26.727,20.188,22.145
214,2016,23.114,20.332,18.359,21.849,23.114
214,2017,24.927,26.603,24.169,23.041,24.927
214,2018,26.65,19.807,26.526,25.342,26.65
214,2019,21.573,22.744,20.909,24.151,21.573
214,2020,15.097,21.065,15.097,15.097,15.097
214,2021,28.408,20.593,35.127,31.157,28.408
214,2022,23.271,32.154,26.556,21.227,23.271
214,2023,16.104,17.42,16.104,16.104,16.104
214,2025,30.119,29.945,30.967,30.119,30.119
215,2010,25.285,23.392,22.298,23.498,25.285
215,2011,22.013,29.251,29.675,21.831,22.013
215,2012,19.233,18.66,21.31,17.376,19.233
215,2013,11.653,14.363,16.896,12.308,11.653
215,2014,26.138,27.157,26.323,29.935,26.138
215,2015,14.253,15.446,15.12,15.538,14.253
215,2016,19.726,29.926,31.753,30.113,19.726
215,2017,15.818,15.872,15.818,15.818,15.818
215,2018,23.53,21.935,20.432,21.809,23.53
215,2019,21.773,16.133,18.391,24.76,21.773
215,2020,15.953,14.959,15.953,15.953,15.953
215,2021,26.547,22.252,26.14,26.519,26.547
215,2022,27.345,29.058,26.435,27.345,27.345
215,2023,24.396,21.417,20.213,24.396,24.396
215,2024,42.056,41.199,42.056,42.056,42.056
215,2025,25.924,26.576,27.828,26.681,25.924
216,2010,28.838,19.694,21.123,24.226,28.838
216,2011,24.407,32.94,27.671,26.862,24.407
216,2012,24.394,23.882,24.696,24.66,24.394
216,2013,24.091,24.863,27.868,26.361,24.091
216,2014,29.909,31.316,31.452,28.576,29.909
216,2015,27.174,24.832,32.385,29.849,27.174
216,2016,26.756,29.184,32.46,32.421,26.756
216,2017,16.878,17.74,16.878,16.878,16.878
216,2018,21.175,23.148,24.412,17.873,21.175
216,2019,21.598,24.647,25.018,24.692,21.598
216,2020,21.373,19.066,21.373,21.373,21.373
216,2021,26.041,23.702,26.715,27.872,26.041
216,2022,39.809,37.896,39.165,39.809,39.809
216,2023,25.551,23.16,28.09,25.551,25.551
216,2024,53.586,47.169,53.586,53.586,53.586
216,2025,28.421,28.066,32.991,29.402,28.421
217,2010,20.382,23.553,16.109,15.508,20.382
217,2011,24.75,25.013,27.799,20.961,24.75
217,2012,16.152,24.339,20.207,15.782,16.152
217,2013,22.975,19.207,21.011,26.986,22.975
217,2014,30.689,21.531,28.514,32.065,30.689
217,2015,12.51,15.958,9.95,12.33,12.51
217,2016,22.364,23.868,22.474,19.899,22.364
217,2017,9.526,10.224,9.526,9.526,9.526
217,2018,11.881,24.639,14.774,15.797,11.881
217,2019,21.411,21.968,20.462,24.656,21.411
217,2020,19.61,17.108,19.61,19.61,19.61
217,2021,31.133,20.68,24.75,26.262,31.133
217,2022,34.127,34.24,33.19,36.563,34.127
217,2023,16.278,19.21,19.229,18.331,16.278
217,2024,33.542,29.491,31.949,32.312,33.542
217,2025,27.186,27.976,27.186,27.186,27.186
218,2010,24.997,21.88,29.475,24.08,24.997
218,2011,16.986,21.901,23.306,20.67,16.986
218,2012,18.592,24.981,21.944,17.683,18.592
218,2013,13.76,17.041,11.63,16.618,13.76
218,2014,21.887,21.634,24.846,18.58,21.887
218,2015,18.712,26.21,21.262,19.28,18.712
218,2016,14.839,25.32,18.545,18.156,14.839
218,2017,12.974,18.023,22.161,21.824,12.974
218,2018,16.403,22.761,10.893,14.275,16.403
218,2019,17.299,20.492,20.758,21.517,17.299
218,2020,17.929,21.049,17.929,17.929,17.929
218,2021,25.34,21.287,20.886,26.262,25.34
218,2022,25.543,30.59,26.648,25.543,25.543
218,2023,23.995,21.646,24.768,23.995,23.995
218,2024,34.0,35.061,33.049,34.0,34.0
218,2025,26.461,26.811,26.461,26.461,26.461
219,2010,24.063,15.789,31.9,21.83,24.063
219,2011,20.567,33.576,26.612,20.065,20.567
219,2012,18.639,21.019,24.855,18.359,18.639
219,2013,17.676,19.748,17.06,19.989,17.676
219,2014,23.038,27.345,29.118,21.468,23.038
219,2015,25.288,23.165,27.752,23.476,25.288
219,2016,22.132,24.283,14.098,16.462,22.132
219,2017,30.346,27.313,30.346,30.346,30.346
219,2018,18.597,19.398,14.032,20.729,18.597
219,2019,21.936,18.412,19.478,24.422,21.936
219,2020,11.434,20.603,11.434,11.434,11.434
219,2021,32.401,16.074,28.048,29.821,32.401
219,2022,34.281,30.893,28.246,34.502,34.281
219,2023,26.039,16.792,20.565,24.396,26.039
219,2024,33.588,42.484,42.144,32.952,33.588
219,2025,38.607,29.497,41.021,38.607,38.607
220,2010,19.949,27.261,22.898,22.448,19.949
220,2011,24.819,28.455,27.287,27.767,24.819
220,2012,17.906,23.48,25.617,24.083,17.906
220,2013,18.199,26.532,17.288,14.804,18.199
220,2014,20.431,22.708,17.545,20.184,20.431
220,2015,23.007,31.307,26.416,23.381,23.007
220,2016,27.921,30.426,31.717,31.136,27.921
220,2017,20.171,20.317,20.171,20.171,20.171
220,2018,19.641,29.945,23.354,15.19,19.641
