dataset_name,model_type,depth,l2_leaf_reg,learning_rate,iterations,subsample,min_data_in_leaf,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_mape_mean,cv_mape_std,train_r2,train_rmse,train_mae,train_mape
full_extended,catboost_all_no_leak,3,3,0.05,500,0.8,10,0.2970150952228693,0.26496944268203243,5.472035217448669,1.5169652585291455,4.050237736210195,0.9772846888302797,18.69117474008774,5.517245182059011,0.9073363301730012,2.3529267724090475,1.8635272206491171,8.365321970586479
full_extended,catboost_all_no_leak,3,5,0.05,500,0.8,10,0.3001384718643079,0.26443909577605756,5.471277664102362,1.537225497673428,4.017824587929503,0.9626695700185506,18.418865364138696,5.503865191856002,0.8988432623614198,2.4583916417199436,1.9231407842352364,8.671071775089876
full_extended,catboost_all_no_leak,4,3,0.05,500,0.8,10,0.2452624317058265,0.3064121972778593,5.638134785806349,1.655846104928117,4.154711727173604,1.0657639130526513,19.255504077277077,5.715996156779381,0.9453676668923837,1.8066687691711532,1.4381646525775513,6.460746505818044
full_extended,catboost_all_no_leak,4,5,0.05,500,0.8,10,0.2924710142165333,0.26385736783911423,5.506705001271568,1.586194703823339,4.024095854740547,0.9476651318052722,18.497990960644426,4.726331177372069,0.9259333992196376,2.1036082730957366,1.6529391020816981,7.467009484138476
full_extended,catboost_all_no_leak,5,5,0.05,500,0.8,10,0.2507335083095651,0.2833215264314621,5.64862924292356,1.5671404554162842,4.104554496083066,0.9320955919548919,18.79454722005395,5.3132301662707695,0.953784209094683,1.6616856071223867,1.3321127320345327,6.008967633753776
full_extended,catboost_all_no_leak,5,10,0.05,500,0.8,10,0.24256506494497296,0.26914835476337584,5.715222147951945,1.6243052136551703,4.189213217949426,0.9708528824352215,19.27787237283173,5.5435872640131905,0.9216201488674496,2.1639931440473514,1.7220601877047896,7.825955729313579
