dataset_name,model_type,max_depth,min_samples_leaf,subsample,learning_rate,n_estimators,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_mape_mean,cv_mape_std,train_r2,train_rmse,train_mae,train_mape
full_extended,all_no_leak_gbdt_grid,2,5,0.7,0.1,150,0.3115493098592993,0.27516623473496427,5.353625862552933,1.2272353401603489,4.053765447416585,0.69839149863073,18.76052768710928,5.152020313072636,0.8996734913186526,2.4482824136552344,1.8857341927286138,8.515468449911133
full_extended,all_no_leak_gbdt_grid,2,10,0.8,0.1,150,0.24516159519527472,0.3405216005904434,5.534852674896597,1.3178708440508362,4.224129967482478,0.8209543724660584,19.600313211275335,5.903803955557923,0.88191433265596,2.65614792259468,1.968926825003202,8.863339267579109
full_extended,all_no_leak_gbdt_grid,3,5,0.7,0.1,200,0.3489513535356289,0.2627408406710571,5.216633651569201,1.236170740834245,3.9866769613842195,0.7135098225048792,18.496261869708587,5.1669264518439615,0.971001190473558,1.3162662567895025,1.0186055359189832,4.648716378736877
full_extended,all_no_leak_gbdt_grid,3,10,0.8,0.1,200,0.27670119509039115,0.29690724966063586,5.457484640365171,1.156062423998937,4.071907231057386,0.6029110548330661,18.71582981147501,4.368303820236125,0.9603685858243732,1.5387690699447387,1.1498889168121977,5.1630086290222135
full_extended,all_no_leak_gbdt_grid,2,5,0.7,0.05,250,0.3116621566099197,0.3004148657963704,5.306109692639991,1.3031203104577918,4.009835815257524,0.7625760697259949,18.60978350177312,5.162108055630443,0.886643204922292,2.602420328307218,2.002884462302234,9.11526928040494
full_extended,all_no_leak_gbdt_grid,2,10,0.8,0.05,250,0.25589544304123546,0.3279967418055358,5.49835251437527,1.2554864002318673,4.139957428708243,0.7522749602546344,19.055082180758216,5.603088438941246,0.8704127915960648,2.7824971649781363,2.062384286266227,9.3010260320795
full_extended,all_no_leak_gbdt_grid,3,5,0.7,0.05,300,0.36225135587538315,0.2473945727246961,5.179724677245221,1.2263182292529577,3.8507486589269804,0.6567546367256283,17.678224367017002,4.606330180226821,0.9603675896570091,1.5387884089202446,1.206983777015132,5.414265791536859
full_extended,all_no_leak_gbdt_grid,3,10,0.8,0.05,300,0.34707009736376965,0.2597538424835793,5.2113951068455435,1.1523699574483541,3.8797077893019036,0.6100541930934569,17.83431266996147,4.3987472188276895,0.9424103250783991,1.8549233871179827,1.3833821284693575,6.19784080545709
