dataset_tag,dataset_path,subset_tag,crop_filter,n_rows,n_features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_mape_mean,cv_mape_std,train_r2,train_rmse,train_mae,train_mape,oof_path
baseline,data_processed\ml_dataset_full_extended_cropwindow_v1_may_sep_oct.csv,allcrops,,441,24,0.3094385657590929,0.2680614348729467,5.389301388996964,1.288877931312946,3.9630253208367088,0.6565937999757265,17.907005733826818,3.954954467938977,0.9462472643062885,1.7920657903273443,1.3657611245072077,6.183625942264347,models\oof_phases_baseline_allcrops.csv
phases,data_processed\ml_dataset_full_extended_cropwindow_v1_phases.csv,allcrops,,441,43,0.37246383433496755,0.2443985460201565,5.159808979527757,1.3249173281331603,3.755562541633471,0.6656832699250009,17.18298974687056,4.035111101597395,0.9450665823377713,1.8116403000718733,1.3562501864454215,6.208043952580602,models\oof_phases_phases_allcrops.csv
baseline,data_processed\ml_dataset_full_extended_cropwindow_v1_may_sep_oct.csv,sunflower,sunflower,286,24,0.32672238126523,0.15278863440212487,3.840407127469941,0.3114546162369417,3.1868336650488542,0.20395540676116977,14.902889076498525,1.138195785042209,0.9606849670055124,0.9777671138512192,0.7665865922510425,3.6142335159959327,models\oof_phases_baseline_sunflower.csv
phases,data_processed\ml_dataset_full_extended_cropwindow_v1_phases.csv,sunflower,sunflower,286,34,0.2863155115609263,0.1354953365561948,3.9662638967336314,0.3158719025771272,3.3396035909313704,0.22455385547486256,15.801872428046721,1.6201846675225546,0.9660023140799661,0.9092447092156578,0.7148183355316386,3.4187998856976964,models\oof_phases_phases_sunflower.csv
baseline,data_processed\ml_dataset_full_extended_cropwindow_v1_may_sep_oct.csv,wheat,wheat_spring,67,24,-0.22837546504007822,0.6535415420756165,4.973239502153307,1.9843680465734863,4.156519027191291,1.7675546031711045,16.884014028517733,11.568979487558716,0.9969689620740586,0.4981339946164706,0.36202002975484326,1.4207412409521158,models\oof_phases_baseline_wheat.csv
phases,data_processed\ml_dataset_full_extended_cropwindow_v1_phases.csv,wheat,wheat_spring,67,34,-0.49632526315320435,0.8035027927478458,5.743856609801138,1.5336674142070927,4.787844466910959,1.4549630720133482,18.33949393132966,8.398494343564098,0.9990722812101451,0.2755869648974626,0.20234559089876,0.8289879902699452,models\oof_phases_phases_wheat.csv
