field_id,year,y_true,cropwise_pred_asof_0701,cropwise_pred_asof_0801,cropwise_pred_asof_0901,y_model_oof
210,2024,57.541,56.729,57.541,57.541,29.58949247423709
210,2025,26.162,25.2,23.675,26.427,27.525538626619444
211,2017,18.834,21.353,18.834,18.834,23.02705906584522
211,2019,23.18,18.706,27.584,25.447,25.07053006753369
211,2020,24.044,23.897,24.044,24.044,17.759694570991293
211,2021,29.907,23.226,31.853,29.005,27.83722941847951
211,2022,34.704,37.712,34.704,34.704,27.05095484943252
212,2010,25.729,18.053,22.592,23.442,19.2410674693885
212,2011,21.887,21.433,23.82,23.102,25.343984904752396
212,2012,24.481,18.601,31.334,27.264,26.087493051623092
212,2013,21.99,27.774,26.847,25.546,21.397649405126582
212,2014,24.5,26.302,22.225,26.265,23.335599095538512
212,2015,16.854,18.017,18.347,18.09,21.722899394715764
212,2016,27.669,25.127,22.128,21.242,19.544619562086112
212,2017,16.862,20.044,25.7,23.022,20.29010747032537
212,2018,13.272,17.785,11.896,12.344,18.51803147282332
212,2019,24.78,24.862,21.024,21.277,25.526168870887517
212,2020,13.132,19.136,13.132,13.132,16.006781813969535
212,2021,32.197,21.821,27.846,29.642,26.8427463137513
212,2022,30.777,30.978,34.57,34.025,28.41970680685611
212,2023,16.78,17.012,26.809,20.73,15.758069752986124
212,2024,31.718,25.942,29.494,25.872,28.037266015443173
212,2025,28.967,23.391,28.967,28.967,27.693504756264723
213,2010,21.619,25.839,19.876,17.355,20.332927625330548
213,2011,19.84,29.207,24.335,20.503,24.853747421821723
213,2012,16.418,24.236,24.467,17.174,20.09931373532951
213,2013,20.484,18.847,22.335,20.963,23.635447821779614
213,2014,24.244,31.481,27.354,25.468,24.38972070905184
213,2015,21.305,23.436,24.709,18.489,23.497570271221843
213,2016,24.174,24.988,21.536,21.834,18.66717710133055
213,2017,24.459,23.379,24.356,25.056,19.40030596093766
213,2018,26.765,18.18,25.289,23.726,24.497436312249548
213,2019,19.759,17.961,19.759,19.759,19.224844841819507
213,2020,15.964,22.992,17.556,15.272,18.531949007599533
213,2021,33.956,18.895,32.506,31.08,27.560284805319988
213,2022,23.059,28.958,25.688,21.202,26.59170085610959
213,2023,16.769,19.405,16.769,16.769,19.76109875311641
213,2025,30.796,28.26,36.65,30.796,35.8047778347781
214,2010,19.55,20.89,21.026,19.641,20.264656801512
214,2011,20.53,28.627,26.215,20.39,24.13508137950092
214,2012,16.657,24.436,24.437,16.885,19.62707864400844
214,2013,20.64,17.893,21.227,22.219,23.36963303826821
214,2014,26.513,29.068,25.549,25.914,23.24518558990522
214,2015,22.145,29.969,26.727,20.188,23.97876043828549
214,2016,23.114,20.332,18.359,21.849,17.67887425241223
214,2017,24.927,26.603,24.169,23.041,20.74706668141113
214,2018,26.65,19.807,26.526,25.342,23.50195194312385
214,2019,21.573,22.744,20.909,24.151,24.920827043439644
