asof_tag,n_used,r2,rmse,mape
0701,440,0.323508186516536,6.315662346680095,20.826209079351056
0801,440,0.7335335626301542,3.9637740343584857,12.789295396545294
0901,440,0.9040954827741883,2.3779743313279362,6.880152940210811
final,440,1.0,0.0,0.0
