year,mean_target,n
2010,23.713925925925924,27
2011,21.170925925925925,27
2012,18.340185185185184,27
2013,19.956296296296298,27
2014,24.965296296296295,27
2015,18.78862962962963,27
2016,23.095925925925926,27
2017,20.830166666666667,30
2018,21.97392592592593,27
2019,24.1363,30
2020,18.09155172413793,29
2021,29.958000000000002,30
2022,31.762474366666666,30
2023,21.275346153846154,26
2024,37.726416666666665,24
2025,30.460346153846153,26
