year,mean_target,n
2017,24.906,2
2019,30.252333333333336,3
2020,17.478588235294115,17
2021,31.182000000000002,2
2022,33.496300000000005,20
2023,16.105,5
2024,38.63014285714286,7
2025,30.913181818181815,11
