year,mean_target,n
2010,23.713925925925924,27
2011,21.170925925925925,27
2012,18.340185185185184,27
2013,19.956296296296298,27
2014,24.965296296296295,27
2015,18.78862962962963,27
2016,23.095925925925926,27
2017,21.7122,15
2018,20.938227272727275,22
2019,22.857444444444443,18
2021,27.51329411764706,17
2022,26.083333333333332,3
2023,24.06475,4
2024,29.4839,10
2025,28.773625,8
