scenario,n_total,n_oof,oof_r2,oof_rmse,oof_mae,oof_mape,fold_r2_mean,fold_r2_std,fold_mape_mean,fold_mape_std,n_folds
all_crops,441,252,-0.04878208157589525,1.0902661944947094,0.8148211187857526,35.21733288923253,-0.2397677828848938,0.2693830523171503,35.20360715361731,7.250689338749999,9
sunflower,286,97,0.1525072225787899,0.5828267661218699,0.48233787102291925,21.381845410601656,-1.6947501889171344,2.96518560965298,26.89320607931823,19.648507243432036,8
wheat_combined,106,62,0.10068587742923785,1.0844524268537414,0.8907568829627078,43.74247573441375,-1.111085510262197,1.4113770217285502,48.31860500310159,37.730377089577445,4
