scenario,asof_tag,version_used,model_used,field_id,year,standard_name,target_yield_t_ha,pred,abs_err_ml,cropwise_asof_t_ha,abs_err_cw
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,195,2021,barley_spring,2.022276422764228,1.7848969979196379,0.23737942484458996,3.518,1.495723577235772
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,197,2021,barley_spring,2.5284548104956266,2.433399460259886,0.09505535023574074,3.7068,1.1783451895043733
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,207,2021,barley_spring,3.525020286718961,1.5060014387328464,2.0190188479861146,3.1641,0.36092028671896115
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,208,2021,sunflower,2.1216153846153847,2.4104605353311457,0.288845150715761,2.5939,0.4722846153846154
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,209,2021,sunflower,2.268059008785016,1.439876424220527,0.8281825845644888,2.3401,0.0720409912149842
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,210,2021,sunflower,1.4783400809716598,1.6252351064727364,0.14689502550107658,2.8418,1.3634599190283403
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,211,2021,sunflower,2.1389247311827955,2.1587722399768663,0.019847508794070823,2.9005,0.7615752688172046
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,212,2021,sunflower,3.3983823529411765,1.9695515702865483,1.4288307826546283,2.9642,0.4341823529411766
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,213,2021,wheat_spring,1.3155714285714286,1.6726245141788667,0.3570530856074381,3.1079999999999997,1.792428571428571
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,214,2021,wheat_spring,1.5857777777777775,1.629979338099576,0.04420156032179845,3.1157,1.5299222222222224
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,215,2021,sunflower,2.9865822784810128,2.203375579447779,0.7832066990332338,2.6519,0.33468227848101284
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,216,2021,sunflower,2.925945945945946,1.83314832737816,1.0927976185677861,2.7872,0.13874594594594614
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,217,2021,sunflower,2.768578431372549,2.23910867083622,0.5294697605363292,2.6262,0.14237843137254913
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,218,2021,sunflower,2.12974358974359,1.882338682362236,0.247404907381354,2.6262,0.49645641025640996
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,219,2021,sunflower,2.818952380952381,1.8653672948319218,0.9535850861204593,2.9821,0.16314761904761887
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,220,2021,sunflower,2.0264,2.060552860032029,0.03415286003202889,3.0557,1.0292999999999997
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,221,2021,sunflower,1.7475,1.9578007579576113,0.21030075795761127,2.4777,0.7302
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,222,2021,sunflower,2.9396774193548385,2.2191361575292463,0.7205412618255922,2.7158,0.2238774193548383
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,223,2021,sunflower,2.8625714285714285,2.353329730778041,0.5092416977933873,2.6313,0.23127142857142857
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,224,2021,sunflower,2.0925,2.015788197056316,0.07671180294368396,2.6733000000000002,0.5808000000000004
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,225,2021,sunflower,1.85,2.275528943788052,0.42552894378805206,2.3085,0.4584999999999999
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,226,2021,sunflower,2.4555,2.3489693333015262,0.10653066669847355,2.9791,0.5236000000000001
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,227,2021,wheat_winter,2.8346242774566472,1.9973507073467898,0.8372735701098575,3.5711,0.7364757225433527
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,228,2021,wheat_winter,2.4169491525423727,2.042848916317361,0.3741002362250119,3.7058,1.2888508474576272
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,229,2021,wheat_winter,2.9450000000000003,2.942578133210647,0.0024218667893531887,2.4469000000000003,0.4981
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,230,2021,wheat_winter,2.123766816143498,1.8147712650766343,0.3089955510668636,3.134,1.010233183856502
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,231,2021,wheat_winter,3.5069787234042553,1.9817516048614627,1.5252271185427926,3.4015999999999997,0.10537872340425558
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,232,2021,wheat_winter,3.2479729729729727,2.262215899382762,0.9857570735902108,2.9818000000000002,0.2661729729729725
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,233,2021,wheat_winter,3.6453846153846152,1.9124891294445865,1.7328954859400287,3.4055999999999997,0.23978461538461548
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,234,2021,wheat_winter,5.389142857142858,2.3006315855868005,3.088511271556057,3.8293,1.5598428571428578
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,195,2022,wheat_winter,2.1216260162601626,2.006962536392563,0.11466347986759962,2.4872,0.3655739837398375
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,197,2022,wheat_winter,1.5206997084548106,2.1552546696039787,0.6345549611491681,3.2342,1.7135002915451893
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,207,2022,wheat_winter,1.8862140474258409,2.173790171568993,0.28757612414315226,2.9544,1.0681859525741593
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,208,2022,wheat_spring,2.356923076923077,1.7845441799995263,0.5723788969235506,3.6424999999999996,1.2855769230769227
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,209,2022,wheat_spring,2.657417536880491,1.7748149960567732,0.8826025408237177,3.5056,0.848182463119509
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,210,2022,wheat_spring,3.0655870445344133,1.600569937583691,1.4650171069507223,3.1305,0.06491295546558673
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,212,2022,wheat_spring,3.1773529411764705,1.9669440659812618,1.2104088751952087,3.4025,0.22514705882352937
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,213,2022,sunflower,1.481428571428571,1.6881709116977586,0.20674234026918747,2.1202,0.638771428571429
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,214,2022,sunflower,1.002222222222222,1.6335098065557898,0.6312875843335679,2.1227,1.1204777777777781
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,215,2022,wheat_spring,2.858987341772152,1.9462807530592958,0.912706588712856,2.7344999999999997,0.12448734177215215
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,216,2022,wheat_spring,3.1270270270270273,2.1834844484999407,0.9435425785270866,3.9808999999999997,0.8538729729729724
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,217,2022,wheat_spring,3.063725490196078,1.9731830591882753,1.090542431007803,3.6563000000000003,0.5925745098039221
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,218,2022,wheat_spring,2.1723076923076925,2.014638030239114,0.15766966206857846,2.5543,0.3819923076923075
all_crops,09_01,v17_v12_clean,v17_v12_clean_no_fid,219,2022,wheat_spring,2.827547619047619,1.6396116829339533,1.1879359361136657,3.4502,0.6226523809523812
