Поле,Регион,year,Культура,урожайность факт ц/га,урожайность прогноз ц/га,active,field_name_norm,field_id,name,lat,long,tillable_area,prod_fact_t_ha,prod_forecast_t_ha,standard_name,target_yield_t_ha,target_source,diff_prod_fact_minus_target,abs_diff
Палатьи,ВКО,2021,Подсолнечник,25.95625,25.34,True,палатьи,218,Палатьи,50.39824303171275,82.31658540563066,39.0,2.595625,2.534,sunflower,2.12974358974359,physical_harvested_weight,0.46588141025641017,0.46588141025641017
Костенькина стрелка,ВКО,2021,Подсолнечник,36.392126,32.197,True,костенькина стрелка,212,Костенькина стрелка,50.42075375796417,82.34016151551197,136.0,3.6392125999999996,3.2197000000000005,sunflower,3.3983823529411765,physical_harvested_weight,0.24083024705882305,0.24083024705882305
Бригадная стрелка,ВКО,2023,Пшеница яровая,11.861413,15.378,True,бригадная стрелка,230,Бригадная стрелка,50.395122511500006,82.3635248892731,223.0,1.1861413,1.5378,wheat_spring,0.9786995515695068,physical_harvested_weight,0.20744174843049323,0.20744174843049323
Давыдкин увал левый,ВКО,2021,Пшеница озимая,35.988646,34.016,True,давыдкин увал левый,231,Давыдкин увал левый,50.39724834002202,82.47347011020577,235.0,3.5988646,3.4015999999999997,wheat_winter,3.5069787234042553,physical_harvested_weight,0.09188587659574488,0.09188587659574488
Холодный ключ,ВКО,2021,Подсолнечник,21.762,24.671,True,холодный ключ,224,Холодный ключ,50.46114160184362,82.52865210168042,104.0,2.1762,2.4671,sunflower,2.0925,physical_harvested_weight,0.08370000000000033,0.08370000000000033
Овчинников увал,ВКО,2021,Подсолнечник,26.894762,31.133,True,овчинников увал,217,Овчинников увал,50.43109339579996,82.33960413919709,408.0,2.6894762,3.1132999999999997,sunflower,2.768578431372549,physical_harvested_weight,-0.0791022313725489,0.0791022313725489
Казачий увал,ВКО,2021,Ячмень яровой,25.965868,37.068,True,казачий увал,197,Казачий увал,50.43149523573457,82.4485335081973,343.0,2.5965868,3.7068,barley_spring,2.5284548104956266,physical_harvested_weight,0.06813198950437327,0.06813198950437327
Давыдкин увал правый,ВКО,2021,Пшеница озимая,31.834437,29.818,True,давыдкин увал правый,232,Давыдкин увал правый,50.39798984192721,82.45765463681025,296.0,3.1834437,2.9818000000000002,wheat_winter,3.2479729729729727,physical_harvested_weight,-0.0645292729729725,0.0645292729729725
Большая Семёниха СК,ВКО,2021,Пшеница озимая,28.022286,35.711,True,большая семениха ск,227,Большая Семёниха СК,50.367810427378984,82.46565328214737,346.0,2.8022286000000003,3.5711,wheat_winter,2.8346242774566472,physical_harvested_weight,-0.032395677456646954,0.032395677456646954
Александров ключ,ВКО,2021,Ячмень яровой,35.541818,31.641,True,александров ключ,207,Александров ключ,50.41868820400116,82.45505975772673,110.91,3.5541818,3.1641,barley_spring,3.525020286718961,physical_harvested_weight,0.029161513281038776,0.029161513281038776
Александров ключ,ВКО,2024,Подсолнечник,31.327273,30.323,True,александров ключ,207,Александров ключ,50.41868820400116,82.45505975772673,110.91,3.1327273,3.0323,sunflower,3.107023712920386,physical_harvested_weight,0.025703587079613843,0.025703587079613843
Козлов увал правый,ВКО,2022,Пшеница яровая,30.906122,34.1,True,козлов увал правый,210,Козлов увал правый,50.38689148783278,82.39474357476328,247.0,3.0906122,3.41,wheat_spring,3.0655870445344133,physical_harvested_weight,0.02502515546558648,0.02502515546558648
Александров ключ,ВКО,2022,Пшеница озимая,19.018182,29.544,True,александров ключ,207,Александров ключ,50.41868820400116,82.45505975772673,110.91,1.9018182,2.9544,wheat_winter,1.8862140474258409,physical_harvested_weight,0.015604152574159036,0.015604152574159036
