Поле,Регион,year,Культура,урожайность факт ц/га,урожайность прогноз ц/га,active,field_name_norm,field_id,name,lat,long,tillable_area,prod_fact_t_ha,prod_forecast_t_ha,standard_name,target_yield_t_ha,target_source,diff_prod_fact_minus_target,abs_diff
Лесополосы (Козлов увал правый) 05-080-025-208,ВКО,2022,Подсолнечник,10.022222,23.271,True,лесополосы козлов увал правый 05 080 025 208,214,Лесополосы (Козлов увал правый) 05-080-025-208,50.39509947120296,82.40013226517021,9.0,1.0022221999999998,2.3271,sunflower,1.002222222222222,physical_harvested_weight,-2.222222206249569e-08,2.222222206249569e-08
Лоскутиха,ВКО,2021,Подсолнечник,29.865823,26.547,True,лоскутиха,215,Лоскутиха,50.481633621513765,82.55476060472243,79.0,2.9865823,2.6547,sunflower,2.9865822784810128,physical_harvested_weight,2.1518987036728277e-08,2.1518987036728277e-08
Давыдкин увал левый,ВКО,2024,Пшеница яровая,38.06383,36.423,True,давыдкин увал левый,231,Давыдкин увал левый,50.39724834002202,82.47347011020577,235.0,3.8063830000000003,3.6423,wheat_spring,3.806382978723404,physical_harvested_weight,2.1276596484653965e-08,2.1276596484653965e-08
Соколки 1,ВКО,2021,Подсолнечник,29.396774,27.129,True,соколки 1,222,Соколки 1,50.43115826493252,82.3109971881627,62.0,2.9396774,2.7129000000000003,sunflower,2.9396774193548385,physical_harvested_weight,-1.9354838620699866e-08,1.9354838620699866e-08
Подхозный увал 1,ВКО,2022,Пшеница яровая,28.275476,34.281,True,подхозный увал 1,219,Подхозный увал 1,50.39251145179276,82.37944868952283,210.0,2.8275476,3.4280999999999997,wheat_spring,2.827547619047619,physical_harvested_weight,-1.9047619037593222e-08,1.9047619037593222e-08
Подхозный увал 1,ВКО,2021,Подсолнечник,28.189524,32.401,True,подхозный увал 1,219,Подхозный увал 1,50.39251145179276,82.37944868952283,210.0,2.8189523999999997,3.2401000000000004,sunflower,2.818952380952381,physical_harvested_weight,1.9047618593504012e-08,1.9047618593504012e-08
Давыдкин увал левый,ВКО,2023,Подсолнечник,22.995064,22.106,True,давыдкин увал левый,231,Давыдкин увал левый,50.39724834002202,82.47347011020577,235.0,2.2995064,2.2106000000000003,sunflower,2.2995063829787235,physical_harvested_weight,1.7021276388362594e-08,1.7021276388362594e-08
Коновалиха 1,ВКО,2022,Пшеница озимая,21.21626,24.872,True,коновалиха 1,195,Коновалиха 1,50.42198096600295,82.4644614849937,123.0,2.121626,2.4872,wheat_winter,2.1216260162601626,physical_harvested_weight,-1.6260162549741608e-08,1.6260162549741608e-08
Никитушкин,ВКО,2023,Ячмень яровой,26.967838,25.551,True,никитушкин,216,Никитушкин,50.46224047423968,82.54079808685997,37.0,2.6967838,2.5551,barley_spring,2.696783783783784,physical_harvested_weight,1.6216215925624056e-08,1.6216215925624056e-08
Бригадная стрелка,ВКО,2021,Пшеница озимая,21.237668,31.34,True,бригадная стрелка,230,Бригадная стрелка,50.395122511500006,82.3635248892731,223.0,2.1237668,3.134,wheat_winter,2.123766816143498,physical_harvested_weight,-1.6143498093867947e-08,1.6143498093867947e-08
Большая Семёниха СК,ВКО,2024,Ячмень яровой,30.077399,35.776,True,большая семениха ск,227,Большая Семёниха СК,50.367810427378984,82.46565328214737,346.0,3.0077399,3.5776000000000003,barley_spring,3.007739884393064,physical_harvested_weight,1.5606935743761596e-08,1.5606935743761596e-08
Корнеюшкин,ВКО,2021,Пшеница озимая,36.453846,34.056,True,корнеюшкин,233,Корнеюшкин ,50.44722681775452,82.51143174867202,39.0,3.6453846,3.4055999999999997,wheat_winter,3.6453846153846152,physical_harvested_weight,-1.5384615359437248e-08,1.5384615359437248e-08
Карелкино,ВКО,2024,Подсолнечник,23.606154,28.781,True,карелкино,208,Карелкино,50.38399205572653,82.34789025946256,130.0,2.3606154,2.8781,sunflower,2.360615384615385,physical_harvested_weight,1.5384614915348038e-08,1.5384614915348038e-08
Бонн 1,ВКО,2023,Пшеница озимая,15.016949,22.995,True,бонн 1,228,Бонн 1,50.50213709474497,82.49442911808288,59.0,1.5016949,2.2995,wheat_winter,1.5016949152542372,physical_harvested_weight,-1.5254237206718813e-08,1.5254237206718813e-08
Красный яр,ВКО,2023,Пшеница озимая,17.062857,24.153,True,красный яр,234,Красный яр,50.4850059296264,82.525315141417,35.0,1.7062857,2.4153,wheat_winter,1.7062857142857142,physical_harvested_weight,-1.4285714167172614e-08,1.4285714167172614e-08
Соколки 1,ВКО,2022,Пшеница яровая,32.700484,34.904,True,соколки 1,222,Соколки 1,50.43115826493252,82.3109971881627,62.0,3.2700484000000003,3.4904,wheat_spring,3.2700483870967743,physical_harvested_weight,1.2903226043192717e-08,1.2903226043192717e-08
Палатьи,ВКО,2025,Пшеница яровая,41.128205,26.461,True,палатьи,218,Палатьи,50.39824303171275,82.31658540563066,39.0,4.1128205,2.6460999999999997,wheat_spring,4.112820512820513,physical_harvested_weight,-1.2820513539679723e-08,1.2820513539679723e-08
Овчинников увал,ВКО,2022,Пшеница яровая,30.637255,34.127,True,овчинников увал,217,Овчинников увал,50.43109339579996,82.33960413919709,408.0,3.0637255,3.4127,wheat_spring,3.063725490196078,physical_harvested_weight,9.803921674489402e-09,9.803921674489402e-09
Казачий увал,ВКО,2025,Пшеница яровая,37.794169,31.238,True,казачий увал,197,Казачий увал,50.43149523573457,82.4485335081973,343.0,3.7794168999999997,3.1238,wheat_spring,3.779416909620991,physical_harvested_weight,-9.620991114900335e-09,9.620991114900335e-09
Подхозный увал 1,ВКО,2023,Подсолнечник,28.025238,26.039,True,подхозный увал 1,219,Подхозный увал 1,50.39251145179276,82.37944868952283,210.0,2.8025238000000003,2.6039000000000003,sunflower,2.802523809523809,physical_harvested_weight,-9.523808852662796e-09,9.523808852662796e-09
Казачий увал,ВКО,2022,Пшеница озимая,15.206997,32.342,True,казачий увал,197,Казачий увал,50.43149523573457,82.4485335081973,343.0,1.5206997,3.2342,wheat_winter,1.5206997084548106,physical_harvested_weight,-8.454810629388021e-09,8.454810629388021e-09
Овчинников увал,ВКО,2023,Ячмень яровой,20.214804,16.278,True,овчинников увал,217,Овчинников увал,50.43109339579996,82.33960413919709,408.0,2.0214804,1.6278,barley_spring,2.021480392156863,physical_harvested_weight,7.84313725077368e-09,7.84313725077368e-09
Палатьи,ВКО,2022,Пшеница яровая,21.723077,25.543,True,палатьи,218,Палатьи,50.39824303171275,82.31658540563066,39.0,2.1723077,2.5543,wheat_spring,2.1723076923076925,physical_harvested_weight,7.692307679718624e-09,7.692307679718624e-09
Козлов увал правый,ВКО,2025,Подсолнечник,31.925506,26.162,True,козлов увал правый,210,Козлов увал правый,50.38689148783278,82.39474357476328,247.0,3.1925505999999997,2.6162,sunflower,3.192550607287449,physical_harvested_weight,-7.287449310666716e-09,7.287449310666716e-09
Бригадная стрелка,ВКО,2025,Пшеница яровая,36.687444,29.788,True,бригадная стрелка,230,Бригадная стрелка,50.395122511500006,82.3635248892731,223.0,3.6687444,2.9788,wheat_spring,3.6687443946188343,physical_harvested_weight,5.3811657352298425e-09,5.3811657352298425e-09
Коновалиха 1,ВКО,2025,Пшеница яровая,27.195122,28.708,True,коновалиха 1,195,Коновалиха 1,50.42198096600295,82.4644614849937,123.0,2.7195122,2.8708,wheat_spring,2.7195121951219514,physical_harvested_weight,4.8780486316957195e-09,4.8780486316957195e-09
Подхозный увал 1,ВКО,2024,Пшеница яровая,36.718381,33.588,True,подхозный увал 1,219,Подхозный увал 1,50.39251145179276,82.37944868952283,210.0,3.6718381,3.3588,wheat_spring,3.6718380952380953,physical_harvested_weight,4.761904648376003e-09,4.761904648376003e-09
Большая Семёниха СК,ВКО,2023,Подсолнечник,26.015896,25.029,True,большая семениха ск,227,Большая Семёниха СК,50.367810427378984,82.46565328214737,346.0,2.6015896,2.5029,sunflower,2.6015895953757227,physical_harvested_weight,4.62427740544058e-09,4.62427740544058e-09
Коновалиха 1,ВКО,2023,Пшеница озимая,8.904065,18.031,True,коновалиха 1,195,Коновалиха 1,50.42198096600295,82.4644614849937,123.0,0.8904064999999999,1.8031,wheat_winter,0.8904065040650406,physical_harvested_weight,-4.0650407484577045e-09,4.0650407484577045e-09
Овчинников увал,ВКО,2025,Пшеница яровая,25.629902,27.186,True,овчинников увал,217,Овчинников увал,50.43109339579996,82.33960413919709,408.0,2.5629902,2.7186,wheat_spring,2.5629901960784314,physical_harvested_weight,3.921568847431445e-09,3.921568847431445e-09
Давыдкин увал правый,ВКО,2025,Горох,18.102027,24.7,True,давыдкин увал правый,232,Давыдкин увал правый,50.39798984192721,82.45765463681025,296.0,1.8102027,2.4699999999999998,pea,1.8102027027027028,physical_harvested_weight,-2.7027027282855443e-09,2.7027027282855443e-09
Казачий увал,ВКО,2024,Подсолнечник,32.877551,32.481,True,казачий увал,197,Казачий увал,50.43149523573457,82.4485335081973,343.0,3.2877550999999996,3.2481,sunflower,3.2877551020408164,physical_harvested_weight,-2.040816848847271e-09,2.040816848847271e-09
Соколки 1,ВКО,2023,Ячмень яровой,45.005,20.631,True,соколки 1,222,Соколки 1,50.43115826493252,82.3109971881627,62.0,4.500500000000001,2.0631,barley_spring,4.5005,physical_harvested_weight,8.881784197001252e-16,8.881784197001252e-16
Сапог,ВКО,2023,Ячмень яровой,33.7288,25.408,True,сапог,220,Сапог,50.402019209365974,82.33495653415235,25.0,3.37288,2.5408,barley_spring,3.3728800000000003,physical_harvested_weight,-4.440892098500626e-16,4.440892098500626e-16
Сапог,ВКО,2021,Подсолнечник,20.264,25.487,True,сапог,220,Сапог,50.402019209365974,82.33495653415235,25.0,2.0263999999999998,2.5486999999999997,sunflower,2.0264,physical_harvested_weight,-4.440892098500626e-16,4.440892098500626e-16
Бонн 2,ВКО,2021,Пшеница озимая,29.45,24.469,True,бонн 2,229,Бонн 2,50.49670700387077,82.49180236083876,12.0,2.945,2.4469000000000003,wheat_winter,2.9450000000000003,physical_harvested_weight,-4.440892098500626e-16,4.440892098500626e-16
Бонн 2,ВКО,2025,Пшеница яровая,35.05,31.488,True,бонн 2,229,Бонн 2,50.49670700387077,82.49180236083876,12.0,3.505,3.1488,wheat_spring,3.5050000000000003,physical_harvested_weight,-4.440892098500626e-16,4.440892098500626e-16
Соколки 2,ВКО,2019,Подсолнечник,26.51,24.601,True,соколки 2,223,Соколки 2,50.43672170185941,82.32653521086154,70.0,2.6510000000000002,2.4600999999999997,sunflower,2.651,productivity_normalized,4.440892098500626e-16,4.440892098500626e-16
Овчинников увал,ВКО,2019,Подсолнечник,19.62,21.411,True,овчинников увал,217,Овчинников увал,50.43109339579996,82.33960413919709,408.0,1.9620000000000002,2.1411000000000002,sunflower,1.962,productivity_normalized,2.220446049250313e-16,2.220446049250313e-16
Козлов ув.пр(низ) 05-080-025-208,ВКО,2019,Подсолнечник,18.68,23.18,True,козлов ув пр низ 05 080 025 208,211,Козлов ув.пр(низ) 05-080-025-208,50.4147461642427,82.40217837488487,93.0,1.8679999999999999,2.318,sunflower,1.868,productivity_normalized,-2.220446049250313e-16,2.220446049250313e-16
Козлов увал правый,ВКО,2019,Подсолнечник,19.65,24.037,True,козлов увал правый,210,Козлов увал правый,50.38689148783278,82.39474357476328,247.0,1.9649999999999999,2.4036999999999997,sunflower,1.965,productivity_normalized,-2.220446049250313e-16,2.220446049250313e-16
Штаны,ВКО,2022,Пшеница яровая,16.935,29.26,True,штаны,226,Штаны,50.43749405831015,82.51870244982703,40.0,1.6934999999999998,2.926,wheat_spring,1.6934999999999998,physical_harvested_weight,0.0,0.0
Холодный ключ (сенокос) 05-080-025-120,ВКО,2019,Подсолнечник,39.61,19.401,True,холодный ключ сенокос 05 080 025 120,225,Холодный ключ (сенокос) 05-080-025-120,50.47385202982792,82.52928083059038,4.0,3.961,1.9401,sunflower,3.961,productivity_normalized,0.0,0.0
Холодный ключ,ВКО,2020,Пшеница яровая,8.57,17.282,True,холодный ключ,224,Холодный ключ,50.46114160184362,82.52865210168042,104.0,0.857,1.7282,wheat_spring,0.857,productivity_normalized,0.0,0.0
Соколки 1,ВКО,2019,Подсолнечник,26.48,25.605,True,соколки 1,222,Соколки 1,50.43115826493252,82.3109971881627,62.0,2.648,2.5605,sunflower,2.648,productivity_normalized,0.0,0.0
Холодный ключ,ВКО,2019,Подсолнечник,39.61,23.3,True,холодный ключ,224,Холодный ключ,50.46114160184362,82.52865210168042,104.0,3.961,2.33,sunflower,3.961,productivity_normalized,0.0,0.0
Штаны,ВКО,2024,Пшеница озимая,49.315,45.445,True,штаны,226,Штаны,50.43749405831015,82.51870244982703,40.0,4.9315,4.5445,wheat_winter,4.9315,physical_harvested_weight,0.0,0.0
Холодный ключ (сенокос) 05-080-025-120,ВКО,2020,Пшеница яровая,23.35,35.471,True,холодный ключ сенокос 05 080 025 120,225,Холодный ключ (сенокос) 05-080-025-120,50.47385202982792,82.52928083059038,4.0,2.335,3.5470999999999995,wheat_spring,2.335,productivity_normalized,0.0,0.0
Холодный ключ (сенокос) 05-080-025-120,ВКО,2021,Подсолнечник,18.5,21.724,True,холодный ключ сенокос 05 080 025 120,225,Холодный ключ (сенокос) 05-080-025-120,50.47385202982792,82.52928083059038,4.0,1.85,2.1724,sunflower,1.85,physical_harvested_weight,0.0,0.0
Штаны,ВКО,2019,Подсолнечник,29.83,23.403,True,штаны,226,Штаны,50.43749405831015,82.51870244982703,40.0,2.9829999999999997,2.3403,sunflower,2.9829999999999997,productivity_normalized,0.0,0.0
Штаны,ВКО,2021,Подсолнечник,24.555,27.516,True,штаны,226,Штаны,50.43749405831015,82.51870244982703,40.0,2.4555,2.7516,sunflower,2.4555,physical_harvested_weight,0.0,0.0
Александров ключ,ВКО,2018,Подсолнечник,34.96,22.995,True,александров ключ,207,Александров ключ,50.41868820400116,82.45505975772673,110.91,3.496,2.2995,sunflower,3.496,productivity_normalized,0.0,0.0
Сметанина пасека (низ огород) 05-080-025-120,ВКО,2021,Подсолнечник,17.475,27.167,True,сметанина пасека низ огород 05 080 025 120,221,Сметанина пасека (низ огород) 05-080-025-120,50.45758769417813,82.53181450973824,8.0,1.7475,2.7167000000000003,sunflower,1.7475,physical_harvested_weight,0.0,0.0
Карелкино,ВКО,2019,Подсолнечник,21.33,21.162,True,карелкино,208,Карелкино,50.38399205572653,82.34789025946256,130.0,2.133,2.1162,sunflower,2.133,productivity_normalized,0.0,0.0
Большая Семёниха СК,ВКО,2018,Подсолнечник,26.13,24.438,True,большая семениха ск,227,Большая Семёниха СК,50.367810427378984,82.46565328214737,346.0,2.613,2.4438,sunflower,2.613,productivity_normalized,0.0,0.0
Большая Семёниха СК,ВКО,2019,Рапс яровой,11.61,19.179,True,большая семениха ск,227,Большая Семёниха СК,50.367810427378984,82.46565328214737,346.0,1.161,1.9179,oil_seed_raps_spring,1.161,productivity_normalized,0.0,0.0
Бонн 1,ВКО,2018,Кукуруза,33.12,64.855,True,бонн 1,228,Бонн 1,50.50213709474497,82.49442911808288,59.0,3.312,6.4855,maize,3.312,productivity_normalized,0.0,0.0
Бонн 1,ВКО,2019,Соя,14.68,22.165,True,бонн 1,228,Бонн 1,50.50213709474497,82.49442911808288,59.0,1.468,2.2165,soya,1.468,productivity_normalized,0.0,0.0
Бонн 1,ВКО,2020,Пшеница озимая,13.0,20.305,True,бонн 1,228,Бонн 1,50.50213709474497,82.49442911808288,59.0,1.3,2.0305,wheat_winter,1.3,productivity_normalized,0.0,0.0
Бонн 2,ВКО,2018,Кукуруза,33.12,28.837,True,бонн 2,229,Бонн 2,50.49670700387077,82.49180236083876,12.0,3.312,2.8837,maize,3.312,productivity_normalized,0.0,0.0
Бонн 2,ВКО,2019,Соя,14.68,16.983,True,бонн 2,229,Бонн 2,50.49670700387077,82.49180236083876,12.0,1.468,1.6983000000000001,soya,1.468,productivity_normalized,0.0,0.0
Бонн 2,ВКО,2020,Пшеница озимая,32.85,22.21,True,бонн 2,229,Бонн 2,50.49670700387077,82.49180236083876,12.0,3.285,2.221,wheat_winter,3.285,productivity_normalized,0.0,0.0
Бригадная стрелка,ВКО,2019,Пшеница озимая,45.03,39.929,True,бригадная стрелка,230,Бригадная стрелка,50.395122511500006,82.3635248892731,223.0,4.503,3.9929,wheat_winter,4.503,productivity_normalized,0.0,0.0
Давыдкин увал левый,ВКО,2018,Соя,9.3,9.584,True,давыдкин увал левый,231,Давыдкин увал левый,50.39724834002202,82.47347011020577,235.0,0.93,0.9583999999999999,soya,0.93,productivity_normalized,0.0,0.0
Давыдкин увал левый,ВКО,2019,Пшеница озимая,43.03,42.558,True,давыдкин увал левый,231,Давыдкин увал левый,50.39724834002202,82.47347011020577,235.0,4.303,4.2558,wheat_winter,4.303,productivity_normalized,0.0,0.0
Давыдкин увал правый,ВКО,2018,Соя,9.0,12.02,True,давыдкин увал правый,232,Давыдкин увал правый,50.39798984192721,82.45765463681025,296.0,0.9,1.202,soya,0.9,productivity_normalized,0.0,0.0
Давыдкин увал правый,ВКО,2019,Пшеница озимая,34.04,41.161,True,давыдкин увал правый,232,Давыдкин увал правый,50.39798984192721,82.45765463681025,296.0,3.404,4.1161,wheat_winter,3.404,productivity_normalized,0.0,0.0
Козлов Увал левый,ВКО,2018,Подсолнечник,17.4,23.351,True,козлов увал левый,209,Козлов Увал левый,50.38543507681797,82.40410883603022,301.65,1.7399999999999998,2.3350999999999997,sunflower,1.7399999999999998,productivity_normalized,0.0,0.0
Сметанина пасека (низ огород) 05-080-025-120,ВКО,2019,Подсолнечник,19.82,28.217,True,сметанина пасека низ огород 05 080 025 120,221,Сметанина пасека (низ огород) 05-080-025-120,50.45758769417813,82.53181450973824,8.0,1.982,2.8217,sunflower,1.982,productivity_normalized,0.0,0.0
Козлов увал правый,ВКО,2018,Рапс озимый,9.78,17.359,True,козлов увал правый,210,Козлов увал правый,50.38689148783278,82.39474357476328,247.0,0.978,1.7359000000000002,oil_seed_raps_winter,0.978,productivity_normalized,0.0,0.0
Александров ключ,ВКО,2019,Пшеница яровая,35.8,27.728,True,александров ключ,207,Александров ключ,50.41868820400116,82.45505975772673,110.91,3.5799999999999996,2.7728,wheat_spring,3.5799999999999996,productivity_normalized,0.0,0.0
Лесополосы (Козлов увал левый) 05-080-025-182,ВКО,2025,Ячмень яровой,15.3,30.796,True,лесополосы козлов увал левый 05 080 025 182,213,Лесополосы (Козлов увал левый) 05-080-025-182,50.39439495003087,82.4009559934276,14.0,1.53,3.0796,barley_spring,1.53,physical_harvested_weight,0.0,0.0
Лесополосы (Козлов увал правый) 05-080-025-208,ВКО,2025,Ячмень яровой,15.3,30.119,True,лесополосы козлов увал правый 05 080 025 208,214,Лесополосы (Козлов увал правый) 05-080-025-208,50.39509947120296,82.40013226517021,9.0,1.53,3.0119,barley_spring,1.53,physical_harvested_weight,0.0,0.0
Лоскутиха,ВКО,2019,Подсолнечник,16.72,21.773,True,лоскутиха,215,Лоскутиха,50.481633621513765,82.55476060472243,79.0,1.672,2.1773,sunflower,1.672,productivity_normalized,0.0,0.0
Лоскутиха,ВКО,2020,Пшеница яровая,14.09,15.953,True,лоскутиха,215,Лоскутиха,50.481633621513765,82.55476060472243,79.0,1.409,1.5953,wheat_spring,1.409,productivity_normalized,0.0,0.0
Никитушкин,ВКО,2019,Подсолнечник,19.5,21.598,True,никитушкин,216,Никитушкин,50.46224047423968,82.54079808685997,37.0,1.95,2.1597999999999997,sunflower,1.95,productivity_normalized,0.0,0.0
Никитушкин,ВКО,2020,Пшеница яровая,12.46,21.373,True,никитушкин,216,Никитушкин,50.46224047423968,82.54079808685997,37.0,1.246,2.1373,wheat_spring,1.246,productivity_normalized,0.0,0.0
Подхозный увал 1,ВКО,2019,Подсолнечник,22.73,21.936,True,подхозный увал 1,219,Подхозный увал 1,50.39251145179276,82.37944868952283,210.0,2.273,2.1936,sunflower,2.273,productivity_normalized,0.0,0.0
Сапог,ВКО,2019,Подсолнечник,27.65,22.518,True,сапог,220,Сапог,50.402019209365974,82.33495653415235,25.0,2.7649999999999997,2.2518000000000002,sunflower,2.7649999999999997,productivity_normalized,0.0,0.0
Сапог,ВКО,2022,Пшеница яровая,34.832,32.34,True,сапог,220,Сапог,50.402019209365974,82.33495653415235,25.0,3.4832,3.2340000000000004,wheat_spring,3.4832,physical_harvested_weight,0.0,0.0
Сапог,ВКО,2024,Пшеница яровая,31.2756,39.769,True,сапог,220,Сапог,50.402019209365974,82.33495653415235,25.0,3.12756,3.9768999999999997,wheat_spring,3.12756,physical_harvested_weight,0.0,0.0
Сапог,ВКО,2025,Пшеница яровая,33.072,36.214,True,сапог,220,Сапог,50.402019209365974,82.33495653415235,25.0,3.3072000000000004,3.6214,wheat_spring,3.3072000000000004,physical_harvested_weight,0.0,0.0
Штаны,ВКО,2025,Подсолнечник,30.42,32.845,True,штаны,226,Штаны,50.43749405831015,82.51870244982703,40.0,3.0420000000000003,3.2845,sunflower,3.0420000000000003,physical_harvested_weight,0.0,0.0
