field_id,year,standard_name_x,physical_t_ha,productivity_t_ha,physical_t_ha_raw,productivity_raw,additional_raw,additional_t_ha,additional_crop_id,estimate_raw_max,estimate_t_ha_max,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_t_ha,yield_map_n,standard_name_y,factual_target_t_ha,factual_target_source
207,2011,sunflower,,,,,,,,17.486,1.7486000000000002,,,,,,,,
207,2012,sunflower,,,,,,,,20.149,2.0149,,,,,,,,
207,2013,sunflower,,,,,,,,22.497,2.2497,,,,,,,,
207,2014,sunflower,,,,,,,,22.424,2.2424,,,,,,,,
207,2015,sunflower,,,,,,,,17.668,1.7668,,,,,,,,
207,2016,sunflower,,,,,,,,19.816,1.9815999999999998,,,,,,,,
207,2017,sunflower,,,,,,,,15.516,1.5516,,,,,,,,
207,2018,sunflower,,3.496,,34.96,,,,22.995,2.2995,Подсолнечник,3.496,2.2995,,,sunflower,3.496,productivity_normalized
207,2019,wheat_spring,,3.5799999999999996,,35.8,,,,27.728,2.7728,Пшеница яровая,3.5799999999999996,2.7728,,,wheat_spring,3.5799999999999996,productivity_normalized
207,2020,oil_seed_raps_spring,,4.38,,4.38,,,,11.702,1.1702,Рапс яровой,0.438,1.1702,,,oil_seed_raps_spring,4.38,productivity_normalized
207,2021,barley_spring,3.525020286718961,3.5541818,3.525020286718961,35.541818,,,,31.641,3.1641,Ячмень яровой,3.5541818,3.1641,,,barley_spring,3.525020286718961,physical_harvested_weight
207,2022,wheat_winter,1.8862140474258406,1.9018182,1.8862140474258406,19.018182,,,,29.544,2.9544,Пшеница озимая,1.9018182,2.9544,1.094122807017544,1.0,wheat_winter,1.8862140474258409,physical_harvested_weight
207,2023,wheat_winter,1.0689748444684881,1.0778181999999998,1.0689748444684881,10.778182,,,,21.542,2.1542000000000003,Пшеница озимая,1.0778181999999998,2.1542000000000003,,,wheat_winter,1.068974844468488,physical_harvested_weight
207,2024,sunflower,3.107023712920386,3.1327273,3.107023712920386,31.327273,,,,30.323,3.0323,Подсолнечник,3.1327273,3.0323,3.41,2.0,sunflower,3.107023712920386,physical_harvested_weight
207,2025,wheat_spring,1.3522676043638986,2.6312281,1.3522676043638986,26.312281,,,,34.044,3.4044,Пшеница яровая,2.6312281,3.4044,,,wheat_spring,1.3522676043638986,physical_harvested_weight
207,2026,barley_spring,,,,,,,,,,,,,,,,,
207,2027,sunflower,,,,,,,,,,,,,,,,,
207,2028,,,,,,,,,,,,,,,,,,
207,2029,,,,,,,,,,,,,,,,,,
207,2030,,,,,,,,,,,,,,,,,,
208,2000,sunflower,,,,,,,,,,,,,,,,,
208,2001,sunflower,,,,,,,,,,,,,,,,,
208,2002,sunflower,,,,,,,,,,,,,,,,,
208,2003,sunflower,,,,,,,,,,,,,,,,,
208,2004,sunflower,,,,,,,,,,,,,,,,,
208,2005,sunflower,,,,,,,,,,,,,,,,,
208,2006,sunflower,,,,,,,,,,,,,,,,,
208,2007,sunflower,,,,,,,,,,,,,,,,,
208,2008,sunflower,,,,,,,,,,,,,,,,,
208,2009,sunflower,,,,,,,,,,,,,,,,,
208,2010,sunflower,,,,,,,,24.501,2.4501,,,,,,,,
208,2011,sunflower,,,,,,,,23.01,2.301,,,,,,,,
208,2012,sunflower,,,,,,,,20.003,2.0003,,,,,,,,
208,2013,sunflower,,,,,,,,27.517,2.7517,,,,,,,,
208,2014,sunflower,,,,,,,,29.195,2.9195,,,,,,,,
208,2015,sunflower,,,,,,,,14.288,1.4288,,,,,,,,
208,2016,sunflower,,,,,,,,21.872,2.1872,,,,,,,,
208,2017,sunflower,,,,,,,,20.779,2.0779,,,,,,,,
208,2018,sunflower,,,,,,,,16.354,1.6354,Подсолнечник,,1.6354,,,,,
